,Name,RI,RQ,Food,Recipe Drop,Ingredients,Effect
,Fortified Beef Pasty (Recipe),RI 4,RQ 2,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Cake Flour,Max Health and Magicka +352
,Consummate Beef Pasty (Recipe),RI 4,RQ 3,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Cake Flour,"Max Health, Magicka and Stamina +299"
,Shank-and-Potato Pie (Recipe),RI 4,RQ 1,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Cake Flour,Max Health +459
,Fortified Shank-and-Potato Pie (Recipe),RI 4,RQ 2,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Cake Flour,Max Health and Magicka +388
,Consummate Shank-and-Potato Pie (Recipe),RI 4,RQ 3,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Cake Flour,"Max Health, Magicka and Stamina +328"
,Mud Crab Cakes (Recipe),RI 5,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Baker's Flour,Max Health +504
,Fortified Mud Crab Cakes (Recipe),RI 5,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Baker's Flour,Max Health and Magicka +424
,Consummate Mud Crab Cakes (Recipe),RI 5,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Baker's Flour,"Max Health, Magicka and Stamina +357"
,Sweetroll (Recipe),RI 6,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Flour,Max Health +558
,Fortified Sweetroll (Recipe),RI 6,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Flour,Max Health and Magicka +468
,Consummate Sweetroll (Recipe),RI 6,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Flour,"Max Health, Magicka and Stamina +385"
