Set Name,Bonuses,Location(s),Set Type
Noble Duelist's Silks,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Light or Heavy Attack in melee range, you increase the damage of your Light and Heavy Attacks against monsters by 49-2110 for 15 seconds. This effect can occur once every 12 seconds.",Blessed Crucible,Light Armor
Sword Dancer,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 13-600 Weapon and Spell Damage to your Dual Wield abilities.,Blessed Crucible,Medium Armor
Burning Spellweave,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a Flame Damage ability, you apply the Burning status effect to the enemy and increase your Weapon and Spell Damage by 11-490 for 8 seconds. These effects can occur once every 12 seconds.",City of Ash,Light Armor
Embershield,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : When you complete a fully-charged Heavy Attack , you increase your Physical and Spell Resistance by 76-3300 and deal 0 Flame damage to all enemies within 5 meters of you every 1 second for 6 seconds. The damage scales off the higher of your Physical or Spell Resistance .",City of Ash,Heavy Armor
Sunderflame,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a fully-charged Heavy Attack , you deal an additional 1925 Flame damage over 10 seconds and apply Minor Breach to the enemy, reducing their Physical and Spell Resistance by 2974. This effect scales off the higher of your Weapon and Spell Damage .",City of Ash,Medium Armor
Ebon Armory,2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : Increases Max Health by 23-1000 for you and up to 11 other group members within 28 meters of you. This bonus persists through death.,Crypt of Hearts,Heavy Armor
Leviathan,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : Adds 35-1528 Critical Chance,Crypt of Hearts,Medium Armor
Shroud of the Lich,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : When you cast an ability that costs resources while under 33% Magicka while in combat, your Magicka Recovery is increased by 25-1106 for 20 seconds. This effect can occur once every 1 minute.",Crypt of Hearts,Light Armor
Armor of Truth,"2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage to an enemy who is Off Balance , your Weapon and Spell Damage are increased by 10-460 for 10 seconds.",Darkshade Caverns,Heavy Armor
Netch's Touch,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 9-400 Weapon and Spell Damage to your Shock Damage abilities.,Darkshade Caverns,Light Armor
Strength of the Automaton,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 9-400 Weapon and Spell Damage to your Physical and Bleed Damage abilities.,Darkshade Caverns,Medium Armor
Draugr Hulk,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 59-2550 Maximum Stamina,Direfrost Keep,Medium Armor
The Ice Furnace,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal Frost Damage , you deal an additional 238 Flame damage to all enemies within 8 meters around the initial target. This effect can occur once every 1 second and scales off the higher of your Weapon and Spell Damage .",Direfrost Keep,Heavy Armor
Magicka Furnace,"2 items : Adds 34-1487 Armor 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage while you are under 50% Magicka , you restore 176-7590 Magicka . This effect can occur once every 30 seconds.",Direfrost Keep,Light Armor
Barkskin,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 34-1487 Armor 5 items : Reduces the duration of immobilizations and snares applied to you by 50%. When an immobilization or snare is applied to you, heal for 39-1715 Health and restore 19-858 Stamina . This effect can occur once every 5 seconds.",Elden Hollow,Medium Armor
Light Speaker,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 13-600 Weapon and Spell Damage to your Restoration Staff abilities.,Elden Hollow,Light Armor
Undaunted Bastion,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : When you use a taunt ability while you are under 75% Health , gain a damage shield that absorbs 328-14127 damage for 6 seconds. This effect can occur once every 10 seconds.",Elden Hollow,Heavy Armor
Dreugh King Slayer,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Gain Major Brutality and Sorcery at all times, increasing your Weapon and Spell Damage by 20%. When you kill an enemy, you gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%.",Fungal Grotto,Heavy Armor
Spider Cultist Cowl,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 13-600 Weapon and Spell Damage to your Destruction Staff abilities.,Fungal Grotto,Light Armor
Viper's Sting,"2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a Martial melee attack, you deal an additional 928 Poison damage over 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon and Spell Damage .",Fungal Grotto,Medium Armor
Durok's Bane,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Health Recovery 4 items : Adds 4% Healing Taken 5 items : When you take damage, you apply Major Defile to the enemy for 5 seconds, reducing their healing received and damage shield strength by 12%. This effect can occur once every 7 seconds per enemy.",Selene's Web,Heavy Armor
Hircine's Veneer,2 items : Adds 3-129 Stamina Recovery 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Stamina Recovery 5 items : Grants 3-145 Stamina Recovery to you and up to 11 other group members within 28 meters of you. This bonus persists through death.,Selene's Web,Medium Armor
Vestments of the Warlock,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : When you cast an ability that costs resources while under 25% Magicka , you restore 263-11350 Magicka . This effect can occur once every 45 seconds.",Selene's Web,Light Armor
Knightmare,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : Adds 28-1206 Maximum Health 5 items : When you deal Martial melee damage, you apply Minor Maim to all enemies within 8 meters of you for 5 seconds, reducing their damage done by 5%. This effect can occur once every 3 seconds.",Spindleclutch,Heavy Armor
Prayer Shawl,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Magicka Recovery 5 items : When you overheal yourself or an ally, you grant them a damage shield that absorbs 116-4997 damage for 6 seconds. This effect can occur once every 2 seconds.",Spindleclutch,Light Armor
Spelunker,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Reduces the cost of your Undaunted abilities by 10%. When an ally uses one of your Undaunted ability synergies you restore 16-730 Magicka and Stamina . This effect can occur once every 5 seconds.,Spindleclutch,Medium Armor
Jolting Arms,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : When you Block , you charge your arms, increasing your Physical and Spell Resistance by 107-4620 for 6 seconds and causing your next Bash attack to deal an additional 81-3513 damage. This effect can occur once every 6 seconds.",Tempest Island,Heavy Armor
Overwhelming Surge,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Class ability, you surround yourself with a torrent that deals 149 Shock damage to enemies within 8 meters of you every 1 second for 6 seconds. 15% of the damage you deal this way is restored to you as Magicka . This effect can occur every 7 seconds and scales off the higher of your Weapon and Spell Damage .",Tempest Island,Light Armor
Storm Master,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal Critical Damage with a fully-charged Heavy Attack , your Light and Heavy Attacks deal an additional 35-1542 damage to monsters for 8 seconds. This effect can occur once every 5 seconds.",Tempest Island,Medium Armor
Oblivion's Edge,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Stamina Recovery 5 items : Adds 6-258 Weapon and Spell Damage 5 items : When you kill an enemy, you fill an empty Soul Gem and heal for 5906 Health . The heal can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina .",Vaults of Madness,Medium Armor
Rattlecage,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Gain Major Brutality and Sorcery at all times, increasing your Weapon and Spell Damage by 20%.",Vaults of Madness,Heavy Armor
The Worm's Raiment,2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : Grants 3-145 Magicka Recovery to you and up to 11 other group members within 28 meters of you. This bonus persists through death.,Vaults of Madness,Light Armor
Crusader,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you consecrate the ground beneath you for 10 seconds and gain a damage shield that absorbs 1595 damage for 6 seconds. Every 2 seconds you and nearby group members in the area gain Minor Courage for 12 seconds. These effects can occur once every 20 seconds and the damage shield scales off the higher of your Weapon and Spell Damage .",Volenfell,Medium Armor
Duneripper's Scales,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 4% Healing Taken 5 items : While you are Bracing, your Physical and Spell Resistance are increased by 123-5310.",Volenfell,Heavy Armor
Treasure Hunter,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Gain Major Savagery and Prophecy at all times, increasing your Weapon Critical and Spell Critical rating by 2629.",Volenfell,Light Armor
Combat Physician,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When your healing critically strikes, you grant your target a damage shield that absorbs 100-4308 damage for 6 seconds. This effect can occur once every 6 seconds per target.",Wayrest Sewers,Light Armor
Sergeant's Mail,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Health Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Heavy Attack , you gain a stack of Sergeant's Focus for 5 seconds, increasing the damage of your Heavy Attacks by 15-645 per stack. This effect can occur once every second and stacks up to 4 times.",Wayrest Sewers,Heavy Armor
Toothrow,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Gain Major Savagery and Prophecy at all times, increasing your Weapon Critical and Spell Critical rating by 2629.",Wayrest Sewers,Medium Armor
