Set Name,Bonuses,Location(s),Set Type
Jorvuld's Guidance,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 4% Healing Done 5 items : While in combat, increases the duration of all Major buffs , Minor buffs, and damage shields you apply to yourself and allies by 40%.",Scalecaller Peak,Light Armor
Plague Slinger,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 28-1206 Maximum Health 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage, summon a Skeever corpse which will launch five poison balls over 5 seconds that each deal 737 Poison damage to the nearest enemy within 10 meters. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Scalecaller Peak,Medium Armor
Brands of Imperium,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : When you take damage, you grant you and your group members within 8 meters a damage shield that absorbs 261-11260 damage for 6 seconds. This effect can occur once every 12 seconds.",White-Gold Tower,Heavy Armor
Essence Thief,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a Light or Heavy Attack draws essence from the enemy that pools near them for 5 seconds. Drawing from the pool heals you for 101-4356 Health , restores 101-4356 Stamina , and increases your damage done by 10% for 10 seconds. A pool can only be created once every 10 seconds.",White-Gold Tower,Medium Armor
Spell Power Cure,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you overheal yourself or an ally, you give the target Major Courage for 5 seconds which increases their Weapon and Spell Damage by 430.",White-Gold Tower,Light Armor
Blood Moon,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a melee Light Attack , you gain a stack of Blood Scent for 8 seconds. When you gain 5 stacks, you become Frenzied for 5 seconds, increasing your melee Light Attack damage by 47-2050 and attack speed by 50%. This effect can occur every 15 seconds.",March of Sacrifices,Medium Armor
Hanu's Compassion,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : Adds 45-1963 Maximum Magicka 5 items : When you resurrect an ally while in combat, both you and your ally gain Major Heroism for 15 seconds, granting 3 Ultimate every 1.5 seconds.",March of Sacrifices,Light Armor
Haven of Ursus,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage while you are under 50% Health , summon Ursus's spirit for 6 seconds at a random group member. You or a group member can activate a synergy on Ursus to grant a shield that protects up to 6 group members within a 28 meter radius from 13967 damage for 6 seconds. This effect can occur once every 10 seconds.",March of Sacrifices,Heavy Armor
Savage Werewolf,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Your Light Attacks made within melee range rend flesh, causing your enemy to bleed for 290 Bleed damage instantly and additionally every 2 seconds for 4 seconds. This effect scales off the higher of your Weapon and Spell Damage . If you are in Werewolf Transformation , you also gain 6% damage done.",Moon Hunter Keep,Medium Armor
Moon Hunter,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When your alchemical poison fires, increase your Weapon and Spell Damage by 12-547 for 8 seconds.",Moon Hunter Keep,Light Armor
Jailer's Tenacity,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : When you lose 7000 or more Health from a single attack, you gain Major Vitality for 8 seconds, increasing your healing received and damage shield strength by 12%.",Moon Hunter Keep,Heavy Armor
Tzogvin's Warband,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 34-1487 Offensive Penetration 5 items : When you deal Critical Damage , you gain a stack of Precision, increasing your Critical Chance by 4-177 for 5 seconds, up to 10 stacks max. At max stacks, you also gain Minor Force , increasing your Critical Damage done by 10%. This effect can occur once every half second.",Frostvault,Medium Armor
Icy Conjurer,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Applying a minor debuff to your enemy summons a non-reflectable Ice Wraith that will charge into your enemy, dealing 3070 Frost damage over 10 seconds. This effect can occur every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Frostvault,Light Armor
Mighty Glacier,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Magicka Recovery 5 items : When you activate a snare or immobilize ability or hit a target with a snare or immobilize ability, you and up to 11 group members gain Major Resolve for 15 seconds, increasing your Physical and Spell Resistance s by 5948. This effect can occur once every 10 seconds.",Frostvault,Heavy Armor
Auroran's Thunder,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Dealing direct damage to a target within 10 meters of you summons a cone of lightning from your chest for 5 seconds, dealing 396 Shock damage every 1 second to enemies in the cone. This effect can occur every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Depths of Malatar,Light Armor
Scavenging Demise,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Poison Damage to an enemy, summon the Scavenging Maw which attacks your enemy after 2 seconds. The Scavenging Maw deals 2587 Poison damage and inflicts Minor Vulnerability for 15 seconds, increasing their damage taken by 5%. This effect can occur every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Depths of Malatar,Medium Armor
Frozen Watcher,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : Summon a blizzard around you while you are Bracing, inflicting 496 Frost damage every 1 second to enemies within 6 meters. This effect scales off your Max Health and has a 15% chance of inflicting the Chilled status effect .",Depths of Malatar,Heavy Armor
Hollowfang Thirst,"2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 15-657 Critical Chance 5 items : When your healing critically strikes or when you critically damage a target, spawn a ball of Hemoglobin at their location. After 2 seconds the ball explodes, restoring 40-1750 Magicka and applying Minor Vitality to you and your group members within 6 meters of the ball for 9 seconds, increasing their healing received and damage shield strength by 6%. This effect can occur once every 9 seconds.",Moongrave Fane,Light Armor
Dro'zakar's Claws,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Stamina Recovery 5 items : Adds 3-129 Weapon and Spell Damage 5 items : For every bleed effect you have on an enemy, increase your Weapon and Spell Damage by 2-103 against them.",Moongrave Fane,Medium Armor
Renald's Resolve,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : Whenever you deal direct damage, gain a stack of Resolve for 5 seconds. Each stack increases your healing received by 1% and your Physical and Spell Resistance by 9-420. This effect can occur once every half second and can stack up to 9 times.",Moongrave Fane,Heavy Armor
Z'en's Redress,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Magicka 5 items : Your Light Attacks apply the Touch of Z'en on enemies for 20 seconds. Enemies with the Touch of Z'en take an additional 1% more damage for each damage over time effect you've placed on them, up to 5%. Enemies can only be affected by one Touch of Z'en at a time.",Lair of Maarselok,Light Armor
Azureblight Reaper,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage over time applies a stack of Blight Seed to the target for 5 seconds. At 20 stacks, Blight Seed explodes, dealing 667 Disease damage to the target and nearby enemies, increasing by 150% per additional monster hit, up to 600%. The damage scales off your Weapon and Spell Damage and can occur once every 1 second. Enemies can only have one Blight Seed at a time and require 20 more stacks per group member wearing this set.",Lair of Maarselok,Medium Armor
Dragon's Defilement,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 28-1206 Maximum Health 5 items : Adds 28-1206 Maximum Health 5 items : When you take damage from a melee attack, gain a corrupting aura for 5 seconds that applies Minor Breach to all enemies within 8 meters of you, reducing their Physical and Spell Resistance by 2974. This effect can occur every 5 seconds.",Lair of Maarselok,Heavy Armor
Bani's Torment,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When you taunt a nearby enemy, you tether to them for 15 seconds, as long as you remain within 8 meters of them. While tethered, you apply Major Maim to your enemy, reducing their damage done by 10%, and you gain Major Vitality , increasing your healing received and damage shield strength by 12%. This effect can occur once every 15 seconds.",Icereach,Heavy Armor
Hiti's Hearth,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 25-1096 Maximum Magicka 5 items : When you heal yourself or an ally with an ability, gain a Warming Aura for 10 seconds. While in the Warming Aura, you and group members restore 565 Health every 2 seconds and reduce the cost of Sprint , Block , and Roll Dodge by 5%. This effect can occur once every 12 seconds and the heal scales off the higher of your Max Magicka or Stamina .",Icereach,Light Armor
Titanborn Strength,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 2-110 Weapon and Spell Damage and 28-1240 Offensive Penetration. While in combat, this bonus doubles when you are under 75% Health and quadruples when you are under 50% Health .",Icereach,Medium Armor
Aegis Caller,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal critical damage with a Martial melee attack, summon a Lesser Aegis for 11 seconds. After 2.5 seconds, the Lesser Aegis spins its blades, dealing 478 Bleed Damage every 1 second. This effect can occur once every 12 seconds and scales off the higher of your Weapon and Spell Damage .",Unhallowed Grave,Medium Armor
Draugrkin's Grip,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Magicka Recovery 5 items : Increases your damage done by 7-330 but reduces your healing received by 10%.,Unhallowed Grave,Light Armor
Grave Guardian,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Summon a stone aura while you are Bracing, hardening you and your nearby group members, increasing your Physical and Spell Resistance by 103-4430.",Unhallowed Grave,Heavy Armor
Arkasis's Genius,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : Whenever you drink a potion while in combat, you and 3 group members gain 1-44 Ultimate . This effect can occur once every 30 seconds.",Stone Garden,Heavy Armor
Elemental Catalyst,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 25-1096 Maximum Magicka 5 items : Whenever you deal Flame , Shock , or Frost Damage, you apply a stack of Flame, Shock, or Frost Weakness to the enemy for 3 seconds. Each stack of an Elemental Weakness increases their Critical Damage taken by 5%. An enemy can only have one stack of each Elemental Weakness at a time.",Stone Garden,Light Armor
Kraglen's Howl,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : After an enemy you've recently damaged dies, you let out a howl, granting three allies within 15 meters the Heed the Call synergy . Activating the synergy gives you and the activator 12 Ultimate . This effect can occur once every 20 seconds.",Stone Garden,Medium Armor
Crimson Twilight,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : After taking damage you surround yourself in an 8 meter mist of blood. After 2 seconds, the mist is violently siphoned into your body, dealing 1946 Bleed Damage to nearby enemies and healing you for 100% of the damage done. This effect can occur once every 8 seconds and scales off your Max Health .",Castle Thorn,Heavy Armor
Talfyg's Treachery,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your Weapon and Spell Damage by 8-372. Increases your damage taken from Flame and Fighter's Guild abilities by 5%.,Castle Thorn,Light Armor
Unleashed Terror,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you cut your enemy, causing them to bleed for 10 seconds, dealing 1870 Bleed damage over the duration and applying the Hemorrhaging status effect every tick. This ability can occur once every 10 seconds per target and scales off the higher of your Weapon and Spell Damage .",Castle Thorn,Medium Armor
Dagon's Dominion,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 11-492 Weapon and Spell Damage to your area of effect abilities.,The Cauldron,Medium Armor
Foolkiller's Ward,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : Bracing while in combat places a damage shield on you and up to 3 group members within 18 meters for 2 seconds that absorbs up to 4000 direct damage. If a damage shield breaks, the wearer of the shield restores 132-5680 Magicka and Stamina . This effect can occur once every 30 seconds if a damage shield broke. This effect can occur once every 10 seconds if no damage shields broke.",The Cauldron,Heavy Armor
Unleashed Ritualist,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your damage done with summoned pets by 0-20%.,The Cauldron,Light Armor
Drake's Rush,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : When you Bash an enemy, you and up to 3 group members within 15 meters of you gain Major Heroism for 12 seconds, granting you 3 Ultimate every 1.5 seconds. This effect can occur once every 18 seconds.",Black Drake Villa,Heavy Armor
Kinras's Wrath,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a Light or Heavy Attack grants you a stack of Burning Heart for 5 seconds, up to 5 stacks. While you have 5 stacks, you generate an aura of wrath, granting you Major Berserk , increasing your damage done by 10%. While you have an aura of wrath, group members within 12 meters of you gain Minor Berserk , increasing their damage done by 5%.",Black Drake Villa,Medium Armor
True-Sworn Fury,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Magicka 5 items : Adds 16-708 Critical Chance and increases your Critical Damage by 0-4%. While in combat, this bonus doubles when you are under 75% Health and quadruples when you are under 50% Health .",Black Drake Villa,Light Armor
Scorion's Feast,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a fully-charged Heavy Attack , you gain an Imbued Aura for 10 seconds, granting you and up to 3 other group members 7-307 Magicka and Stamina Recovery . This effect can occur once every 20 seconds. If you deal damage with a fully-charged Heavy Attack with an Imbued Aura active, consume it and gain an Overflow Aura for 10 seconds, granting you and up to 3 other group members 7-307 Weapon and Spell Damage .",The Dread Cellar,Light Armor
Rush of Agony,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Dealing direct damage with a Blink, Charge, Leap, Teleport, or Pull ability creates an area under the enemy that pulls enemies within 12 meters after 0.8 seconds. After 2 seconds, deal 1705 Physical damage to all enemies within 7 meters of you. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage . The pull will not apply Crowd Control Immunity but works once every 7 seconds per target.",The Dread Cellar,Medium Armor
Crimson Oath's Rive,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : While you are in combat, casting an ability, drinking a potion , or using a poison that applies a Major or Minor buff to yourself or an ally, sends out a wave of energy that reduces the Armor of nearby enemies within 12 meters by 82-3541 for 15 seconds. This effect can occur once every 12 seconds, and will only occur if an enemy is within range.",The Dread Cellar,Heavy Armor
Thunder Caller,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a fully-charged Heavy Attack calls a bolt of lightning at your target, dealing 467 Shock Damage and leaving a 4 meter lightning crater at their location for 7 seconds, dealing 467 Shock Damage per second to enemies inside. This effect can occur once every 12 seconds and scales off the higher of your Weapon and Spell Damage .",Red Petal Bastion,Light Armor
Grisly Gourmet,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Adds 12-526 Maximum Stamina 5 items : Dealing Light Attack damage grants you a stack of Baker's Delight for 5 seconds. When you gain 3 stacks, you create a Sweetroll next to your target for 5 seconds. If you or an ally touches the Sweetroll, both you and your ally gain one of the following effects: Restore 1593 Health , Magicka and Stamina Gain Empower for 10 seconds Gain Major Force for 10 seconds This effect can occur once every 2 seconds.",Red Petal Bastion,Medium Armor
Silver Rose Vigil,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When you Block , gain a stack of Realmshaper for 15 seconds, gaining up to 1 stack every 0.5 seconds. When you reach 3 stacks, you consume them and launch necrotic energy at your attacker, dealing 3226 Magic damage and applying Major Maim for 12 seconds, reducing their damage done by 10%. Once you fire the necrotic energy, you cannot gain additional stacks of Realmshaper for 12 seconds. Damage scales off your Max Health .",Red Petal Bastion,Heavy Armor
Glacial Guardian,"2 items : Adds 34-1487 Armor 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Health Recovery 5 items : When you Block , tether to the enemy if they are within 8 meters of you for 8 seconds. While tethered, you deal 256 Frost damage every second to enemies touching the tether and cause them to have a 200% increased Status Effect Chance. The tether breaks if the target moves more than 12 meters away. This effect can occur once every 12 seconds and the damage scales off your Max Health .",Coral Aerie,Heavy Armor
Gryphon's Reprisal,"2 items : Adds 15-657 Critical Chance 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage , you or an ally can activate the Gryphon's Reprisal on the enemy within the next 8 seconds, causing a small gryphon to fly by and deal 4758 Bleed damage over 10 seconds to enemies within 5 meters. This effect can occur once every 20 seconds and scales off the higher of the synergy activator's Weapon and Spell Damage .",Coral Aerie,Medium Armor
Maligalig's Maelstrom,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 4% Healing Done 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you overheal yourself or a group member with a Direct Heal, you apply Maligalig's Maelstrom to the target for 6 seconds, dealing 33% of the overhealing amount, up to a maximum of 3300, as Shock Damage once every 1 second to enemies within 7 meters. This effect can occur once every 10 seconds.",Coral Aerie,Light Armor
Storm-Cursed's Revenge,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : When you deal Shock Damage , you have a 15% chance to deal 433 Shock damage to the enemy and up to two other enemies within 5 meters. This effect scales off the higher of your Weapon and Spell Damage .",Shipwright's Regret,Light Armor
Spriggan's Vigor,"2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal Critical Damage , restore 2-100 Stamina and gain a stack of Wild Growth for 5 seconds, increasing your Max Stamina by 5-222. This effect can stack up to 10 times and can occur once every 0.5 seconds.",Shipwright's Regret,Medium Armor
Turning Tide,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 28-1206 Maximum Health 5 items : When you Block , you gain Flowing Water for 10 seconds, causing your next Bash attack to deal 2223 Magic damage to up to 6 enemies in a 5 by 10 meter line, and apply Major Vulnerability for 10 seconds, increasing their damage taken by 10%. This effect can occur once every 15 seconds and scales off your Max Health .",Shipwright's Regret,Heavy Armor
Deeproot Zeal,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 28-1206 Maximum Health 5 items : When you deal direct damage to a taunted target, restore 12-525 Stamina and Magicka . This effect can occur once every 2 seconds.",Earthen Root Enclave,Heavy Armor
Rage of the Ursauk,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a Heavy Attack , create a 12 meter area for 12 seconds that grants Empower to group members inside, increasing the damage of their Heavy Attacks against monsters by 150%. This effect can occur once every 8 seconds.",Earthen Root Enclave,Medium Armor
