Place,Boss/Quest,Set,Item Name,Description
Seaview Point,Graufang,Hide of the Werewolf,Graufang's Werewolf Hide Belt,"A belt awarded for defeating the colossal bear, Graufang."
Shrieking Scar,The Dagger's Edge,Hide of the Werewolf,Werewolf Hide Dagger's Combat Stompers,Distinctive heavy footwear awarded for assisting the Daggers against the harpies of the Shrieking Scar.
Silumm,Sincano,Hide of the Werewolf,Werewolf's Hide Razor,"A weapon awarded for defeating the Dominion officer, Sincano, in Silumm."
Spindleclutch II,Blood Relations,Spelunker,Aegis of Meridia,A gift from Sud-Hareem for helping him find his lost son in Spindleclutch.
Tomb of Lost Kings,The Jeweled Crown of Anton,Bloodthorn's Touch,Bloodthorn Stibbons's Dapper Chapeau,"For aiding Lady Laurent and Stibbons at the Tomb of Lost Kings, this stylish headgear was awarded."
Trapjaw's Cove,Trapjaw,Bloodthorn's Touch,Bloodthorn Crocodile Hide Gloves,"Light hand coverings awarded for defeating the giant crocodile, Trapjaw."
Vale of the Guardians,Champion of the Guardians,Bloodthorn's Touch,Bloodthorn Guardian's Hammer,This weapon was awarded for setting the elemental guardians free from Angof's imprisoning spell.
Western Overlook,Limbscather,Wyrd Tree's Blessing,Limbscather's Branch of the Wyrd Tree,"A staff awarded for defeating the dread lurcher, Limbscather."
Westtry,Memento Mori,Bloodthorn's Touch,Bloodthorn Captain Rosalind's Blade,"For helping the spirits of Westtry, the sword of Captain of the Guard Rosalind Milielle was awarded."
The Wolf's Camp,Salazar the Wolf,Hide of the Werewolf,Werewolf Hide Wolf's-Head Ring,"A ring awarded for defeating the bandit, Salazar the Wolf, who transformed into a werewolf."
