Place,Boss/Quest,Set,Item Name,Description
Old S'ren-ja Docks,Ysolmarr the Roving Pyre,Senche's Bite,Crocmother Fang of the Senche,"Torn from the mouth of the Crocmother herself, this fang still exudes the toxic venom that made her a walking nightmare."
Pa'alat,A Traitor's Luck,Senche's Bite,Traitor's Treads,"Though the former Eye hasn't seen much action in recent years, Krin Ren-dro wore only the best gear."
Rawl'kha,The First Step,Skooma Smuggler,Pathwalker's Shield,The light of Jone and Jode seems to flow from every scar on this shield's surface.
Reaper's Henge,Gravecaller Niramo and Varien,Senche's Bite,Niramo's Gravegloves of the Senche,Taken from the Necromancer at Reaper's Henge. Best not to think about where the leather for these gloves came from.
Senalana,A Door Into Moonlight,Soulshine,Chain of the Hallowed,"Each link is like forged moonlight, lustrous in light, dim and shadowed elsewise."
Gates of Fire,Soulshine,Blade of the Eye,"This was left behind by the Queen's Eye, Razum-dar, at the Senalana forward camp."
Thibaut's Cairn,History's Song,Skooma Smuggler,Epic Bard's Cowl,"Passed down through Valencia's family, this simple garment retains the glamor of its association to that legendary bard."
Worm Eremite,Skooma Smuggler,Smuggler's Excruciatus Staff,"Thibaut's Cairn is adorned with runes praising the gods. This twisted staff bears the same runes, twisted into foul corruption."
Thizzrini Arena,The Champion Division,Senche's Bite,Great Blade of Thizzrini,"This sword bears the sigil of Thizzrini Arena, cleverly worked into it as a maker's mark."
The Sorcerer Division,Skooma Smuggler,Sorceror's Mantle,"The sigil of Thizzrini, mark of a true champion, is woven into the inner neckline of this garment."
The Summoner Division,Senche's Bite,Summoner's Shoulderpads,The sigil of Thizzrini is the mark of a true champion.
The Swordmaster Division,Soulshine,Swordmaster's Shoulderplates,"The sigil of Thizzrini, a mark of a true champion, is used as a maker's mark in the neck of this armor."
Two Moons Path,The Moonlit Path,Soulshine,Helm of Khali's Strength,"Formed from planar dream-stuff, this handsome helm was awarded to you by the Lunar Champion."
Ushmal's Rest,Overlord Nur-dro,Soulshine,The Overlord's Sun Shield of Soulshine,The vampires of Ushmal's Rest laid in enchantments to protect themselves from the sun. This massive shield is no different.
Vinedusk Village,Oath of Excision,Senche's Bite,Gloo's Primer,This small band still smells of potentially flammable reagents.
Waterdancer Falls,Nereids and Queen of Three Mercies.,Skooma Smuggler,Smuggler's Gloves of Three Mercies,"These finely crafted, waterproof gloves were made for the Queen of Three Mercies."
Weeping Wind Cave,Nimriian,Soulshine,Nimriian's Shortblade of Soulshine,"The pack at Weeping Wind cave originated elsewhere in Valenwood, but found the hunting in the March too good to pass up."
Willowgrove,Questionable Contract,Soulshine,Pircalmo's Rimestaff,"Despite the questionable skill of its enchanter, the spellwork on this staff is competently done."
