Tripled-Effect Formulae
Tripled Effect,Other Effects,Reagents
Ravage Magicka,,Violet Coprinus,Blessed Thistle,Emetic Russula
Violet Coprinus,Nightshade,Emetic Russula
Violet Coprinus,Nirnroot,Emetic Russula
Ravage Stamina,Violet Coprinus,Stinkhorn,Emetic Russula
Ravage Stamina,,Stinkhorn,Corn Flower,Emetic Russula
Stinkhorn,Nightshade,Emetic Russula
Stinkhorn,Nirnroot,Emetic Russula
Ravage Magicka,,,Scrib Jelly,Blue Entoloma,Emetic Russula
Scrib Jelly,White Cap,Emetic Russula
Violet Coprinus,Blue Entoloma,Emetic Russula
Violet Coprinus,Blue Entoloma,White Cap
Violet Coprinus,Scrib Jelly,Blue Entoloma
Violet Coprinus,Scrib Jelly,White Cap
Cowardice,,Blue Entoloma,White Cap,Emetic Russula
Scrib Jelly,Blue Entoloma,White Cap
Ravage Stamina,,,Fleshfly Larva,Emetic Russula,Luminous Russula
Fleshfly Larva,Imp Stool,Emetic Russula
Stinkhorn,Emetic Russula,Luminous Russula
Stinkhorn,Fleshfly Larva,Imp Stool
Stinkhorn,Fleshfly Larva,Luminous Russula
Stinkhorn,Imp Stool,Luminous Russula
Maim,,Fleshfly Larva,Imp Stool,Luminous Russula
Imp Stool,Emetic Russula,Luminous Russula
Restore Health,,,Blue Entoloma,Butterfly Wing,Luminous Russula
Blue Entoloma,Columbine,Butterfly Wing
Blue Entoloma,Columbine,Luminous Russula
Blue Entoloma,Columbine,Water Hyacinth
Blue Entoloma,Mountain Flower,Butterfly Wing
Blue Entoloma,Mountain Flower,Water Hyacinth
Blue Entoloma,Water Hyacinth,Butterfly Wing
Blue Entoloma,Water Hyacinth,Luminous Russula
Bugloss,Butterfly Wing,Luminous Russula
Columbine,Butterfly Wing,Luminous Russula
Columbine,Water Hyacinth,Butterfly Wing
Columbine,Water Hyacinth,Luminous Russula
Mountain Flower,Bugloss,Butterfly Wing
Mountain Flower,Water Hyacinth,Bugloss
Mountain Flower,Water Hyacinth,Butterfly Wing
Water Hyacinth,Bugloss,Butterfly Wing
Water Hyacinth,Bugloss,Luminous Russula
Water Hyacinth,Butterfly Wing,Luminous Russula
Restore Magicka,,Columbine,Bugloss,Butterfly Wing
Columbine,Bugloss,Luminous Russula
Columbine,Water Hyacinth,Bugloss
Restore Stamina,Mountain Flower,Columbine,Bugloss
Restore Stamina,,Blue Entoloma,Mountain Flower,Columbine
Mountain Flower,Columbine,Butterfly Wing
Mountain Flower,Columbine,Water Hyacinth
Restore Magicka,,,Corn Flower,Columbine,Bugloss
Lady's Smock,Corn Flower,Bugloss
Restore Stamina,,,Dragonthorn,Mountain Flower,Blessed Thistle
Mountain Flower,Columbine,Blessed Thistle
Speed,,,Powdered Mother of Pearl,Namira's Rot,Blessed Thistle
Scrib Jelly,Namira's Rot,Blessed Thistle
Lingering Health,,Scrib Jelly,Powdered Mother of Pearl,Blessed Thistle
Scrib Jelly,Powdered Mother of Pearl,Namira's Rot
Spell Critical,,,Lady's Smock,Namira's Rot,Water Hyacinth
Unstoppable,,,Wormwood,Namira's Rot,Columbine
Vitality,,,Beetle Scuttle,Fleshfly Larva,Butterfly Wing
Beetle Scuttle,Powdered Mother of Pearl,Fleshfly Larva
Beetle Scuttle,Torchbug Thorax,Butterfly Wing
Beetle Scuttle,Torchbug Thorax,Fleshfly Larva
Powdered Mother of Pearl,Fleshfly Larva,Butterfly Wing
Powdered Mother of Pearl,Torchbug Thorax,Fleshfly Larva
Torchbug Thorax,Fleshfly Larva,Butterfly Wing
Vulnerability,,,Scrib Jelly,Clam Gall,Fleshfly Larva
Weapon Critical,,,Wormwood,Dragonthorn,Water Hyacinth
