Set Name,Bonuses,Location(s),Set Type
Grace of Gloom,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage, you become a living shadow for 10 seconds, causing you to heal for 927 every 2 seconds and gaining Major Evasion , reducing damage from area attacks by 20%. This effect can occur every 20 seconds and scales off your Max Health .",Summerset,Heavy Armor
Gryphon's Ferocity,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : After dealing direct damage, you gain Minor Force and Minor Expedition for 10 seconds, increasing your Critical Damage done by 10% and increasing your Movement Speed by 15%.",Summerset,Medium Armor
Bright-Throat's Boast,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : While you have a drink buff active, your Max Magicka is increased by 46-2000 and Magicka Recovery by 3-133.",Murkmire,Light Armor
Champion of the Hist,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 37-1600 Maximum Health 5 items : Gain Minor Heroism at all times while you are in combat, generating 1 Ultimate every 1.5 seconds.",Murkmire,Heavy Armor
Dead-Water's Guile,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 3-129 Weapon and Spell Damage 5 items : Whenever you kill an enemy, you gain 0-15 Ultimate .",Murkmire,Medium Armor
Crafty Alfiq,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : Adds 59-2550 Maximum Magicka,Northern Elsweyr,Light Armor
Vesture of Darloc Brae,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 0-10%. 5 items : While you are crouching and not Bracing, you restore 15-670 Magicka and Stamina and heal for 15-670 Health every second.",Northern Elsweyr,Medium Armor
Call of the Undertaker,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Done 5 items : Adds 28-1206 Maximum Health 5 items : When you deal damage, you apply Minor Lifesteal to your enemy for 8 seconds, healing you and your allies for 600 Health every 1 second when damaging them.",Northern Elsweyr,Heavy Armor
Marauder's Haste,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : When you apply a damage shield to yourself or an ally, increase your Movement Speed by 0-20% for 9 seconds.",Southern Elsweyr,Light Armor
Dragonguard Elite,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Stamina Recovery 5 items : You gain a stack of Dragonguard Tactics for 5 seconds when you deal direct damage to an enemy from the front or their sides, up to 10 stacks. Each stack of Dragonguard Tactics increases your Critical Chance by 6-275. You can only gain one stack every 0.5 seconds.",Southern Elsweyr,Medium Armor
Senchal Defender,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Magicka 5 items : Dealing direct damage with a non- Heavy Attack grants you one persistent stack of Senchal's Duty, up to 10 stacks. After completing a fully-charged Heavy Attack, restore 17-757 Stamina and Magicka for each stack of Senchal's Duty and consume them. You can only gain one stack of Senchal's Duty every 1 second.",Southern Elsweyr,Heavy Armor
Eternal Vigor,2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Health Recovery 5 items : Adds 7-337 Stamina and Magicka Recovery while your Health is above 50%. Adds 23-1011 Health Recovery while your Health is 50% or less.,Western Skyrim,Heavy Armor
Venomous Smite,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing Critical Damage inflicts Hunter's Venom on your enemy for 10 seconds, dealing 714 Poison damage to your target and enemies within 6 meters of them every 2 seconds. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .",Western Skyrim,Medium Armor
Winter's Respite,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : While in combat, casting abilities that leave an effect on the ground will create a circle of healing frost for 10 seconds. You and your group members restore 1125 Health every 2 seconds while inside the circle. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina .",Western Skyrim,Light Armor
Radiant Bastion,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 28-1206 Maximum Health 5 items : Deal 10% of all direct damage done to you back to the attacker, up to 4250 damage.",The Reach,Heavy Armor
Voidcaller,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage, your Weapon and Spell Damage is increased by 0-24 for 5 seconds, stacking up to 20 times. This effect can occur once every half second. Upon reaching 20 stacks, the duration is doubled but can no longer be refreshed.",The Reach,Light Armor
Witch-Knight's Defiance,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your Weapon and Spell Damage by 8-369 against enemies inflicted with a Poison Damage effect.,The Reach,Medium Armor
Bog Raider,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When an enemy you have recently damaged dies, gain 10 Ultimate and increase your Health Recovery by 26-1156 for 10 seconds. This effect can occur once every 10 seconds.",Blackwood,Heavy Armor
Deadlands Assassin,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 4-200 Weapon and Spell Damage 5 items : Dealing damage to an enemy within 10 meters of you with a Heavy Attack causes you to throw a cone of knives, dealing 816 Physical damage to enemies hit. If an enemy hit has 50% Health or less, they also take an additional 1631 Bleed damage over 14 seconds. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .",Blackwood,Medium Armor
Frostbite,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your damage done with Frost abilities by 8%. Increases your damage done against Chilled enemies by 4%. Increases your damage done against enemies afflicted with Minor Brittle by 2%.,Blackwood,Light Armor
Eye of the Grasp,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage , generate 7 Ultimate . This effect can occur once every 5 seconds.",The Deadlands,Light Armor
Hexos' Ward,2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Dealing direct Critical Damage grants you a damage shield that absorbs up to 286-12305 damage for 6 seconds. This effect can occur once every 7 seconds.,The Deadlands,Medium Armor
Kynmarcher's Cruelty,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 34-1487 Armor 5 items : When you deal direct damage, you apply one of 5 random Major debuffs to enemies within 8 meters of you for 18 seconds. This effect can occur once every 8 seconds and only if an enemy is in range. Eligible effects are Major Breach , Major Cowardice , Major Defile , Major Maim , and Major Vulnerability .",The Deadlands,Heavy Armor
Blessing of High Isle,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 25-1096 Maximum Magicka 5 items : When you are healed while in combat, increase your Weapon and Spell Damage by 8-369 for 5 seconds.",High Isle,Light Armor
Steadfast's Mettle,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : While you have a food buff active, reduce the cost of your Core Combat abilities by 25%.",High Isle,Medium Armor
Systres' Scowl,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When you Bash an enemy, place Systres' Scowl on them for 15 seconds. When hit by a Light Attack , a target with Systres' Scowl takes 45-1973 Frost Damage , up to once every second.",High Isle,Heavy Armor
Back-Alley Gourmand,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While you have a food buff active, your Critical Damage and Critical Healing is increased by 13%.",Galen,Light Armor
Bastion of the Draoife,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : Blocking an attack grants you a stack of Inflection for 10 seconds, up to 3 stacks max. You can gain up to 1 stack every 0.5 seconds. Increase your Magicka and Stamina Recovery by 2-106 per stack of Inflection.",Galen,Heavy Armor
Phoenix Moth Theurge,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 25-1096 Maximum Stamina 5 items : Healing yourself or an ally grants the target Minor Courage and Minor Force for 10 seconds, increasing their Weapon and Spell Damage by 215 and their Critical Damage done by 10%. This effect can occur once every 12 seconds per target.",Galen,Medium Armor
Adamant Lurker,2 items : Adds 3-129 Health Recovery 3 items : Adds 28-1206 Maximum Health 4 items : Adds 3-129 Health Recovery 5 items : Gain 35-1505 Health Recovery while you are standing still.,Apocrypha / Telvanni Peninsula,Heavy Armor
Camonna Tong,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you kill a monster and gain Experience Points, gain 1 Weapon and Spell Damage for every 50 Experience Points the monster is worth for 30 seconds. This bonus can stack up to a maximum of 540 Weapon and Spell Damage . This item set is not affected by Experience Point boosting effects.",Apocrypha / Telvanni Peninsula,Medium Armor
Vivec's Duality,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Magicka 5 items : Your weapon charges over 15 seconds while not Weapon Swapping. Once fully charged, restore 6636 Magicka and Stamina after Weapon Swapping.",Apocrypha / Telvanni Peninsula,Light Armor
Ayleid Refuge,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Blocking an attack reduces your damage taken by 11% for 3 seconds.,West Weald,Heavy Armor
Macabre Vintage,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 3-150 Weapon and Spell Damage 5 items : When you kill a monster they burst with blood magic, dealing 50% of their Max Health to enemies within 6 meters as Bleed Damage , up to 24096 Bleed Damage. This damage cannot critically strike. This effect can occur once every 0.5 seconds.",West Weald,Medium Armor
Symmetry of the Weald,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Adds 200% Status Effect Chance while your Health is above 50%. Adds 10% Healing Done while your Health is 50% or less.,West Weald,Light Armor
Three Queens Wellspring,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : Gain 1 Magicka Recovery for every 100 Max Magicka you have. Current Increase: 120 Magicka Recovery,Solstice,Light Armor
Death-Dancer,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Stamina Recovery 5 items : Adds 35-1528 Critical Chance while you have 50% or more Stamina . Reduce the cost of your Core Combat abilities by 0-23% while you have less than 50% of your Stamina .,Solstice,Medium Armor
Full Belly Barricade,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : While you have a food buff active, your Block Mitigation is increased by 0-8% and block cost is reduced by 0-8%.",Solstice,Heavy Armor
