Style,Material,Motif
Ebonshadow Style,Tenebrous Cord,Crafting Motif 57: Ebonshadow Style
Fang Lair Style,Dragon Bone,Crafting Motif 58: Fang Lair
Scalecaller Style,Infected Flesh,Crafting Motif 59: Scalecaller
Worm Cult Style,Desecrated Grave Soil,Crafting Motif 60: Worm Cult
Psijic Style,Vitrified Malondo,Crafting Motif 61: Psijic
Sapiarch Style,Culanda Lacquer,Crafting Motif 62: Sapiarch
Dremora Style,Warrior's Heart Ashes,Crafting Motif 63: Dremora Style
Pyandonean Style,Sea Serpent Hide,Crafting Motif 64: Pyandonean Style
Huntsman Style,Bloodscent Dew,Crafting Motif 65: Huntsman
Silver Dawn Style,Argent Pelt,Crafting Motif 66: Silver Dawn
Welkynar Style,Gryphon Plume,Crafting Motif 67: Welkynar
Honor Guard Style,Red Diamond Seal,Crafting Motif 68: Honor Guard Style
Dead-Water Style,Crocodile Leather,Crafting Motif 69: Dead-Water Style
Elder Argonian Style,Hackwing Plumage,Crafting Motif 70: Elder Argonian
Coldsnap Style,Goblin-Cloth Scrap,Crafting Motif 71: Coldsnap Style
Meridian Style,Auroran Dust,Crafting Motif 72: Meridian Style
Anequina Style,Shimmering Sand,Crafting Motif 73: Anequina Style
Pellitine Style,Dragonthread,Crafting Motif 74: Pellitine Style
Sunspire Style,Frost Embers,Crafting Motif 75: Sunspire Style
Dragonguard Style,Gilding Salts,Crafting Motif 76: Dragonguard Style
Stags of Z'en Style,Oath Cord,Crafting Motif 77: Stags of Z'en Style
Moongrave Fane Style,Blood of Sahrotnax,Crafting Motif 78: Moongrave Fane Style
Refabricated Style,Polished Rivets,Crafting Motif 79: Refabricated Style
Shield of Senchal Style,Carmine Shieldsilk,Crafting Motif 80: Shield of Senchal Style
New Moon Priest Style,Aeonstone Shard,Crafting Motif 81: New Moon Priest Style
Icereach Coven Style,Fryse Willow,Crafting Motif 82: Icereach Coven Style
Pyre Watch Style,Consecrated Myrrh,Crafting Motif 83: Pyre Watch Style
Blackreach Vanguard Style,Gloomspore Chitin,Crafting Motif 84: Blackreach Vanguard Style
Greymoor Style,Bat Oil,Crafting Motif 85: Greymoor Style
Sea Giant Style,Sea Snake Fang,Crafting Motif 86: Sea Giant Style
Ancestral Nord Style,Etched Corundum,Crafting Motif 87: Ancestral Nord Style
Ancestral Orc Style,Etched Manganese,Crafting Motif 88: Ancestral Orc Style
Ancestral High Elf Style,Etched Adamantite,Crafting Motif 89: Ancestral High Elf Style
Thorn Legion Style,Thorn Sigil,Crafting Motif 90: Thorn Legion Style
Hazardous Alchemy Style,Viridian Phial,Crafting Motif 91: Hazardous Alchemy Style
Ancestral Akaviri Style,Burnished Goldscale,Crafting Motif 92: Ancestral Akaviri Style
Ancestral Breton Style,Etched Molybdenum,Crafting Motif 93: Ancestral Breton Style
Ancestral Reach Style,Etched Bronze,Crafting Motif 94: Ancestral Reach Style
Nighthollow Style,Umbral Droplet,Crafting Motif 95: Nighthollow Style
Arkthzand Armory Style,Arkthzand Sprocket,Crafting Motif 96: Arkthzand Armory Style
Wayward Guardian Style,Hawk Skull,Crafting Motif 97: Wayward Guardian Style
House Hexos Style,Etched Nickel,Crafting Motif 98: House Hexos Style
Waking Flame Style,Chokeberry Extract,Crafting Motif 99: Waking Flame Style
True-Sworn Style,Fulgid Epidote,Crafting Motif 100: True-Sworn Style
Ivory Brigade Style,Ivory Brigade Clasp,Crafting Motif 101: Ivory Brigade Style
Sul-Xan Style,Death Hopper Vocal Sac,Crafting Motif 102: Sul-Xan Style
Black Fin Legion Style,Marsh Nettle Sprig,Crafting Motif 103: Black Fin Legion Style
Ancient Daedric Style,Pristine Daedric Heart,Crafting Motif 104: Ancient Daedric Style
Crimson Oath Style,Filed Barbs,Crafting Motif 105: Crimson Oath Style
Silver Rose Style,Rose Engraving,Crafting Motif 106: Silver Rose Style
Annihilarch's Chosen Style,Blaze-Veined Prism,Crafting Motif 107: Annihilarch's Chosen Style
Fargrave Guardian Style,Indigo Lucent,Crafting Motif 108: Fargrave Guardian Style
Dreadsails Style,Squid Ink,Crafting Motif 110: Dreadsails Style
Ascendant Order Style,Bone Pyre Ash,Crafting Motif 111: Ascendant Order Style
Syrabanic Marine Style,Scalloped Frog-Metal,Crafting Motif 112: Syrabanic Marine Style
Steadfast Society Style,Stendarr Stamp,Crafting Motif 113: Steadfast Society Style
Systres Guardian Style,High Isle Filigree,Crafting Motif 114: Systres Guardian Style
Y'ffre's Will Style,Engraved Leaves,Crafting Motif 115: Y'ffre's Will Style
Drowned Mariner Style,Preserving Saltwater,Crafting Motif 116: Drowned Mariner Style
Firesong Style,Firesong Skarn,Crafting Motif 117: Firesong Style
House Mornard Style,Vibrant Tumeric,Crafting Motif 118: House Mornard Style
Blessed Inheritor Style,Necrom Incense,Crafting Motif 119: Blessed Inheritor Style
Scribes of Mora Style,Glass Eye of Mora,Crafting Motif 120: Scribes of Mora Style
Clan Dreamcarver Style,Terror Oil,Crafting Motif 121: Clan Dreamcarver Style
Dead Keeper Style,Funerary Wrappings,Crafting Motif 122: Dead Keeper Style
Kindred's Concord Style,Festering Dreamcloth,Crafting Motif 123: Kindred's Concord Style
The Recollection Style,Wildburn Withers,Crafting Motif 124: The Recollection Style
Blind Path Cultist Style,Splinters of Mirrormoor,Crafting Motif 125: Blind Path Cultist Style
Shardborn Style,Obliviate Lacquer,Crafting Motif 126: Shardborn Style
West Weald Legion Style,Weald Brooch,Crafting Motif 127: West Weald Legion Style
Lucent Sentinel Style,Memory Dross,Crafting Motif 128: Lucent Sentinel Style
Hircine Bloodhunter Style,Horn of the Huntbeast,Crafting Motif 129: Hircine Bloodhunter Style
Exile's Revenge Style,Exile's Oath-Gem,Crafting Motif 130: Exile's Revenge Style
Militant Monk Style,Hel Netu Pigment,Crafting Motif 131: Militant Monk Style
Stirk Fellowship Style,Brooch of Fellowship,Crafting Motif 132: Stirk Fellowship Style
Coldharbour Dominator Style,Cold-Iron Cladding,Crafting Motif 133: Coldharbour Dominator Style
Tide-Born Style,Tide-Born Feathers,Crafting Motif 134: Tide-Born Style
Black Soul Gem Style,Uncut Black Gem Shards,Crafting Motif 135: Black Soul Gem Style
Voskrona Guardian Style,Voskrona Jade Clusters,Crafting Motif 136: Voskrona Guardian Style
Koldane Cartel Style,Cartel Clasp,Crafting Motif 137: Koldane Cartel Style
