,Name,Drink Level,Drink Type,Health,Magicka,Stamina,Dur (mins)
,Maormer Tea,30,Tea,0,0,0,35
,Spiceberry Chai,30,Tea,0,0,0,35
,Torval Mint Tea,30,Tea,0,0,0,35
,Berrymead Tonic,30,Tonic,0,0,0,35
,Dancing Grandma,30,Tonic,0,0,0,35
,Pirate's Jig Tonic,30,Tonic,0,0,0,35
,Nereid Wine,35,Alcohol,0,0,0,35
,Rye-in-your-Eye,35,Alcohol,0,0,0,35
,"Sorry, Honey Lager",35,Alcohol,0,0,0,35
,Pink Profundity,35,Tea,0,0,0,35
,Puckermint Tea,35,Tea,0,0,0,35
,Winter Rose Tea,35,Tea,0,0,0,35
,Crystal Clarity,35,Tonic,0,0,0,35
,Rihad Qishr,35,Tonic,0,0,0,35
,Seaberry Tonic,35,Tonic,0,0,0,35
,Cheydinhal Sherry,40,Alcohol,0,0,0,35
,Colovian Amber Ale,40,Alcohol,0,0,0,35
,Gods-Blind-Me,40,Alcohol,0,0,0,35
,Sweet Slaughterfish Tea,40,Tea,0,0,0,35
,Two-Zephyr Tea,40,Tea,0,0,0,35
,Vivec's Gingergreen Chai,40,Tea,0,0,0,35
,Blue Road Marathon,40,Tonic,0,0,0,35
,Infernal Infusion,40,Tonic,0,0,0,35
,Sweet Persistence,40,Tonic,0,0,0,35
,Sour Gin Fizz,45,Alcohol,0,0,0,35
,Sweet Scamp Sake,45,Alcohol,0,0,0,35
,Whiskey Sour,45,Alcohol,0,0,0,35
,Camlorn Mint Tea,45,Tea,0,0,0,35
,Jasminger Tea,45,Tea,0,0,0,35
,Sweet Dreams Tea,45,Tea,0,0,0,35
,Dreugh Spit,45,Tonic,0,0,0,35
,Lemonic Invigoration,45,Tonic,0,0,0,35
,Shimmerene Tonic,45,Tonic,0,0,0,35
,Comely Wench Whisky,',Alcohol,0,0,0,35
,Frothy Sargassum,',Alcohol,0,0,0,35
,Rimmen Sour Bock,',Alcohol,0,0,0,35
,Clan Mother's Cordial,',Tea,0,0,0,35
,Mournhold Twister,',Tea,0,0,0,35
,Grandpa's Bedtime Tonic,',Tonic,0,0,0,35
,Sload Slime,',Tonic,0,0,0,35
,Soothing Sundas Tonic,',Tonic,0,0,0,35
,Arenthian Brandy,',Alcohol,0,0,0,35
,Argonian Mud-Nectar,',Alcohol,0,0,0,35
,Summer Sky Pale Ale,',Alcohol,0,0,0,35
,Bitter Ritual Tea,',Tea,0,0,0,35
,Five-Fireball Infusion,',Tea,0,0,0,35
,Khenarthi's Wings Chai,',Tea,0,0,0,35
,Sailor's Second Wind,',Tonic,0,0,0,35
,Sipping Imga Tonic,',Tonic,0,0,0,35
,Wamasu Spew,',Tonic,0,0,0,35
,Alabaster Honey Rum,',Alcohol,0,0,0,35
,Pirate Queen Mint Tea,',Tea,0,0,0,35
,Nocturnal's Everblack Coffee,',Tonic,0,0,0,35
,Kragenmoor Zinger Mazte,',Alcohol,0,0,0,35
,Heart's Day Rose Tea,',Tea,0,0,0,35
,Fredas Night Infusion,',Tonic,0,0,0,35
