Set Name,Bonuses,Head Piece Dropped by,Shoulder Vendor,Helm,Shoulder
Encratis's Behemoth,1 item : Adds 25-1096 Maximum Magicka 2 items : Dealing Flame Damage to an enemy grants you Behemoth's Aura for 12 seconds that reaches up to 12 meters. You and up to 11 group members in the aura reduce Flame Damage taken by 5%. Enemies in the aura increase their Flame Damage taken by 5%. This effect can occur once every 15 seconds.,Pyroturge Encratis in Black Drake Villa,Urgarlag Chief-bane,,
Engine Guardian,"1 item : Adds 3-129 Health Recovery 2 items : When you use an ability that costs resources, you have a 25% chance to summon a Dwemer automaton to restore 12-550 Stamina or Magicka or 45-1955 Health to you every 0.5 seconds for 6 seconds. This effect can occur once every 10 seconds.",The Engine Guardian in Darkshade Caverns II,Maj al-Ragath,,
Euphotic Gatekeeper,"1 item : Adds 3-129 Stamina Recovery 2 items : When you use Roll Dodge , create a Hadolid Husk after you roll. While within 5 meters of the Hadolid Husk, it will absorb all direct damage attacks against you. After 1 second, the Hadolid Husk explodes, dealing 1155 Poison damage to all enemies within 5 meters. This effect can occur once every 20 seconds and scales off the higher of your Weapon and Spell Damage .",The Euphotic Gatekeeper in Graven Deep,Urgarlag Chief-bane,,
Grothdarr,"1 item : Adds 25-1096 Maximum Magicka 2 items : When you deal damage to an enemy within 8 meters, you have a 10% chance to create lava pools that swirl around you, dealing 259 Flame damage to all enemies within 8 meters of you every 1 second for 5 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Mad Architect in Vaults of Madness,Glirion the Redbeard,,
Grundwulf,"1 item : Adds 15-657 Critical Chance 2 items : Whenever you deal critical damage, restore 16-700 Magicka or Stamina , whichever maximum is higher. You also gain 8-350 of the other resource. This effect can occur once every 5 seconds.",Grundwulf in Moongrave Fane,Urgarlag Chief-bane,,
Iceheart,"1 item : Adds 15-657 Critical Chance 2 items : When you deal Critical Damage , you have a 20% chance to gain a damage shield that absorbs 116-5000 damage for 6 seconds. While the damage shield holds, you deal 259 Frost damage to all enemies within 5 meters of you every 1 second. This effect can occur once every 6 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Drodda of Icereach in Direfrost Keep,Glirion the Redbeard,,
Ilambris,"1 item : Adds 25-1096 Maximum Magicka 2 items : When you deal Flame or Shock Damage , you have a 33% chance to summon a meteor shower that deals 145 Flame damage and 145 Shock damage to all enemies within 4 meters every 1 second for 5 seconds. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Ilambris-Athor or Ilambris-Zaven in Crypt of Hearts I,Glirion the Redbeard,,
Infernal Guardian,"1 item : Adds 25-1096 Maximum Magicka 2 items : When you apply a damage shield to yourself or an ally, you have a 50% chance to lob 3 mortars over 2 seconds at the furthest enemy from you that each deal 641 Flame damage to all enemies within 5 meters of the blast area. This effect can occur once every 6 seconds and scales off the higher of your Weapon and Spell Damage .",Razor Master Erthas in City of Ash I,Glirion the Redbeard,,
Kargaeda,"1 item : Adds 17-731 Maximum Magicka 1 item : Adds 17-731 Maximum Stamina 2 items : On dealing damage with a Heavy Attack , create a 6 meter whirlwind that slowly moves forward for 8 seconds, growing by 3 meters every 3 seconds. Enemies within the whirlwind take 150 Shock damage and 150 Physical damage every second, while group members reduce their Magicka and Stamina costs by 10%. This effect can occur once every 20 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Varallion in Coral Aerie,Urgarlag Chief-bane,,
Kjalnar's Nightmare,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : Damaging an enemy with a Light Attack puts a Bone stack on them for 5 seconds, up to once every 0.5 seconds. At 5 stacks, an undodgeable skeletal hand attacks your enemy after 1 second, knocking them into the air and stunning them for 3 seconds, or dealing 2221 Magic damage if they cannot be stunned. Enemies then become immune to Kjalnar's Nightmare stacks for 4 seconds. The damage scales off the higher of your Weapon and Spell Damage .",Kjalnar Tombskald in Unhallowed Grave,Urgarlag Chief-bane,,
Kra'gh,"1 item : Adds 34-1487 Offensive Penetration 2 items : When you deal damage, you have a 10% chance to spawn dreugh limbs that create shockwaves in front of you dealing 249 Physical damage every 0.6 seconds for 2.4 seconds. This effect can occur once every 6 seconds and scales off the higher of your Weapon and Spell Damage .",Kra'gh the Dreugh King in Fungal Grotto I,Maj al-Ragath,,
Lady Thorn,"1 item : Adds 28-1206 Maximum Health 2 items : Casting an ability that costs Health spawns a blood ball for 10 seconds. This effect can occur once every 10 seconds. You or an ally near the blood ball can activate the Sanguine Burst synergy , dealing 2879 Disease damage to nearby enemies and applying Major Maim for 8 seconds, decreasing their damage done by 10%. Enemies can only receive Major Maim from Sanguine Burst once every 20 seconds. The damage scales off the synergy activator's Max Health .",Lady Thorn in Castle Thorn,Urgarlag Chief-bane,,
Lord Warden,"1 item : Adds 34-1487 Armor 2 items : When you take damage, you have a 50% chance to summon a shadow orb for 10 seconds that increases the Physical and Spell Resistance of you and your group members within 8 meters by 73-3180. This effect can occur once every 10 seconds.",Lord Warden Dusk in Imperial City Prison,Urgarlag Chief-bane,,
Maarselok,"1 item : Adds 25-1096 Maximum Stamina 2 items : When you deal damage with a melee Heavy Attack , you spew a cone of corruption, dealing 1492 Disease damage to enemies over 4 seconds. This damage is increased by 10% for each negative effect the enemies have, up to a maximum of 300%. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Maarselok in Lair of Maarselok,Urgarlag Chief-bane,,
Magma Incarnate,"1 item : Adds 3-129 Magicka Recovery 1 item : Adds 3-129 Stamina Recovery 2 items : When you heal yourself or a group member with a single target heal ability, grant the lowest Health group member within 28 meters Minor Courage and Minor Resolve , increasing their Weapon and Spell Damage by 215 and Armor by 2974 for 10 seconds. Daedric Energy will then bounce to a nearby group member within 8 meters, up to 3 times, applying Minor Courage and Minor Resolve for 10 seconds. This effect can occur once every 15 seconds.",Magma Incarnate in The Dread Cellar,Urgarlag Chief-bane,,
Maw of the Infernal,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you deal damage with a Light or Heavy Attack , you have a 33% chance to summon a fire breathing Daedroth for 15 seconds. The Daedroth's attacks deal 599 Flame damage every 2 seconds. The Daedroth can only be summoned once every 15 seconds and its damage scales off the higher of your Weapon and Spell Damage .",High Kinlord Rilis in Banished Cells II,Maj al-Ragath,,
Mighty Chudan,"1 item : Adds 34-1487 Armor 2 items : Adds 28-1206 Maximum Health 2 items : Gain Major Resolve at all times, increasing your Physical and Spell Resistance by 5948.",Tree-Minder Na-Kesh in Ruins of Mazzatun,Urgarlag Chief-bane,,
Molag Kena,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you consecutively Light Attack 2 times, you trigger Overkill for 6 seconds, which increases your Weapon and Spell Damage by 13-560 but also increases the cost of your abilities by 8%. This effect can occur once every 6 seconds.",Molag Kena in White-Gold Tower,Urgarlag Chief-bane,,
Mother Ciannait,"1 item : Adds 25-1096 Maximum Magicka 2 items : While in combat, casting an ability with a cast time or channeling an ability grants you a damage shield that absorbs 116-5000 damage for 6 seconds. If the damage shield is broken, you restore 22-985 Magicka . This effect can occur once every 7 seconds.",Mother Ciannait in Icereach,Urgarlag Chief-bane,,
Nazaray,"1 item : Adds 28-1206 Maximum Health 2 items : When you use an Ultimate ability, the closest 6 enemies within 12 meters have all Major and Minor debuffs applied to them extended by 1 second per 20 Ultimate spent. This effect can occur once every 30 seconds per target.",Captain Numirril in Shipwright's Regret,Urgarlag Chief-bane,,
Nerien'eth,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you deal direct damage, you have a 15% chance to summon a Lich crystal that explodes after 2 seconds, dealing 1360 Magic damage to all enemies within 4 meters. This effect can occur once every 3 seconds and scales off the higher of your Weapon and Spell Damage .",Nerien'eth in Crypt of Hearts II,Glirion the Redbeard,,
Nightflame,"1 item : Adds 25-1096 Maximum Magicka 2 items : When you heal yourself or an ally, you have a 20% chance to summon a totem for 6 seconds that heals you and your allies within 5 meters for 704 Health every 1 second. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina .",Bogdan the Nightflame in Elden Hollow II,Maj al-Ragath,,
Orpheon the Tactician,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : While in combat, casting an ability that leaves an effect on the ground summons a tentacle at the target's location. After 2 seconds, the tentacle swings wildly in a 5 meter radius, dealing 229 Physical damage and stunning up to 6 enemies for 3 seconds. Enemies immune to stun take 1429 Physical damage instead. This effect can occur every 8 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Orpheon the Tactician in Lep Seclusa,Urgarlag Chief-bane,,
Ozezan the Inferno,"1 item : Adds 3-129 Magicka Recovery 2 items : Over healing yourself or an ally grants them 4272 Armor for 1.1 seconds. Healing yourself or an ally grants them Minor Vitality for 1.1 seconds, increasing their healing received and damage shield strength by 6%.",Valinna in Scrivener's Hall,Urgarlag Chief-bane,,
Pirate Skeleton,"1 item : Adds 34-1487 Armor 2 items : When you take damage, you transform into a skeleton and gain Major Protection and Minor Defile for 15 seconds, reducing your damage taken by 10% but reducing your healing received and damage shield strength by 6%. This effect can occur once every 20 seconds.",Captain Blackheart in Blackheart Haven,Glirion the Redbeard,,
Prior Thierric,1 item : Adds 3-129 Weapon and Spell Damage 2 items : Dealing direct damage with an area of effect ability creates a 6 meter shadowy whirlwind below your enemy for 7 seconds. Enemies within the whirlwind take 283 Physical damage each second and increase their damage taken from your area of effect abilities by 5%. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .,Prior Thierric Sarazen in Red Petal Bastion,Urgarlag Chief-bane,,
Roksa the Warped,"1 item : Adds 1-70 Stamina Recovery 1 item : Adds 1-70 Magicka Recovery 1 item : Adds 1-70 Health Recovery 2 items : Each second you are in combat, gain a stack of Darklight, up to 30 stacks max. Each stack of Darklight increases your Stamina Recovery , Magicka Recovery , and Health Recovery by 8. Each second you are out of combat, lose a stack of Darklight.",Matriarch Lladi Telvanni in Bal Sunnar,Urgarlag Chief-bane,,
Scourge Harvester,"1 item : Adds 28-1206 Maximum Health 2 items : When you take damage, you have a 10% chance to tether to your enemy for 6 seconds, as long as you remain within 8 meters of them. While tethered, you deal 311 Magic damage every second to the enemy, heal for the damage caused, and gain Major Vitality , increasing your healing received and damage shield strength by 12%. This effect can occur once every 6 seconds and scales off your Max Health .",Allene Pellingare or Varaine Pellingare in Wayrest Sewers II,Maj al-Ragath,,
Selene,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you deal Martial melee damage, you call upon a primal spirit that mauls the closest enemy in front of you after 1.3 seconds for 1702 Physical damage . This effect can occur once every 6 seconds and scales off the higher of your Weapon and Spell Damage .",Selene in Selene's Web,Glirion the Redbeard,,
Sellistrix,"1 item : Adds 25-1096 Maximum Stamina 2 items : When you deal damage you create an earthquake under the enemy that erupts after 1.5 seconds, dealing 975 Physical damage to all enemies within 4 meters and stunning them for 3 seconds. This effect can occur once every 6 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Sellistrix the Lamia Queen in Arx Corinium,Glirion the Redbeard,,
Sentinel of Rkugamz,1 item : Adds 4% Healing Done 2 items : When you heal yourself or an ally you summon a Dwemer spider that heals for 23-1000 Health and restores 2-125 Magicka and Stamina to you and your allies within 5 meters every 1 second for 8 seconds. This effect can occur once every 15 seconds.,Sentinel of Rkugamz in Darkshade Caverns I,Maj al-Ragath,,
Shadowrend,"1 item : Adds 3-129 Magicka Recovery 2 items : When you take damage, you summon a shadowy Clannfear for 15 seconds. The Clannfear's attacks deal 615 Magic damage and apply Minor Maim , reducing the target's damage done by 5% for 2 seconds. The Clannfear can be summoned once every 15 seconds and its damage scales off your Max Health .",Shadowrend in The Banished Cells I,Maj al-Ragath,,
Slimecraw,"1 item : Adds 15-657 Critical Chance 2 items : Adds 2-113 Critical Chance 2 items : Gain Minor Berserk at all times, increasing your damage done by 5%.",Slimecraw in Wayrest Sewers I,Maj al-Ragath,,
Spawn of Mephala,"1 item : Adds 25-1096 Maximum Stamina 2 items : When you deal damage with a fully-charged Heavy Attack , you create a web under the target for 10 seconds that deals 218 Poison damage every 1 second to all enemies within 4 meters. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Vila Theran in Fungal Grotto II,Maj al-Ragath,,
Squall of Retribution,"1 item : Adds 28-1206 Maximum Health 2 items : When you take damage, gain one random effect for 6 seconds: Gain Minor Protection , reducing your damage taken by 5%. Gain a damage shield that absorbs up to 5835 damage. Heal for 607 Health every 2 seconds. The Health restore scales off of your Max Health . This effect can occur once every 4.5 seconds.",Squall of Retribution in Exiled Redoubt,Urgarlag Chief-bane,,
Stone Husk,"1 item : Adds 15-657 Critical Chance 2 items : Your Heavy Attacks tether you to enemies for 5 seconds, as long as you remain within 10 meters of them. Enemies touching the tether take 212 Physical damage every 1 second and you gain a stack of Husk Drain, up to 15 stacks. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage . When the tether ends, you consume the stacks and gain 0-30 Weapon and Spell Damage per stack for 5 seconds.",Arkasis the Mad Alchemist in Stone Garden,Urgarlag Chief-bane,,
Stonekeeper,"1 item : Adds 12-548 Maximum Stamina 1 item : Adds 12-548 Maximum Magicka 1 item : Adds 14-603 Maximum Health 2 items : When you Block , you gain an energy Charge stack. When you gain 6 Charges, you release the energy, restoring 57-2480 Stamina and Magicka , and healing for 57-2480. After releasing the Charges, you cannot regain new Charges for 14 seconds. Charges can be accumulated up to once every .25 seconds.",The Stonekeeper in Frostvault,Urgarlag Chief-bane,,
Stormfist,"1 item : Adds 3-129 Stamina Recovery 2 items : When you deal damage, you have a 10% chance to create a thunderfist to crush the enemy, dealing 277 Shock damage every 1 second for 3 seconds to all enemies within 4 meters and a final 1110 Physical damage when the fist closes. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Stormreeve Neidir in Tempest Island,Glirion the Redbeard,,
Swarm Mother,"1 item : Adds 25-1096 Maximum Stamina 1 item : Adds 25-1096 Maximum Magicka 2 items : When you Block an enemy that is between 8 and 22 meters from you, you spin strands of spider silk to pull the enemy to you and taunt them for 15 seconds if they are not already taunted. This effect can occur once every 1 second.",The Whisperer in Spindleclutch I,Maj al-Ragath,,
Symphony of Blades,"1 item : Adds 4% Healing Done 2 items : When you heal a group member who is under 50% of their primary resource, grant them Meridia's Favor, which restores 13-570 Magicka or Stamina every 1 second for 6 seconds. This effect can occur every 18 seconds per target. This effect cannot target yourself, and the resource returned is based off the target's highest maximum resource.",Symphony of Blades in Depths of Malatar,Urgarlag Chief-bane,,
Thurvokun,"1 item : Adds 28-1206 Maximum Health 2 items : When you take damage from a nearby enemy, you summon a growing pool of desecrated bile for 8 seconds. Enemies in the bile take 195 Disease damage every 1 second and are afflicted with Minor Maim and the Diseased status for 4 seconds, reducing their damage done by 5% and healing received and Health Recovery by 6%. This effect can occur every 16 seconds and the damage scales off your Max Health .",Thurvokun in Fang Lair,Urgarlag Chief-bane,,
Tremorscale,"1 item : Adds 25-1096 Maximum Stamina 2 items : When you activate a taunt ability on an enemy, you cause a duneripper to burst from the ground beneath them after 1 second, dealing 0 Physical damage to all enemies within 4 meters and reducing their Armor by 0 for 15 seconds. This effect can occur once every 10 seconds and scales off the higher of your Physical or Spell Resistance .",Guardian Council in Volenfell,Glirion the Redbeard,,
The Troll King,"1 item : Adds 4% Healing Done 2 items : When you heal yourself or an ally, if they are still below 50% Health , their Health Recovery is increased by 21-925 for 10 seconds.",The Lava Queen in Blessed Crucible,Glirion the Redbeard,,
Valkyn Skoria,"1 item : Adds 34-1487 Offensive Penetration 2 items : When you deal damage with a damage over time effect, you have an 8% chance to summon a meteor that deals 1342 Flame damage to the target and 447 Flame damage to all other enemies within 5 meters. This effect can occur once every 5 seconds and scales off the higher of your Weapon and Spell Damage .",Valkyn Skoria in City of Ash II,Glirion the Redbeard,,
Velidreth,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you deal damage, you have a 20% chance to spawn 3 disease spores in front of you after 1 second that deal 1557 Disease damage to any enemy they hit. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Velidreth in Cradle of Shadows,Urgarlag Chief-bane,,
Vykosa,"1 item : Adds 4% Healing Taken 2 items : When you Bash an enemy you've taunted , you frighten them with a deafening howl, applying Major Cowardice to them, lowering their Weapon and Spell Damage by 430 for 8 seconds. This effect can occur once every 15 seconds.",Vykosa in Moon Hunter Keep,Urgarlag Chief-bane,,
Zaan,"1 item : Adds 15-657 Critical Chance 2 items : When you deal Critical Damage with a Light or Heavy Attack , you have a 33% chance to tether to your enemy for 10 seconds as long as you remain within 8 meters of them. Enemies touching the tether take 145 Flame damage every 1 second, increasing by 100% per tick and are afflicted with the Burning status effect . This effect can occur once every 20 seconds and scales off the higher of your Weapon and Spell Damage .",Dragon Bones in Scalecaller Peak,Urgarlag Chief-bane,,
