Set Name,Bonuses,Location(s),Set Type
Prisoner's Rags,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Stamina Recovery 5 items : Reduces the cost of Sprint by 50%. While Sprinting, restore 24-1035 Magicka every 1 second.",Coldharbour,Light Armor
Stygian,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : When you leave Sneak or invisibility while in combat, your Weapon and Spell Damage is increased by 8-369 for 15 seconds.",Coldharbour,Medium Armor
Way of Air,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Increases the radius you can detect Sneaking enemies by 2 meters. 5 items : Adds 3-129 Stamina Recovery 5 items : When you use Roll Dodge , your Weapon and Spell Damage is increased by 9-391 for 6 seconds.",Craglorn,Medium Armor
Way of Fire,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 28-1206 Maximum Health 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a Light or Heavy Attack , you deal an additional 571 Flame damage . This effect can occur once every 2 seconds and scales off the higher of your Weapon and Spell Damage .",Craglorn,Heavy Armor
Way of Martial Knowledge,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While your Stamina is below 50%, your Light Attacks cause the enemy to take 8% additional damage for 5 seconds. This effect can occur once every 8 seconds.",Craglorn,Light Armor
Mother's Sorrow,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : Adds 35-1528 Critical Chance,Deshaan,Light Armor
Night Mother's Embrace,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Stamina Recovery 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 25%.,Deshaan,Medium Armor
Plague Doctor,2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Adds 65-2804 Maximum Health,Deshaan,Heavy Armor
Akaviri Dragonguard,2 items : Adds 3-129 Magicka Recovery 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : Adds 3-158 Health Recovery 5 items : Reduces the cost of your Ultimate abilities by 15%.,Eastmarch,Heavy Armor
Fiord's Legacy,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Stamina Recovery 5 items : Reduces the cost and increases the Movement Speed bonus of Sprint by 15%.,Eastmarch,Medium Armor
Stendarr's Embrace,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : When you heal yourself or an ally, you remove all negative effects from them. This effect can occur once every 30 seconds per target.",Eastmarch,Light Armor
Bloodthorn's Touch,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : When you deal direct damage, you restore 18-800 Magicka and Stamina . This effect can occur once every 5 seconds.",Glenumbra,Light Armor
Hide of the Werewolf,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage, you generate 6 Ultimate . This effect can occur once every 5 seconds and the Ultimate triples while in Werewolf Transformation .",Glenumbra,Medium Armor
Wyrd Tree's Blessing,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Magicka Recovery 5 items : When you cast a Magicka ability, you remove all negative effects from yourself. This effect can occur once every 15 seconds.",Glenumbra,Heavy Armor
Green Pact,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Health Recovery 4 items : Adds 28-1206 Maximum Health 5 items : While you have a food buff active, your Max Health is increased by 58-2500 and Health Recovery by 8-356.",Grahtwood,Heavy Armor
Ranger's Gait,2 items : Adds 3-129 Stamina Recovery 3 items : Adds 15-657 Critical Chance 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 3-129 Stamina Recovery 5 items : Reduce the effectiveness of snares applied to you by 50%.,Grahtwood,Medium Armor
Syrabane's Grip,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Magicka 5 items : When you Block Flame , Frost , Shock , or Magic Damage, you restore 18-805 Magicka . This effect can occur once every 1 second.",Grahtwood,Light Armor
Beekeeper's Gear,2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Adds 20-900 Health Recovery,Greenshade,Heavy Armor
Shadow Dancer's Raiment,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : After leaving Sneak or invisibility , you dodge all incoming attacks within the next 1 second. This effect can occur once every 8 seconds.",Greenshade,Light Armor
Wilderqueen's Arch,2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 25-1096 Maximum Stamina 5 items : Your Bow attacks reduce the Movement Speed of any enemy they hit by 0-15% and increase your Movement Speed by 0-15% for 3 seconds.,Greenshade,Medium Armor
Salvation,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 25-1096 Maximum Stamina 5 items : Reduces the cost of your Werewolf Transformation ability by 33%. While in Werewolf form, your Weapon and Spell Damage is increased by 5-150.",Malabal Tor,Medium Armor
Spinner's Garments,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 80-3460 Offensive Penetration,Malabal Tor,Light Armor
Thunderbug's Carapace,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take Physical Damage , you deal 714 Shock damage in a 5 meter radius around you. This effect can occur once every 3 seconds and scales off the higher of your Weapon and Spell Damage .",Malabal Tor,Heavy Armor
Senche's Bite,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 15-657 Critical Chance 4 items : Adds 25-1096 Maximum Stamina 5 items : Whenever you successfully Dodge, increase your Critical Damage and Critical Healing by 0-15% for 10 seconds.",Reaper's March,Medium Armor
Skooma Smuggler,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you drink a potion while in combat, you gain Major Expedition for 30 seconds, increasing your Movement Speed by 30%.",Reaper's March,Light Armor
Soulshine,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Activating an ability with a cast or channel time grants you 8-369 Weapon and Spell Damage for 5 seconds.,Reaper's March,Heavy Armor
Darkstride,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Stamina Recovery 5 items : Reduces the cost of Sprint and Sneak by 50%.,Rivenspire,Medium Armor
Necropotence,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : While you have a pet active, your Max Magicka is increased by 72-3132.",Rivenspire,Light Armor
Vampire Cloak,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 28-1206 Maximum Health 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Gain Minor Protection at all times, reducing your damage taken by 5%.",Rivenspire,Heavy Armor
Hatchling's Shell,2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : Whenever you take damage you gain a damage shield that absorbs up to 3200 damage for 6 seconds. This effect can occur once every 6 seconds and scales off your Max Health .,Shadowfen,Heavy Armor
Robes of the Hist,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Magicka 5 items : After being hit by a disabling effect, immobilization, or snare, you heal for 46-2000 Health every 1 second for 5 seconds. The effect can apply once every second, but cannot stack.",Shadowfen,Light Armor
Swamp Raider,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 13-600 Weapon and Spell Damage to your Poison and Disease Damage abilities.,Shadowfen,Medium Armor
Shadow of the Red Mountain,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : When you deal damage with a weapon, you spawn a volcano that erupts after 1 second, launching liquid hot lava at the closest enemy dealing 1860 Flame damage . This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Stonefalls,Medium Armor
Shalk Exoskeleton,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Adds 3-171 Weapon and Spell Damage 5 items : Gain Minor Heroism at all times while you are in combat, generating 1 Ultimate every 1.5 seconds.",Stonefalls,Heavy Armor
Silks of the Sun,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 9-400 Weapon and Spell Damage to your Flame Damage abilities.,Stonefalls,Light Armor
Dreamer's Mantle,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Magicka 5 items : When you take damage while you are under 35% Health , you knockdown all enemies within 4 meters of you for 2 seconds and restore 24-1058 Magicka . This effect can occur once every 7 seconds.",Stormhaven,Light Armor
Night Terror,"2 items : Adds 25-1096 Maximum Stamina 3 items : Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 0-10%. 4 items : Adds 28-1206 Maximum Health 5 items : When you take melee damage, you deal 285 Poison damage to the attacker. This effect can occur once every 1 second and scales off the higher of your Weapon and Spell Damage .",Stormhaven,Medium Armor
Storm Knight's Plate,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : When you take non- Physical Damage , you deal 357 Shock damage to all enemies within 5 meters of you every 2 seconds for 6 seconds. This effect can occur once every 6 seconds and scales off the higher of your Weapon and Spell Damage .",Stormhaven,Heavy Armor
Draugr's Heritage,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage while you are under 35% Health , you knockdown all enemies within 4 meters of you for 2 seconds and heal for 2506 Health . This effect can occur once every 7 seconds and the heal scales off the higher of your Max Magicka or Stamina .",The Rift,Heavy Armor
Witchman Armor,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 28-1206 Maximum Health 5 items : When you use an Ultimate ability, you heal for 1-51 Health and restore 1-51 Stamina and Magicka per Ultimate spent.",The Rift,Medium Armor
Ysgramor's Birthright,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 9-400 Weapon and Spell Damage to your Frost Damage abilities.,The Rift,Light Armor
