Endeavor,Description,Tips and Notes
Kill 30 Dragons,Kill Dragons to complete this endeavor. These ancient behemoths soar over the Khajiiti homeland of Elsweyr.,
"Kill [90, 125, 180, 250] Foes with Class Skills",Finish off foes with Class Skills to complete this endeavor.,
"Kill [90, 125, 180, 250] Foes with Weapon Skills",Finish off foes with Weapon Skills to complete this endeavor.,
"Kill [15, 20, 30] Group Bosses",Kill Group Bosses to complete this endeavor.,
Kill 50 Humanoid Daedra,"Kill Dremora, Xivkyn, Skaafin, and other humanoid Daedra to complete this endeavor. Seek these cruel Daedric servants in the planes of Oblivion.",
Kill 125 Humanoid Foes,Kill humanoid foes throughout Tamriel to complete this endeavor.,
"Kill [200, 300] Humanoid Foes in West Weald","Kill humanoid enemies (Goblins, Nords, Lamia, Bretons, etc.) in PvE encounters across West Weald to complete this endeavor.",
"Kill [5, 10, 12, 15] Players in Cyrodiil",Kill enemy players in Cyrodiil to complete this endeavor.,
Kill 125 Vampires,"Kill vampires to complete this endeavor. These bloodthirsty fiends often lurk in dark caves and cold, forgotten ruins.",
"Kill [15, 20, 30, 50] World Bosses",Kill world bosses to complete this endeavor.,
Loot 40 Containers,"Loot baskets, barrels, nightstands, wardrobes and other containers to complete this endeavor.",
"Loot [4, 5, 7] Thieves Troves",Loot Thieves Troves to complete this endeavor.,
"Loot [8, 15, 20, 40] Treasure Chests",Loot treasure chests throughout Tamriel to complete this endeavor.,
"Obtain [9, 15] verses in the Infinite Archive",Obtain verses in the Infinite Archive to complete this endeavor.,
Obtain 8 visions in the Infinite Archive,Obtain visions in the Infinite Archive to complete this endeavor.,
Pick 30 Locks,Pick locked doors and chests to complete this endeavor.,
"Pickpocket [50, 100, 125] Items",Pickpocket items from the citizens of Tamriel to complete this endeavor.,
"Place [20, 35] Furnishings",Place furnishings from any category in a home you own to complete this endeavor.,
Purchase 5 Items from Guild Traders,Purchase items from any Guild Trader to complete this endeavor. Guild Traders can be found in most major cities.,
"Refine Raw Materials [50, 75] Times",Refine raw materials at their associated crafting station to complete this endeavor. Crafting stations can be found in most major cities.,
"Repair [50000, 75000] Damage to Structures in Cyrodiil",Use Door and Wall Repair Kits on structures in Cyrodiil to complete this endeavor.,
"Steal [60, 90, 125, 160] Items from the environment","Steal items from crates, baskets, shelves, and similar places to complete this endeavor.",
"Use Ultimate Skills [25, 32, 40] Times",Unleash Ultimate Skills to complete this endeavor.,
Visit 2 Player Homes,Visit Player Homes to complete this endeavor.,
