Set Name,Bonuses,Location(s),Set Type
Elf Bane,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While in combat, increases the duration of your Flame Damage over Time abilities by 5 seconds. This effect does not work with beam or channeled effects. Applies to Dragonknight Standard .",Vlastarus,Heavy Armor
Grace of the Ancients,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 55-2406 Maximum Magicka,Cropsford,Three Piece
Hawk's Eye,2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Reduces the cost and increases the damage of your Bow abilities by 6%.,Bruma,Medium Armor
The Juggernaut,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage while under 30% Health , heal for 4428 Health immediately and gain 465-20000 Armor for 15 seconds. This effect can occur once every 1 minute and the heal scales off your Max Health .",Vlastarus,Heavy Armor
Kyne's Kiss,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 15-657 Critical Chance 5 items : When you deal direct damage while 12 meters or further from your target, you heal for 521 Health and restore 30-1314 Stamina . This effect can occur once every 5 seconds and the heal scales off the higher of your Max Magicka or Stamina .",Bruma,Medium Armor
Light of Cyrodiil,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While you are casting or channeling an ability, your damage taken is reduced by 15%. When you are interrupted , your next Health , Magicka , or Stamina ability cast within 30 seconds will cost no resources.",Cropsford,Light Armor
The Morag Tong,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal direct damage, you cause the enemy to take 10% more damage from Poison and Disease attacks for 5 seconds.",Bruma,Medium Armor
Ravager,"2 items : Adds 15-657 Critical Chance 3 items : Adds 28-1206 Maximum Health 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Each time you attempt to reduce the target's Physical or Spell Resistance , you gain a stack of Ravager for 5 seconds, increasing your Weapon and Spell Damage by 3-146. You can gain a stack every 1 second. At 4 stacks, the duration doubles but cannot be refreshed.",Vlastarus,Heavy Armor
Robes of Alteration Mastery,2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 15-657 Critical Chance 5 items : Reduces the cost of all of your abilities by 6%.,Cropsford,Light Armor
Sentry,"2 items : Adds 9-424 Critical Resistance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Adds 6-266 Weapon and Spell Damage 5 items : When you begin to crouch, gain Stealth Detection for 10 seconds. This effect can only be activated every 30 seconds.",Bruma,Medium Armor
Shadow Walker,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Stamina Recovery 5 items : While you are Sneaking or invisible and are not moving, heal for 50-2150 Health and restore 50-2150 Stamina every 1 second.",Bruma,Medium Armor
Shield of the Valiant,2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Reduces your damage taken from Players by 3%. 5 items : Reduces the cost of Break Free by 40%.,Bruma,Medium Armor
Vengeance Leech,"2 items : Adds 28-1206 Maximum Health 3 items : When you kill an enemy, you heal for 64-2772 Health and restore 64-2772 Magicka and Stamina .",Bruma,Three Piece
Ward of Cyrodiil,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Stamina Recovery 5 items : When you deal Martial melee damage, you apply Major Defile to the enemy for 4 seconds, reducing their healing received and damage shield strength by 12%. This effect can occur once every 5 seconds.",Bruma,Medium Armor
Wrath of the Imperium,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 7-325 Weapon and Spell Damage to your ranged direct damage abilities.,Cropsford,Three Piece
