Item Name,Type,Zone,Alliance,How to Obtain
Onyx Shadowscale Scroll Case,Treasure,Shadowfen,Ebonheart Pact,Excavate Silver Wish Medallion
Nord Copper Shield Boss,Treasure,Eastmarch,Ebonheart Pact,Starting zone lead
Wolf-head Brooch,Treasure,Eastmarch,Ebonheart Pact,Excavate Nord Copper Shield Boss
Royal Ivory Hilt,Treasure,Eastmarch,Ebonheart Pact,Excavate Wolf-head Brooch
Augur's Bones,Treasure,The Rift,Ebonheart Pact,Starting zone lead
Akaviri Lord's Banner,Treasure,The Rift,Ebonheart Pact,Excavate Augur's Bones
Giant Chieftain's Crown,Treasure,The Rift,Ebonheart Pact,Excavate Akaviri Lord's Banner
Tormentor's Roller,Treasure,Coldharbour,Neutral,Starting zone lead
Inert Daedric Manacles,Treasure,Coldharbour,Neutral,Excavate Tormentor's Roller
Shattered Iron Maiden,Treasure,Coldharbour,Neutral,Excavate Inert Daedric Manacles
Watcher's Ritual Stole,Treasure,Craglorn,Neutral,Starting zone lead
Cracked Serpent Pendant,Treasure,Craglorn,Neutral,Excavate Watcher's Ritual Stole
Sacrificed Weapon of the Four,Treasure,Craglorn,Neutral,Excavate Cracked Serpent Pendant
Yellowed Grummite Pearl,Treasure,Eyevea,Neutral,Starting zone lead
Sheogorath Madness Cube,Treasure,Eyevea,Neutral,Excavate Yellowed Grummite Pearl
Inert Daedric Spellstone,Treasure,Eyevea,Neutral,Excavate Sheogorath Madness Cube
Armless Stone Effigy,Treasure,Wrothgar,Neutral,Starting zone lead
Worn Orcish Cauldron,Treasure,Wrothgar,Neutral,Excavate Armless Stone Effigy
Orsinium Cracked Iron Bell,Treasure,Wrothgar,Neutral,Excavate Worn Orcish Cauldron
Halved Lion's Mane Wig Piece,Treasure,Hew's Bane,Neutral,Starting zone lead
Coiled Serpent Lock,Treasure,Hew's Bane,Neutral,Excavate Halved Lion's Mane Wig Piece
Portrait of Lady Vadaya,Treasure,Hew's Bane,Neutral,Excavate Coiled Serpent Lock
Ornate Nose Ring,Treasure,Gold Coast,Neutral,Starting zone lead
Water-worn Anvil Bust,Treasure,Gold Coast,Neutral,Excavate Ornate Nose Ring
Book of Dark Rites,Treasure,Gold Coast,Neutral,Excavate Water-worn Anvil Bust
Refitted Dwarven Rod,Treasure,Vvardenfell,Neutral,Starting zone lead
Massive Ash-herder Grapnel,Treasure,Vvardenfell,Neutral,Excavate Refitted Dwarven Rod
Bleeding Beetle Door Lock,Treasure,Vvardenfell,Neutral,Excavate Massive Ash-herder Grapnel
Series Two Animo Core,Treasure,Clockwork City,Neutral,Starting zone lead
Apostle's Scourge,Treasure,Clockwork City,Neutral,Excavate Series Two Animo Core
Eligiac Vessel,Treasure,Clockwork City,Neutral,Excavate Apostle's Scourge
Apraxic Decanter,Treasure,Summerset,Neutral,Starting zone lead
Jurisreeve's Eye,Treasure,Summerset,Neutral,Excavate Apraxic Decanter
Kinlord's Tree of Aldmeris,Treasure,Summerset,Neutral,Excavate Jurisreeve's Eye
Faded Psijic Folio,Treasure,Artaeum,Neutral,Starting zone lead
Warped Scrying Dipper,Treasure,Artaeum,Neutral,Excavate Faded Psijic Folio
Ritemaster's Slate,Treasure,Artaeum,Neutral,Excavate Warped Scrying Dipper
Naga Skull-Trap,Treasure,Murkmire,Neutral,Starting zone lead
Stone-Chief's Xul-Vaat,Treasure,Murkmire,Neutral,Excavate Naga Skull-Trap
Vakka Bok Sun Bowl,Treasure,Murkmire,Neutral,Excavate Stone-Chief's Xul-Vaat
Faded Khajiit Claw,Treasure,Northern Elsweyr,Neutral,Starting zone lead
Khajiit Plague Mask,Treasure,Northern Elsweyr,Neutral,Excavate Faded Khajiit Claw
Khajiit Prayer Cloth,Treasure,Northern Elsweyr,Neutral,Excavate Khajiit Plague Mask
Spiked Scalebreaker Bolt,Treasure,Southern Elsweyr,Neutral,Starting zone lead
Meteoric-Iron Pavise,Treasure,Southern Elsweyr,Neutral,Excavate Spiked Scalebreaker Bolt
Ancient Dragonguard Lure,Treasure,Southern Elsweyr,Neutral,Excavate Meteoric-Iron Pavise
Al-Esh Ascension Coin,Treasure,Western Skyrim,Neutral,"""Curious Coin Collection"" in the Antiquarian Circle after excavating all other treasures"
Nordic Scrimshaw Pendant,Treasure,Western Skyrim,Neutral,Starting zone lead
Silvered Nord Drinking Horn,Treasure,Western Skyrim,Neutral,Excavate Nordic Scrimshaw Pendant
King's Belt Plate,Treasure,Western Skyrim,Neutral,Excavate Silvered Nord Drinking Horn
Reach Trail Maker,Treasure,The Reach,Neutral,Starting zone lead
Ancient Extraction Tool,Treasure,The Reach,Neutral,Excavate Reach Trail Maker
Spear Tip of the Reach King,Treasure,The Reach,Neutral,Excavate Ancient Extraction Tool
Imperial Legionary's Spade,Treasure,Blackwood,Neutral,Starting zone lead
Shattered Ayleid Cloak Clasp,Treasure,Blackwood,Neutral,Excavate Imperial Legionary's Spade
Saint Kaladas's Plumb Bob,Treasure,Blackwood,Neutral,Excavate Shattered Ayleid Cloak Clasp
Kynreeve's Law-Cane,Treasure,The Deadlands,Neutral,Starting zone lead
Mindcleaver Clan Banner,Treasure,The Deadlands,Neutral,Excavate Kynreeve's Law-Cane
Ancient Morpholith Chisel,Treasure,The Deadlands,Neutral,Excavate Mindcleaver Clan Banner
Ancient Mariner's Sextant,Treasure,High Isle,Neutral,Starting zone lead
Stonelore Circle Effigy,Treasure,High Isle,Neutral,Excavate Ancient Mariner's Sextant
Orichalcum Burial Urn,Treasure,High Isle,Neutral,Excavate Stonelore Circle Effigy
Thrassian Crystal Shard,Treasure,Galen,Neutral,Starting zone lead
Draoife Runic Chit,Treasure,Galen,Neutral,Excavate Thrassian Crystal Shard
All Flags Armada Scabbard,Treasure,Galen,Neutral,Excavate Draoife Runic Chit
Vintage Necrom Votive,Treasure,Telvanni Peninsula,Neutral,Starting zone lead
Ceremonial Chimer Krater,Treasure,Telvanni Peninsula,Neutral,Excavate Vintage Necrom Votive
Holy Velothi Chausable,Treasure,Telvanni Peninsula,Neutral,Excavate Ceremonial Chimer Krater
Seeker Claw Quill,Treasure,Apocrypha,Neutral,Starting zone lead
Vial of Watcher Ink,Treasure,Apocrypha,Neutral,Excavate Seeker Claw Quill
Antique Cipher Vestments,Treasure,Apocrypha,Neutral,Excavate Vial of Watcher Ink
Ornate Alessian Decanter,Treasure,West Weald,Neutral,Starting zone lead
Crystalcult Hand Mirror,Treasure,West Weald,Neutral,Excavate Ornate Alessian Decanter
Gilded Legionary Scabbard,Treasure,West Weald,Neutral,Excavate Crystalcult Hand Mirror
Carved Conch Shell Necklace,Treasure,Western Solstice,Neutral,Starting zone lead
Bismuth-laced Ceremonial Basin,Treasure,Western Solstice,Neutral,Excavate Carved Conch Shell Necklace
Cracked Chukka-Sei Token,Treasure,Western Solstice,Neutral,Excavate Bismuth-laced Ceremonial Basin
Stone-Nest Soup Stone,Treasure,Eastern Solstice,Neutral,Starting zone lead
Antique Xanmeer Carving Tools,Treasure,Eastern Solstice,Neutral,Excavate Stone-Nest Soup Stone
Defaced Molag Bal Effigy,Treasure,Eastern Solstice,Neutral,Excavate Antique Xanmeer Carving Tools
