,Name,RI,RQ,Food,Recipe Drop,Ingredients,Effect
,Invigorated Imperial City Stew (Recipe),RI 4,RQ 2,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Jus,Max Magicka and Stamina +259
,Consummate Imperial City Stew (Recipe),RI 4,RQ 3,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Jus,"Max Health, Magicka and Stamina +328"
,Steak Soup (Recipe),RI 4,RQ 1,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Jus,Max Magicka +276
,Invigorated Steak Soup (Recipe),RI 4,RQ 2,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Jus,Max Magicka and Stamina +235
,Consummate Steak Soup (Recipe),RI 4,RQ 3,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Jus,"Max Health, Magicka and Stamina +299"
,Crab Meat Stew (Recipe),RI 5,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Glace Viande,Max Magicka +336
,Invigorated Crab Meat Stew (Recipe),RI 5,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Glace Viande,Max Magicka and Stamina +283
,Consummate Crab Meat Stew (Recipe),RI 5,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Glace Viande,"Max Health, Magicka and Stamina +357"
,Honey Pudding (Recipe),RI 6,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Stock,Max Magicka +372
,Invigorated Honey Pudding (Recipe),RI 6,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Stock,Max Magicka and Stamina +312
,Consummate Honey Pudding (Recipe),RI 6,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Imperial Stock,"Max Health, Magicka and Stamina +385"
