,Name,RI,RQ,Food,Recipe Drop,Ingredients,Effect
,Consummate Fried Saltrice (Recipe),RI 3,RQ 3,Level 35 Food,20px|Aldmeri Dominion Character,Saltrice and Suet,"Max Health, Magicka and Stamina +270"
,Grilled Frog Legs (Recipe),RI 3,RQ 1,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Suet,Max Stamina +246
,Enriched Grilled Frog Legs (Recipe),RI 3,RQ 2,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Suet,Max Health and Stamina +316
,Consummate Grilled Frog Legs (Recipe),RI 3,RQ 3,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Suet,"Max Health, Magicka and Stamina +270"
,Grilled Horker (Recipe),RI 3,RQ 1,Level 30 Food,20px|Daggerfall Covenant Character,Horker Meat and Suet,Max Stamina +216
,Enriched Grilled Horker (Recipe),RI 3,RQ 2,Level 30 Food,20px|Daggerfall Covenant Character,Horker Meat and Suet,Max Health and Stamina +280
,Mountain Jerky (Recipe),RI 3,RQ 1,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Suet,Max Stamina +246
,Enriched Mountain Jerky (Recipe),RI 3,RQ 2,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Suet,Max Health and Stamina +316
,Consummate Mountain Jerky (Recipe),RI 3,RQ 3,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Suet,"Max Health, Magicka and Stamina +270"
,Slow-Roasted Chaurus (Recipe),RI 3,RQ 1,Level 30 Food,20px|Ebonheart Pact Character,Chaurus Meat and Suet,Max Stamina +216
,Enriched Slow-Roasted Chaurus (Recipe),RI 3,RQ 2,Level 30 Food,20px|Ebonheart Pact Character,Chaurus Meat and Suet,Max Health and Stamina +280
,Beef Sirloin (Recipe),RI 4,RQ 1,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Lard,Max Stamina +276
,Enriched Beef Sirloin (Recipe),RI 4,RQ 2,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Lard,Max Health and Stamina +352
,Consummate Beef Sirloin (Recipe),RI 4,RQ 3,Level 40 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Beef and Lard,"Max Health, Magicka and Stamina +299"
,Grilled Shank (Recipe),RI 4,RQ 1,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Lard,Max Stamina +306
,Enriched Grilled Shank (Recipe),RI 4,RQ 2,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Lard,Max Health and Stamina +388
,Consummate Grilled Shank (Recipe),RI 4,RQ 3,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Lard,"Max Health, Magicka and Stamina +328"
,Fishy Sticks (Recipe),RI 5,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Fatback,Max Stamina +336
,Enriched Fishy Sticks (Recipe),RI 5,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Fatback,Max Health and Stamina +424
,Consummate Fishy Sticks (Recipe),RI 5,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Mudcrab Meat and Fatback,"Max Health, Magicka and Stamina +357"
,Honey Brittle (Recipe),RI 6,RQ 1,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Pinguis,Max Stamina +372
,Enriched Honey Brittle (Recipe),RI 6,RQ 2,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Pinguis,Max Health and Stamina +468
,Consummate Honey Brittle (Recipe),RI 6,RQ 3,Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Honey Comb and Pinguis,"Max Health, Magicka and Stamina +385"
