Place,Boss/Quest,Set,Item Name,Description
Vigil's End,Hatchling's Shell,Chain of Hist's Power,Left behind by the spirit of an Ayleid Knight in Loriasel after you helped him find peace.
Mud Tree Village,Schism,Swamp Raider,Stonegrinder's Dagger,Gifted for quelling the rampaging Goblins at Mud Tree Mine and rescuing the miners trapped inside.
Murkwater,Scales of Retribution,Swamp Raider,Histwood Bow,The Shadowscales gave you this excellent bow for helping them take back Murkwater from Dominion pillagers.
Nen Ria,Talkynd,Hatchling's Shell,Dessicated Belt of the Hatchling's Shell,This belt creaks when bent.
Onkobra Kwama Mine,Kwama Overseer,Robes of the Hist,The Pincher of Hist Sap,This dagger looks to be made from the pincher of a giant insect.
Percolating Mire,Clarity,Hatchling's Shell,Hist's Root Band,Gifted by Ja-Reet for untangling the knots within his spirit and connecting him to the Hist.
Missing Son,Robes of the Hist,Tah-Tehat's Ring,The ring of a father who lost his son to the Dominion but found peace in his return to the Hist.
Shadowfen,Unbridled Wealth,Robes of the Hist,Boots of the Swampstrider,You earned these boots while ruby hunting in Shadowfen's murky swamps. And the stomachs of its beasts.
A Life of Privilege,Robes of the Hist,Lightfingered Necklace,"Awarded for helping the slave, Suriel, find belongings in hiding spots she'd forgotten."
A Poisoned Heart,Robes of the Hist,Strap of Mist Evasion,Bestowed by Imperials for helping clear the poison gas they dumped in Shadowfen's swamps.
Shrine of the Black Maw,Peers-Through-Glass,Hatchling's Shell,Essentia of the Hatchling's Shell,This necklace seems to draw life energy from the very space around it.
Slaver Camp,Rendrasa,Hatchling's Shell,Discarded Bonds of the Hatchling's Shell,These metal bonds are strong but restricting.
Stormhold,Getting to the Truth,Hatchling's Shell,Stormhold Cuirass,
Shadowfen Smorgasbord,Robes of the Hist,Belt of Elastic Girth,A versatile belt you earned by slaying Shadowfen beasts in an effort to complete a drunken bet between friends.
Unwelcome Guests,Swamp Raider,Merchant's Favor Ring,Left behind to buy your silence by an Argonian merchant who spread too many rumors.
Sunscale Strand,Pull the Last Fang,Swamp Raider,Cursed Fang of Sithis,You earned this cursed dagger by seeing to the recovery of the second Fang of Sithis at Sunscale Strand.
Ten-Maur-Wolk,The Skin-Stealer's Lair,Robes of the Hist,Wrap of My Enemy's Skin,"Grisly as it may be, these leggings are made from several different types of skin stitched together."
The Vile Pavilion,Captive Souls,Hatchling's Shell,Worm Drain,"Bestowed by the merchant Daeril for releasing the spirits of his companions, confined in crystals by the Worm Cult."
White Rose Prison,The Ones Left Behind,Swamp Raider,Zarukhair's Band,Passed on by Erranza for burying her remains with her children outside White Rose Prison.
Xal Ithix,Deep Disturbance,Hatchling's Shell,Greaves of Corruption's End,A parting gift from Tree-Minder Nexith after you helped him get rid of the Daedric Miasma in Xal Ithix.
Missing in the Mire,Hatchling's Shell,Upstream Belt,A belt that fastens nicely. Secured from Nimble-Knuckles for dealing with the strangler situation at Xal Ithix.
Xal Thak,Argablog and Vlaga,Hatchling's Shell,Slimy Acidic Staff of the Hatchling's Shell,This staff is covered in goo.
Zuuk,Into the Temple,Hatchling's Shell,Kothringi Plate Pauldrons,Rewarded for uncovering the truth behind the last Kothringi and the missing keystone at Zuuk.
King of Dust,Swamp Raider,Helm of the Last Captain,"A fine helm bequeathed by Drillk, supposedly the last Kothringi. That isn't the way he sees things, though."
