Skill Name,ID,Mechanic,Class,Skill Line,Set Name,#,Description,Equations
Abor's Augmented Ward,191939,Magicka,,,,3,"<<1>> draws on advanced research to gain a damage shield that absorbs up to 25% of their Max Health for <<2>>.  The first time they take direct damage after casting, the shield retaliates and deals <<3>> to the attacker.","<<1>> = Your Companion (Constant) <<2>> = 6 seconds (Constant) <<3>> = + 3 MaxPower  (Ultimate, Dmg, Magic, SingleTarget, Direct, R2 = 1)"
Above and Beyond,267248,Werewolf,,,,1,A job well done is the only job you'll do.  Increases your Critical Damage and Healing by <<1>>. This bonus bypasses the Critical cap and adds to it.,<<1>> = 30% (Constant)
Above and Beyond 1,263605,Werewolf,Nightblade,Class Mastery,,3,An assassin is only as good as their reputation.  Increases your Critical Damage and Healing by <<1>>. This effect is reduced to <<2>> against targets with Battle Spirit.  Increases your maximum Critical Damage and Healing by <<3>>.,<<1>> = 25% (Constant) <<2>> = 5% (Constant) <<3>> = 30% (Constant)
Absorb 1,30869,Werewolf,Weapon,Restoration Staff,,1,Restores <<1>> Magicka whenever you block an attack. This effect can occur once every .25 seconds.,<<1>> = 300 (Constant)
Absorb 2,45521,Werewolf,Weapon,Restoration Staff,,1,Restores <<1>> Magicka whenever you block an attack. This effect can occur once every .25 seconds.,<<1>> = 600 (Constant)
Absorb Health,8630,Werewolf,,,,4,,"<<1>> = + 0.25 WD  (Stamina, Dmg, Magic, SingleTarget, DOT, 3s duration, 1s tick, R2 = 1) <<2>> = 3.4 seconds (Constant) <<3>> = 0% (Constant) <<4>> = 50% (Constant)"
Absorb Health,9613,Werewolf,,,,4,,"<<1>> = + 0.28 WD  (Stamina, Dmg, Magic, SingleTarget, DOT, 3s duration, 1s tick, R2 = 1) <<2>> = 3.4 seconds (Constant) <<3>> = 50% (Constant) <<4>> = 0% (Constant)"
Absorb Magicka,46743,Werewolf,,,,2,Deals <<1>> and restores <<2>> Magicka.,<<1>> = 0 Magic Damage (Constant) <<2>> = 0 (Constant)
Absorb Magicka,47416,Werewolf,,,,2,Absorb Magicka Deals <<1>> Magic Damage and restores <<2>> magicka,<<1>> = 0 (Constant) <<2>> = 0 (Constant)
Absorb Missile,260221,Power,,,,3,"Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.  While the shield persists, you are healed for <<3>> Health the next time a harmful direct damage projectile hits you. This effect can occur once per cast.  This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant) <<3>> = 0.15495 Health  (Health, Heal, SingleTarget, Direct, R2 = 1)"
Absorb Missile 1,38317,Power,Weapon,One Hand and Shield,,3,"Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.   While the shield persists, you are healed for <<3>> Health the next time a harmful direct damage projectile hits you. This effect can occur once per cast.  This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant) <<3>> = 0.15495 Health  (Health, RankMod(1), Heal, SingleTarget, Direct, R2 = 1)"
Absorb Missile 2,41370,Power,Weapon,One Hand and Shield,,3,"Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.   While the shield persists, you are healed for <<3>> Health the next time a harmful direct damage projectile hits you. This effect can occur once per cast.  This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant) <<3>> = 0.15665445 Health  (Health, RankMod(1.011), Heal, SingleTarget, Direct, R2 = 1)"
Absorb Missile 3,41375,Power,Weapon,One Hand and Shield,,3,"Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.   While the shield persists, you are healed for <<3>> Health the next time a harmful direct damage projectile hits you. This effect can occur once per cast.  This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant) <<3>> = 0.1583589 Health  (Health, RankMod(1.022), Heal, SingleTarget, Direct, R2 = 1)"
Absorb Missile 4,41380,Power,Weapon,One Hand and Shield,,3,"Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.   While the shield persists, you are healed for <<3>> Health the next time a harmful direct damage projectile hits you. This effect can occur once per cast.  This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant) <<3>> = 0.16006335 Health  (Health, RankMod(1.033), Heal, SingleTarget, Direct, R2 = 1)"
Absorb Stamina,46746,Werewolf,,,,2,Deals <<1>> and restores <<2>> Stamina.,<<1>> = 0 Physical Damage (Constant) <<2>> = 0 (Constant)
Absorb Stamina and Weakening,47397,Werewolf,,,,4,Deals <<1>> and restores <<2>> stamina Reduce target Weapon Damage and Spell Damage by <<3>> for <<4>>,<<1>> = 0 Magic Damage (Constant) <<2>> = 0 (Constant) <<3>> = 0 (Constant) <<4>> = 5 seconds (Constant)
Absorbing Shock,38996,Werewolf,,,,3,"Deals <<1>> and interrupts casting enemies, stunning them for <<2>> and setting them off-balance. Restores <<3>>% Magicka to player on successful interrupt.","<<1>> = 0.07725 Magicka + 0.81113 WD  (Magicka and Weapon Damage, ratio = 10.50, Dmg, Magic, SingleTarget, Direct, Melee, R2 = 1) <<2>> = AB_DURATION (Constant) <<3>> = 25 (Constant)"
Absorption Field 1,28348,Adrenaline,Sorcerer,Dark Magic,,3,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.  The globe also heals you and your allies for <<2>> Health every <<3>>.","<<1>> = 12 seconds (Constant) <<2>> = 0.0447589 MaxStat + 0.46909 MaxPower - 1.28474  (Ultimate, ratio = 10.48, Heal, AOE, Direct, 1s tick, R2 = 1) <<3>> = 1 second (Constant)"
Absorption Field 2,29867,Adrenaline,Sorcerer,Dark Magic,,3,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.  The globe also heals you and your allies for <<2>> Health every <<3>>.","<<1>> = 12 seconds (Constant) <<2>> = 0.0453331 MaxStat + 0.473729 MaxPower - 1.90942  (Ultimate, ratio = 10.45, Heal, AOE, Direct, 1s tick, R2 = 0.999999) <<3>> = 1 second (Constant)"
Absorption Field 3,29874,Adrenaline,Sorcerer,Dark Magic,,3,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.  The globe also heals you and your allies for <<2>> Health every <<3>>.","<<1>> = 12 seconds (Constant) <<2>> = 0.0457527 MaxStat + 0.479041 MaxPower - 1.23058  (Ultimate, ratio = 10.47, Heal, AOE, Direct, 1s tick, R2 = 0.999999) <<3>> = 1 second (Constant)"
Absorption Field 4,29881,Adrenaline,Sorcerer,Dark Magic,,3,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.  The globe also heals you and your allies for <<2>> Health every <<3>>.","<<1>> = 12 seconds (Constant) <<2>> = 0.0462495 MaxStat + 0.48437 MaxPower - 1.55284  (Ultimate, ratio = 10.47, Heal, AOE, Direct, 1s tick, R2 = 0.999999) <<3>> = 1 second (Constant)"
Abyssal Brace,187863,Magicka,,,Abyssal Brace,1,"While you are Bracing, you and group members within 12 meters of you gain Minor Evasion, reducing damage from area attacks by <<1>>.",<<1>> = 10% (Constant)
Abyssal Emergence 1,263316,Werewolf,Arcanist,Class Mastery,,2,Dive deep into the abyss where power is yours to claim.  Activating an Arcanist Ultimate immediately generates maximum Crux and grants you <<1>> Weapon and Spell Damage for <<2>>.,<<1>> = 666 (Constant) <<2>> = 15 seconds (Constant)
Abyssal Impact 1,185817,Power,Arcanist,Herald of the Tome,,4,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing <<1>>. Enemies are immobilized for <<2>> and marked with Abyssal Ink for <<3>>.  You deal <<4>> increased damage to enemies drenched in Abyssal Ink.","<<1>> = 0.08625 MaxStat + 0.905625 MaxPower  (Ultimate, ratio = 10.50, Dmg, Physical, AOE, Direct, Melee, 0.3s cooldown, R2 = 1) <<2>> = 3 seconds (Constant) <<3>> = 17 seconds (Constant) <<4>> = 5% (Constant)"
Abyssal Impact 2,20185817,Power,Arcanist,Herald of the Tome,,4,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing <<1>>. Enemies are immobilized for <<2>> and marked with Abyssal Ink for <<3>>.  You deal <<4>> increased damage to enemies drenched in Abyssal Ink.","<<1>> = 0.08625 MaxStat + 0.905625 MaxPower  (Ultimate, ratio = 10.50, Dmg, Physical, AOE, Direct, Melee, 0.3s cooldown, R2 = 1) <<2>> = 3 seconds (Constant) <<3>> = 18 seconds (Constant) <<4>> = 5% (Constant)"
Abyssal Impact 3,30185817,Power,Arcanist,Herald of the Tome,,4,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing <<1>>. Enemies are immobilized for <<2>> and marked with Abyssal Ink for <<3>>.  You deal <<4>> increased damage to enemies drenched in Abyssal Ink.","<<1>> = 0.08625 MaxStat + 0.905625 MaxPower  (Ultimate, ratio = 10.50, Dmg, Physical, AOE, Direct, Melee, 0.3s cooldown, R2 = 1) <<2>> = 3 seconds (Constant) <<3>> = 19 seconds (Constant) <<4>> = 5% (Constant)"
Abyssal Impact 4,40185817,Power,Arcanist,Herald of the Tome,,4,"Infuse your arm with abyssal magic to form tentacles that lash out at your foes, dealing <<1>>. Enemies are immobilized for <<2>> and marked with Abyssal Ink for <<3>>.  You deal <<4>> increased damage to enemies drenched in Abyssal Ink.","<<1>> = 0.08625 MaxStat + 0.905625 MaxPower  (Ultimate, ratio = 10.50, Dmg, Physical, AOE, Direct, Melee, 0.3s cooldown, R2 = 1) <<2>> = 3 seconds (Constant) <<3>> = 20 seconds (Constant) <<4>> = 5% (Constant)"
Accelerate 1,103503,Werewolf,Guild,Psijic Order,,4,"Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.",<<1>> = 4 seconds (Constant) <<2>> = 20 seconds (Constant) <<3>> = 30% (Constant) <<4>> = 10% (Constant)
Accelerate 2,20103503,Werewolf,Guild,Psijic Order,,4,"Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.",<<1>> = 4 seconds (Constant) <<2>> = 20 seconds (Constant) <<3>> = 30% (Constant) <<4>> = 10% (Constant)
Accelerate 3,30103503,Werewolf,Guild,Psijic Order,,4,"Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.",<<1>> = 4 seconds (Constant) <<2>> = 20 seconds (Constant) <<3>> = 30% (Constant) <<4>> = 10% (Constant)
Accelerate 4,40103503,Werewolf,Guild,Psijic Order,,4,"Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.",<<1>> = 4 seconds (Constant) <<2>> = 20 seconds (Constant) <<3>> = 30% (Constant) <<4>> = 10% (Constant)
Accelerated Growth 1,85882,Werewolf,Warden,Green Balance,,3,"When you heal yourself or an ally under 40% Health with a Green Balance ability you gain <<1>>, increasing your healing done by <<2>> for <<3>>.",<<1>> = Major Mending (Constant) <<2>> = 16% (Constant) <<3>> = 2 seconds (Constant)
Accelerated Growth 2,85883,Werewolf,Warden,Green Balance,,3,"When you heal yourself or an ally under 40% Health with a Green Balance ability you gain <<1>>, increasing your healing done by <<2>> for <<3>>.",<<1>> = Major Mending (Constant) <<2>> = 16% (Constant) <<3>> = 4 seconds (Constant)
Accuracy 1,30930,Werewolf,Weapon,Bow,,1,Increases your Critical Chance rating by <<1>>.,<<1>> = 657 (Constant)
Accuracy 2,45492,Werewolf,Weapon,Bow,,1,Increases your Critical Chance rating by <<1>>.,<<1>> = 1314 (Constant)
Accursed Charge 4,117979,Power,Alliance War,Volendrung,,1,"Spring across the battlefield to smash an enemy, dealing <<1>>.",<<1>> = 6300 Physical Damage (Constant)
Acid Spray 1,38701,Power,Weapon,Bow,,3,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you, and dealing an additional <<2>> over <<3>>.","<<1>> = 0.077476 MaxStat + 0.81349 MaxPower  (Ultimate, ratio = 10.50, Dmg, Poison, AOE, Direct, R2 = 1) <<2>> = 0.0141733 MaxStat + 0.148128 MaxPower - 1.39368  (Ultimate, ratio = 10.45, Dmg, Poison, SingleTarget, DOT, 4s duration, 1s tick, R2 = 0.999992) <<3>> = 5 seconds (Constant)"
Acid Spray 2,40781,Power,Weapon,Bow,,3,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you, and dealing an additional <<2>> over <<3>>.","<<1>> = 0.077476 MaxStat + 0.81349 MaxPower  (Ultimate, ratio = 10.50, Dmg, Poison, AOE, Direct, R2 = 1) <<2>> = 0.0143725 MaxStat + 0.149707 MaxPower - 2.37742  (Ultimate, ratio = 10.42, Dmg, Poison, SingleTarget, DOT, 4s duration, 1s tick, R2 = 0.999985) <<3>> = 5 seconds (Constant)"
Acid Spray 3,40785,Power,Weapon,Bow,,3,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you, and dealing an additional <<2>> over <<3>>.","<<1>> = 0.077476 MaxStat + 0.81349 MaxPower  (Ultimate, ratio = 10.50, Dmg, Poison, AOE, Direct, R2 = 1) <<2>> = 0.0145163 MaxStat + 0.1516 MaxPower - 2.73882  (Ultimate, ratio = 10.44, Dmg, Poison, SingleTarget, DOT, 4s duration, 1s tick, R2 = 0.999988) <<3>> = 5 seconds (Constant)"
Acid Spray 4,40789,Power,Weapon,Bow,,3,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you, and dealing an additional <<2>> over <<3>>.","<<1>> = 0.077476 MaxStat + 0.81349 MaxPower  (Ultimate, ratio = 10.50, Dmg, Poison, AOE, Direct, R2 = 1) <<2>> = 0.0147161 MaxStat + 0.152852 MaxPower - 2.7094  (Ultimate, ratio = 10.39, Dmg, Poison, SingleTarget, DOT, 4s duration, 1s tick, R2 = 0.999985) <<3>> = 5 seconds (Constant)"
Acrobat 1,36008,Werewolf,Wood Elf,Wood Elf Skills,,1,Increases your experience gain with the Bow skill line by 15%.  Decreases your fall damage taken by <<1>>.,<<1>> = 10% (Constant)
Acrobatics,45575,Werewolf,,,,2,,"<<1>> = 50 (Constant) <<2>> = 0.417156 MediumArmor - 0.0211516  (Medium Armor, SingleTarget, Direct, R2 = 0.955423)"
Acrobatics,38523,Werewolf,,,,2,,"<<1>> = 50 (Constant) <<2>> = 0.417156 MediumArmor - 0.0211516  (Medium Armor, SingleTarget, Direct, R2 = 0.955423)"
Adamant Lurker,194110,Magicka,,,Adamant Lurker,1,Gain <<1>> Health Recovery while you are standing still.,<<1>> = 0 (Constant)
Adaptive Athlete,222418,Magicka,,,,2,"Your resources replenish swiftly!  For each 1% missing Magicka, you gain 1% Magicka Recovery, up to the limit. For each 1% missing Stamina, you gain 1% Stamina Recovery, up to the limit.  The limit increases based on the number of stacks obtained.  Each stack increases the limit by <<1>>.  Current Limit: <<2>>",<<1>> = 15% (Constant) <<2>> = 0% (Constant)
Adaptive Conqueror,222413,Magicka,,,,5,"Your strength rises!  For every <<1>> Ultimate you have, you deal <<2>> increased damage. When you reach 500 Ultimate, your damage is increased by another 5%. In addition, Ultimate costs are increased by <<3>> per stack.  Current Bonus: <<4>> Cost Increase: <<5>>",<<1>> = 100 (Constant) <<2>> = 0% (Constant) <<3>> = 8% (Constant) <<4>> = 0% (Constant) <<5>> = 0% (Constant)
Adaptive Defender,222405,Magicka,,,,3,"Reinforce your defenses when you are more vulnerable!  For every <<1>> of missing health, you take 1% less damage. This reduction has a limit based on the number of stacks obtained.  Each stack increases the limit by <<2>>.  Current Damage Taken Limit: -<<3>>.",<<1>> = 25% (Constant) <<2>> = 3% (Constant) <<3>> = 0% (Constant)
Adept Rider,106775,Werewolf,,,Adept Rider,4,"Gain <<1>> and <<2>> at all times, increasing your Movement Speed by <<3>> and Mounted Speed by <<4>>%.",<<1>> = Gallop (Constant) <<2>> = Major Expedition (Constant) <<3>> = 30% (Constant) <<4>> = 15 (Constant)
Adherent Carnage,201070,Magicka,,,,3,VISION Area effect damage increased by <<1>>  Area effect damage increased by <<2>> per stack with a maximum stack of 5.  Current effect stack count = <<3>>,<<1>> = 0% (Constant) <<2>> = 2% (Constant) <<3>> = 0 (Constant)
Adrenaline Rush,193972,Magicka,,,,2,Decreases ability cooldowns by <<1>> and damage taken by <<2>>.,<<1>> = 3% (Constant) <<2>> = 3% (Constant)
Adrenaline Rush 1,36546,Werewolf,Redguard,Redguard Skills,,2,"When you deal damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.",<<1>> = 333 (Constant) <<2>> = 5 seconds (Constant)
Adrenaline Rush 2,45313,Werewolf,Redguard,Redguard Skills,,2,"When you deal damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.",<<1>> = 666 (Constant) <<2>> = 5 seconds (Constant)
Adrenaline Rush 3,45315,Werewolf,Redguard,Redguard Skills,,2,"When you deal damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.",<<1>> = 1005 (Constant) <<2>> = 5 seconds (Constant)
Advanced Species 1,86068,Werewolf,Warden,Animal Companions,,2,Increases your Critical Damage by <<1>> for each Animal Companion ability slotted.  Current Bonus: <<2>>.,"<<1>> = 2% (Constant) <<2>> = 2 AnimCompanion  (Animal Companion Skills Slotted, SingleTarget, Direct, R2 = 1)"
Advanced Species 2,86069,Werewolf,Warden,Animal Companions,,2,Increases your Critical Damage by <<1>> for each Animal Companion ability slotted.  Current Bonus: <<2>>.,"<<1>> = 5% (Constant) <<2>> = 5 AnimCompanion  (Animal Companion Skills Slotted, SingleTarget, Direct, R2 = 1)"
Aegis Caller,133490,Werewolf,,,Aegis Caller,4,"When you deal critical damage with a Martial melee attack, summon a Lesser Aegis for <<1>>. After 2.5 seconds, the Lesser Aegis spins its blades, dealing <<2>> Bleed Damage every <<3>>. This effect can occur once every <<4>> and scales off the higher of your Weapon or Spell Damage.","<<1>> = 11 seconds (Constant) <<2>> = -8.1E-6 Magicka + 0.478144 SD - 0.0066719  (Magicka, ratio = -59030.12, Dmg, Bleed, AOE, DOT, 1s tick, R2 = 0.999999) <<3>> = 1 second (Constant) <<4>> = 12 seconds (Constant)"
Aegis of Galenwe,107268,Werewolf,,,Aegis of Galenwe,4,"When you Block, you grant Empower to 11 other group members within <<1>> for <<2>>, increasing the damage of their Heavy Attacks against monsters by <<3>>. This effect can occur once every <<4>>.",<<1>> = 15 meters (Constant) <<2>> = 3 seconds (Constant) <<3>> = 150% (Constant) <<4>> = 2 seconds (Constant)
Aegis of the Unseen 1,184918,Magicka,Arcanist,Soldier of Apocrypha,,1,"Form a secret soldier within your mind, a defense against arcane forces without. While a beneficial Soldier of Apocrypha ability is active on you, increase your Armor by <<1>>.",<<1>> = 1636 (Constant)
Aegis of the Unseen 2,184923,Magicka,Arcanist,Soldier of Apocrypha,,1,"Form a secret soldier within your mind, a defense against arcane forces without. While a beneficial Soldier of Apocrypha ability is active on you, increase your Armor by <<1>>.",<<1>> = 3271 (Constant)
Aerie's Cry,226885,Magicka,,,Aerie's Cry,8,"<<1>> <<2>> to your target for <<3>>. <<2>> causes an eagle to attack your target every <<4>> after a 3 second delay, dealing <<5>> per attack.   Applying <<2>> grants you <<6>> for <<7>>, increasing your damage done by <<8>> against enemies with <<2>>.  This effect can occur every <<4>>. You can have one <<2>> active at a time.","<<1>> = Dealing damage with a Light Attack applies Eagle's (Constant) <<2>> = Mark (Constant) <<3>> = 12 seconds. Eagle' (Constant) <<4>> = 3 seconds (Constant) <<5>> = -4.65E-5 MaxStat + 0.856728 MaxPower - 0.214953  (Ultimate, ratio = -18424.26, Dmg, Physical, SingleTarget, Direct, 2s duration, R2 = 1) <<6>> = Aerie's Call (Constant) <<7>> = 12 seconds (Constant) <<8>> = 10% (Constant)"
Aetherial Ascension,147321,Werewolf,,,Aetherial Ascension,2,"Adds <<1>> Armor. Increases the cost of Block, Sprint, Dodge, and Break Free by <<2>>.",<<1>> = 0 (Constant) <<2>> = 20% (Constant)
Aetheric Lancer,224084,Magicka,,,Aetheric Lancer,6,"Dealing damage with Burning Light twice within <<1>> creates a 5 meter area for <<2>>. This effect can occur once every <<3>>.   While in the area, dealing damage with an Aedric Spear ability launches a spear at your target, dealing <<4>> and applying Sundered and increasing your Weapon and Spell Damage by <<5>> for <<6>>. The damage scales off the higher of your Weapon or Spell Damage.","<<1>> = 30 seconds (Constant) <<2>> = 5 seconds (Constant) <<3>> = 3 seconds (Constant) <<4>> = -4.3E-5 MaxStat + 1.68396 MaxPower + 0.596476  (Ultimate, ratio = -39161.86, Dmg, Magic, SingleTarget, Direct, R2 = 1) <<5>> = 300 (Constant) <<6>> = 10 seconds (Constant)"
Aevar's Ferocity,139391,Werewolf,,,,2,"Sound a war horn to rally your forces, increasing you and your allies' Max Magicka, Health, and Stamina by <<1>> for <<2>>.",<<1>> = 0% (Constant) <<2>> = 0 seconds (Constant)
Affliction,32824,Werewolf,,,Affliction,4,"When you deal damage, you deal <<1>> to the target. The enemy is then afflicted with the Diseased status effect, applying Minor Defile to the target, reducing their Healing Received and damage shield strength by <<2>> for <<3>>. This effect can occur once every <<4>> and scales off the higher of your Weapon or Spell Damage.","<<1>> = 6.02E-5 Magicka + 0.329467 SD - 0.226955  (Magicka, ratio = 5472.87, Dmg, Disease, SingleTarget, Direct, Melee, R2 = 0.999999) <<2>> = 6% (Constant) <<3>> = 4 seconds (Constant) <<4>> = 4 seconds (Constant)"
Aggressive Horn,94800,Adrenaline,,,,2,"Sound a war horn to rally your forces, increasing you and your allies' Max Magicka, Health, and Stamina by <<1>> for <<2>>.",<<1>> = 0% (Constant) <<2>> = 0 seconds (Constant)
Aggressive Horn 1,40223,Adrenaline,Alliance War,Assault,,5,"Sound a war horn to rally your forces, increasing you and your group's Max Magicka and Max Stamina by <<1>> for <<2>>.  You and your allies gain <<3>>, increasing your Critical Damage by <<4>> for <<5>>.",<<1>> = 10% (Constant) <<2>> = 30 seconds (Constant) <<3>> = Major Force (Constant) <<4>> = 20% (Constant) <<5>> = 7 seconds (Constant)
Aggressive Horn 2,46531,Adrenaline,Alliance War,Assault,,5,"Sound a war horn to rally your forces, increasing you and your group's Max Magicka and Max Stamina by <<1>> for <<2>>.  You and your allies gain <<3>>, increasing your Critical Damage by <<4>> for <<5>>.",<<1>> = 10% (Constant) <<2>> = 30 seconds (Constant) <<3>> = Major Force (Constant) <<4>> = 20% (Constant) <<5>> = 8 seconds (Constant)
Aggressive Horn 3,46534,Adrenaline,Alliance War,Assault,,5,"Sound a war horn to rally your forces, increasing you and your group's Max Magicka and Max Stamina by <<1>> for <<2>>.  You and your allies gain <<3>>, increasing your Critical Damage by <<4>> for <<5>>.",<<1>> = 10% (Constant) <<2>> = 30 seconds (Constant) <<3>> = Major Force (Constant) <<4>> = 20% (Constant) <<5>> = 9 seconds (Constant)
Aggressive Horn 4,46537,Adrenaline,Alliance War,Assault,,5,"Sound a war horn to rally your forces, increasing you and your group's Max Magicka and Max Stamina by <<1>> for <<2>>.  You and your allies gain <<3>>, increasing your Critical Damage by <<4>> for <<5>>.",<<1>> = 10% (Constant) <<2>> = 30 seconds (Constant) <<3>> = Major Force (Constant) <<4>> = 20% (Constant) <<5>> = 10 seconds (Constant)
Agility,149166,Werewolf,,,,1,Increases your Weapon Damage by <<1>>.,"<<1>> = 1 MediumArmor  (Medium Armor, SingleTarget, Direct, R2 = 1)"
