seq,source,tier,title,words,pdf,url
111,zos,combat-news,ESO Devs Talk Update 40’s Group Finder and Grand Master Crafting Station,945,111_zos_ESO_Devs_Talk_Update_40_s_Group_Finder_and_Grand_Master_Craf.pdf,https://www.elderscrollsonline.com/en-us/news/post/64897
112,zos,combat-news,ESO LIVE: JANUARY 29 @ 11AM EST—First Look at Scions of Ithelia & Update 41,210,112_zos_ESO_LIVE_JANUARY_29_11AM_EST_First_Look_at_Scions_of_Ithelia.pdf,https://www.elderscrollsonline.com/en-us/news/post/65463
113,zos,combat-news,ESO Live: July 10 @ 12PM EDT—Update 39 Preview Stream,181,113_zos_ESO_Live_July_10_12PM_EDT_Update_39_Preview_Stream.pdf,https://www.elderscrollsonline.com/en-us/news/post/64391
114,zos,combat-news,ESO Live: July 11 at 12PM EDT—Delving the Lost Depths & Update 35,273,114_zos_ESO_Live_July_11_at_12PM_EDT_Delving_the_Lost_Depths_Update_.pdf,https://www.elderscrollsonline.com/en-us/news/post/62413
115,zos,combat-news,ESO Live: July 3 @ 1PM EDT—Update 43 Developer Preview,189,115_zos_ESO_Live_July_3_1PM_EDT_Update_43_Developer_Preview.pdf,https://www.elderscrollsonline.com/en-us/news/post/66329
116,zos,combat-news,ESO Live: September 16 at 2:30PM EDT—Firesong & Update 36 Preview,265,116_zos_ESO_Live_September_16_at_2_30PM_EDT_Firesong_Update_36_Previ.pdf,https://www.elderscrollsonline.com/en-us/news/post/62819
117,zos,combat-news,ESO’s Developers Share Subclassing System Secrets,1053,117_zos_ESO_s_Developers_Share_Subclassing_System_Secrets.pdf,https://www.elderscrollsonline.com/en-us/news/post/68091
118,zos,combat-news,ESO’s Devs Share Insights into Update 49’s Player Experience Improvements,874,118_zos_ESO_s_Devs_Share_Insights_into_Update_49_s_Player_Experience.pdf,https://www.elderscrollsonline.com/en-us/news/post/69461
119,zos,combat-news,Earn Greater Rewards & Glory with the New PvP Veterancy System,514,119_zos_Earn_Greater_Rewards_Glory_with_the_New_PvP_Veterancy_System.pdf,https://www.elderscrollsonline.com/en-us/news/post/69891
120,zos,combat-news,Enjoy Community-Requested Upgrades to Your Player Experience with Update 49,1401,120_zos_Enjoy_Community-Requested_Upgrades_to_Your_Player_Experience.pdf,https://www.elderscrollsonline.com/en-us/news/post/69241
121,zos,combat-news,Fallen Banners & Update 45 Now Live on All Platforms,912,121_zos_Fallen_Banners_Update_45_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/67679
122,zos,combat-news,Fallen Banners & Update 45 Now Live on the Public Test Server,223,122_zos_Fallen_Banners_Update_45_Now_Live_on_the_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/67429
123,zos,combat-news,Feast of Shadows & Update 47 Now Live on All Platforms,806,123_zos_Feast_of_Shadows_Update_47_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/68561
124,zos,combat-news,Firesong DLC & Update 36 Now Available on the PC/Mac Public Test Server (PTS),230,124_zos_Firesong_DLC_Update_36_Now_Available_on_the_PC_Mac_Public_Te.pdf,https://www.elderscrollsonline.com/en-us/news/post/62847
125,zos,combat-news,Five Ways to Get Ready for Seasons of the Worm Cult Part 1 & Update 46,637,125_zos_Five_Ways_to_Get_Ready_for_Seasons_of_the_Worm_Cult_Part_1_U.pdf,https://www.elderscrollsonline.com/en-us/news/post/68049
126,zos,combat-news,Get Your Claws into the Season Zero Werewolf Update,1357,126_zos_Get_Your_Claws_into_the_Season_Zero_Werewolf_Update.pdf,https://www.elderscrollsonline.com/en-us/news/post/69937
127,zos,combat-news,Get Your First Look at Update 48 & More in a New Preview Livestream,196,127_zos_Get_Your_First_Look_at_Update_48_More_in_a_New_Preview_Lives.pdf,https://www.elderscrollsonline.com/en-us/news/post/68671
128,zos,combat-news,Get Your First Look at the New Dungeons and More during the Update 47 Preview Livestream,203,128_zos_Get_Your_First_Look_at_the_New_Dungeons_and_More_during_the_.pdf,https://www.elderscrollsonline.com/en-us/news/post/68389
129,zos,combat-news,Get a Glimpse of ESO’s End-of-Year Adventures in the Update 44 Preview Livestream,170,129_zos_Get_a_Glimpse_of_ESO_s_End-of-Year_Adventures_in_the_Update_.pdf,https://www.elderscrollsonline.com/en-us/news/post/66609
130,zos,combat-news,Gold Road Chapter & Update 42 Now Live on the PC/Mac Public Test Server!,248,130_zos_Gold_Road_Chapter_Update_42_Now_Live_on_the_PC_Mac_Public_Te.pdf,https://www.elderscrollsonline.com/en-us/news/post/65909
131,zos,combat-news,Golden Pursuits—Battle Throughout Cyrodiil to Claim Bonus Rewards,320,131_zos_Golden_Pursuits_Battle_Throughout_Cyrodiil_to_Claim_Bonus_Re.pdf,https://www.elderscrollsonline.com/en-us/news/post/67737
132,zos,combat-news,Golden Pursuits—Scribing for All!,333,132_zos_Golden_Pursuits_Scribing_for_All.pdf,https://www.elderscrollsonline.com/en-us/news/post/68301
133,zos,combat-news,Infinite Archive & Update 40 Now Available on the PC/Mac Public Test Server!,233,133_zos_Infinite_Archive_Update_40_Now_Available_on_the_PC_Mac_Publi.pdf,https://www.elderscrollsonline.com/en-us/news/post/64751
134,zos,combat-news,Infinite Archive & Update 40 Now Live on All Platforms,1214,134_zos_Infinite_Archive_Update_40_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/64849
135,zos,combat-news,Japanese Localization Arrives on Consoles with ESO’s Update 40,164,135_zos_Japanese_Localization_Arrives_on_Consoles_with_ESO_s_Update_.pdf,https://www.elderscrollsonline.com/en-us/news/post/64685
136,zos,combat-news,Leaping into the Dragonknight Class Refresh,5447,136_zos_Leaping_into_the_Dragonknight_Class_Refresh.pdf,https://www.elderscrollsonline.com/en-us/news/post/69219
137,zos,combat-news,Learn About Gold Road’s Upcoming Scribing System in this 101-Style Video Guide,185,137_zos_Learn_About_Gold_Road_s_Upcoming_Scribing_System_in_this_101.pdf,https://www.elderscrollsonline.com/en-us/news/post/65899
138,zos,combat-news,Learn the Basics of Housing & Update 43’s Home Tours,354,138_zos_Learn_the_Basics_of_Housing_Update_43_s_Home_Tours.pdf,https://www.elderscrollsonline.com/en-us/news/post/66563
139,zos,combat-news,Learn to Combat the Pressures of Tanking with the New Tankxiety Tuesdays Livestream Series,181,139_zos_Learn_to_Combat_the_Pressures_of_Tanking_with_the_New_Tankxi.pdf,https://www.elderscrollsonline.com/en-us/news/post/67169
140,zos,combat-news,Loremaster’s Archive—Scribing,2588,140_zos_Loremaster_s_Archive_Scribing.pdf,https://www.elderscrollsonline.com/en-us/news/post/66257
141,zos,combat-news,Lost Depths DLC & Update 35 Now Available on the PC/Mac Public Test Server (PTS),264,141_zos_Lost_Depths_DLC_Update_35_Now_Available_on_the_PC_Mac_Public.pdf,https://www.elderscrollsonline.com/en-us/news/post/62529
142,zos,combat-news,Lost Depths DLC & Update 35 Now Live on All Platforms,880,142_zos_Lost_Depths_DLC_Update_35_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/62693
143,zos,combat-news,Necrom Chapter & Update 38 Now Live on the Public Test Server!,296,143_zos_Necrom_Chapter_Update_38_Now_Live_on_the_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/64015
144,zos,combat-news,Obtain Dragon-Felling Weaponry via This New Prime Gaming Bundle!,390,144_zos_Obtain_Dragon-Felling_Weaponry_via_This_New_Prime_Gaming_Bun.pdf,https://www.elderscrollsonline.com/en-us/news/post/63939
145,zos,combat-news,Player Experience Livestream—Update 50,148,145_zos_Player_Experience_Livestream_Update_50.pdf,https://www.elderscrollsonline.com/en-us/news/post/69593
146,zos,combat-news,Player Experience Livestream—Update 51,182,146_zos_Player_Experience_Livestream_Update_51.pdf,https://www.elderscrollsonline.com/en-us/news/post/70011
147,zos,combat-news,Scions of Ithelia & Update 41 Now Available on the Public Test Server!,230,147_zos_Scions_of_Ithelia_Update_41_Now_Available_on_the_Public_Test.pdf,https://www.elderscrollsonline.com/en-us/news/post/65487
148,zos,combat-news,Scions of Ithelia & Update 41 Now Live on All Platforms,1166,148_zos_Scions_of_Ithelia_Update_41_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/65641
149,zos,combat-news,Scribes of Fate & Update 37 Now Available on the Public Test Server!,230,149_zos_Scribes_of_Fate_Update_37_Now_Available_on_the_Public_Test_S.pdf,https://www.elderscrollsonline.com/en-us/news/post/63613
150,zos,combat-news,Scribes of Fate & Update 37 Now Live on All Platforms,1016,150_zos_Scribes_of_Fate_Update_37_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/63801
151,zos,combat-news,Scribing’s Developers Share Their Favorite Hand-Crafted Abilities,1025,151_zos_Scribing_s_Developers_Share_Their_Favorite_Hand-Crafted_Abil.pdf,https://www.elderscrollsonline.com/en-us/news/post/66057
152,zos,combat-news,Seasons of the Worm Cult Part 1 & Update 46 Now Live on All Platforms,1394,152_zos_Seasons_of_the_Worm_Cult_Part_1_Update_46_Now_Live_on_All_Pl.pdf,https://www.elderscrollsonline.com/en-us/news/post/68093
153,zos,combat-news,Seasons of the Worm Cult Part 1 & Update 46 Now Live on the Public Test Server,188,153_zos_Seasons_of_the_Worm_Cult_Part_1_Update_46_Now_Live_on_the_Pu.pdf,https://www.elderscrollsonline.com/en-us/news/post/67889
154,zos,combat-news,Seasons of the Worm Cult Part 2 & Update 48 Now Live on All Platforms,1235,154_zos_Seasons_of_the_Worm_Cult_Part_2_Update_48_Now_Live_on_All_Pl.pdf,https://www.elderscrollsonline.com/en-us/news/post/68915
155,zos,combat-news,Seasons of the Worm Cult Part 2 & Update 48 Now Live on the Public Test Server,173,155_zos_Seasons_of_the_Worm_Cult_Part_2_Update_48_Now_Live_on_the_Pu.pdf,https://www.elderscrollsonline.com/en-us/news/post/68703
156,zos,combat-news,See the Numbers Behind Tales of Tribute’s First Month of PvP Matches,185,156_zos_See_the_Numbers_Behind_Tales_of_Tribute_s_First_Month_of_PvP.pdf,https://www.elderscrollsonline.com/en-us/news/post/62561
157,zos,combat-news,Sharpen your PvP Skills with Dooma’s Battlegrounds Tips Video Guide!,382,157_zos_Sharpen_your_PvP_Skills_with_Dooma_s_Battlegrounds_Tips_Vide.pdf,https://www.elderscrollsonline.com/en-us/news/post/67221
158,zos,combat-news,Specialize and Customize with ESO's Class Mastery,1462,158_zos_Specialize_and_Customize_with_ESO_s_Class_Mastery.pdf,https://www.elderscrollsonline.com/en-us/news/post/69859
159,zos,combat-news,Stalk Tamriel’s PvP Battlefields & Earn Bonus Rewards During Whitestrake’s Mayhem,1045,159_zos_Stalk_Tamriel_s_PvP_Battlefields_Earn_Bonus_Rewards_During_W.pdf,https://www.elderscrollsonline.com/en-us/news/post/64081
160,zos,combat-news,Survey These Dev Answers for the Cyrodiil Champions Community Q&A,289,160_zos_Survey_These_Dev_Answers_for_the_Cyrodiil_Champions_Communit.pdf,https://www.elderscrollsonline.com/en-us/news/post/67551
161,zos,combat-news,Test ESO’s Upcoming Adventures with Update 51 on the PTS,232,161_zos_Test_ESO_s_Upcoming_Adventures_with_Update_51_on_the_PTS.pdf,https://www.elderscrollsonline.com/en-us/news/post/70247
162,zos,combat-news,Test the Prince of Madness on the Update 50 PTS!,181,162_zos_Test_the_Prince_of_Madness_on_the_Update_50_PTS.pdf,https://www.elderscrollsonline.com/en-us/news/post/69737
163,zos,combat-news,The Elder Scrolls Online: Firesong & Update 36 Now Live on All Platforms,1089,163_zos_The_Elder_Scrolls_Online_Firesong_Update_36_Now_Live_on_All_.pdf,https://www.elderscrollsonline.com/en-us/news/post/63075
164,zos,combat-news,The Elder Scrolls Online: Firesong & Update 36 Preview,921,164_zos_The_Elder_Scrolls_Online_Firesong_Update_36_Preview.pdf,https://www.elderscrollsonline.com/en-us/news/post/62833
