csv,page,source,rows,cols,header
uesp_Online_Champion_t06.csv,Online:Champion,uesp,23,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t07.csv,Online:Champion,uesp,1,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t08.csv,Online:Champion,uesp,4,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t09.csv,Online:Champion,uesp,4,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t10.csv,Online:Champion,uesp,2,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t11.csv,Online:Champion,uesp,5,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t12.csv,Online:Champion,uesp,3,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t13.csv,Online:Champion,uesp,3,4,Base Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t14.csv,Online:Champion,uesp,3,4,Base Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t15.csv,Online:Champion,uesp,7,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t16.csv,Online:Champion,uesp,16,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t17.csv,Online:Champion,uesp,1,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t18.csv,Online:Champion,uesp,3,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t19.csv,Online:Champion,uesp,1,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t20.csv,Online:Champion,uesp,3,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t21.csv,Online:Champion,uesp,1,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t22.csv,Online:Champion,uesp,3,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t23.csv,Online:Champion,uesp,5,2,Level | Reward
uesp_Online_Champion_deprecated_t00.csv,Online:Champion/deprecated,uesp,37,189,Champ. Level Points Per Group Distribution Number of Perks 30 10 10 1 60 20 10 10 2 90 30 10 10 10 3 30 2 120 40 30 10 3 150 50 30 10 10 4 180 60 30 30 4 210 70 30 30 10 5 225 75 75 3 255 85 75 10 4 270 90 30 30 30 6 285 95 75 10 10 5 | Champ. Level | Points Per Group | Distribution | Number of Perks | 30 | 10 | 10 | 1 | 60 | 20 | 10 | 10 | 2 | 90 | 30 | 10 | 10 | 10 | 3 | 30 | 2 | 120 | 40 | 30 | 10 | 3 | 150 | 50 | 30 | 10 | 10 | 4 | 180 | 60 | 30 | 30 | 4 | 210 | 70 | 30 | 30 | 10 | 5 | 225 | 75 | 75 | 3 | 255 | 85 | 75 | 10 | 4 | 270 | 90 | 30 | 30 | 30 | 6 | 285 | 95 | 75 | 10 | 10 | 5 | Champ. Level Points Per Group Distribution Number of Perks 315 105 75 30 5 345 115 75 30 10 6 360 120 120 4 390 130 120 10 5 405 135 75 30 30 7 420 140 120 10 10 6 450 150 75 75 6 120 30 6 480 160 120 30 10 7 75 75 10 7 540 180 120 30 30 8 75 75 30 8 | Champ. Level | Points Per Group | Distribution | Number of Perks | 315 | 105 | 75 | 30 | 5 | 345 | 115 | 75 | 30 | 10 | 6 | 360 | 120 | 120 | 4 | 390 | 130 | 120 | 10 | 5 | 405 | 135 | 75 | 30 | 30 | 7 | 420 | 140 | 120 | 10 | 10 | 6 | 450 | 150 | 75 | 75 | 6 | 120 | 30 | 6 | 480 | 160 | 120 | 30 | 10 | 7 | 75 | 75 | 10 | 7 | 540 | 180 | 120 | 30 | 30 | 8 | 75 | 75 | 30 | 8 | Champ. Level Points Per Group Distribution Number of Perks 585 195 120 75 7 615 205 120 75 10 8 675 225 120 75 30 9 75 75 75 9 720 240 120 120 8 750 250 120 120 10 9 810 270 120 75 75 10 120 120 30 10 915 305 120 120 75 11 1080 360 120 120 120 12 Not currently available | Champ. Level | Points Per Group | Distribution | Number of Perks | 585 | 195 | 120 | 75 | 7 | 615 | 205 | 120 | 75 | 10 | 8 | 675 | 225 | 120 | 75 | 30 | 9 | 75 | 75 | 75 | 9 | 720 | 240 | 120 | 120 | 8 | 750 | 250 | 120 | 120 | 10 | 9 | 810 | 270 | 120 | 75 | 75 | 10 | 120 | 120 | 30 | 10 | 915 | 305 | 120 | 120 | 75 | 11 | 1080 | 360 | 120 | 120 | 120 | 12
uesp_Online_Champion_deprecated_t01.csv,Online:Champion/deprecated,uesp,12,4,Champ. Level | Points Per Group | Distribution | Number of Perks
uesp_Online_Champion_deprecated_t02.csv,Online:Champion/deprecated,uesp,12,4,Champ. Level | Points Per Group | Distribution | Number of Perks
uesp_Online_Champion_deprecated_t03.csv,Online:Champion/deprecated,uesp,10,4,Champ. Level | Points Per Group | Distribution | Number of Perks
uesp_Online_Champion_deprecated_t04.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t05.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t06.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t07.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t08.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t09.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t10.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t11.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t12.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t13.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t14.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t15.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t16.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t17.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t18.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t19.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t20.csv,Online:Champion/deprecated,uesp,4,2,Champion Abilities | Effect
uesp_Online_Champion_deprecated_t21.csv,Online:Champion/deprecated,uesp,4,3,Passive Unlocks | Rank | Effect
uesp_Online_Champion_deprecated_t22.csv,Online:Champion/deprecated,uesp,5,2,Level | Reward
uesp_Online_Class_Sets_t00.csv,Online:Class Sets,uesp,14,3,Set Name | Bonuses | Armor Weight
uesp_Online_Classes_t00.csv,Online:Classes,uesp,6,2,"The Dragonknight class is best suited for tanking-oriented characters due to the Draconic Power and Earthen Heart skill lines, although the Ardent Flame skill line does provide some rather literal firepower."
uesp_Online_Classes_t01.csv,Online:Classes,uesp,65,4,Class | Specialisation | Weapons | Armor
uesp_Online_Clothing_t00.csv,Online:Clothing,uesp,41,8,1 | Tailoring I
uesp_Online_Clothing_t01.csv,Online:Clothing,uesp,26,5,Name | Line Rank | Skill Rank | Description
uesp_Online_Clothing_t02.csv,Online:Clothing,uesp,7,3,Order | Progression | Skill points required
uesp_Online_Clothing_t03.csv,Online:Clothing,uesp,10,4,Raw Material | Refined Into | Used To Make... | Level
uesp_Online_Clothing_t04.csv,Online:Clothing,uesp,10,4,Raw Material | Refined Into | Used To Make... | Level
uesp_Online_Clothing_t05.csv,Online:Clothing,uesp,136,3,Style | Material | Motif
uesp_Online_Clothing_t06.csv,Online:Clothing,uesp,8,3,Trait (Armor) | Material | Description
uesp_Online_Clothing_t07.csv,Online:Clothing,uesp,18,4,Achievement | Points | Description | Reward
uesp_Online_Combat_t00.csv,Online:Combat,uesp,8,2,Attack type | Chance to apply status effect
uesp_Online_Combat_t01.csv,Online:Combat,uesp,14,2,Status Effect | Notes
uesp_Online_Craftable_Sets_t00.csv,Online:Craftable Sets,uesp,15,4,Set Name | Traits Needed | Bonuses | Crafting Sites
uesp_Online_Craftable_Sets_t01.csv,Online:Craftable Sets,uesp,11,5,Set Name | Traits Needed | Bonuses | Zone | Crafting Site
uesp_Online_Craftable_Sets_t02.csv,Online:Craftable Sets,uesp,57,5,Set Name | Traits Needed | Bonuses | Zone | Crafting Site
uesp_Online_Craftable_Sets_t03.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Craftable_Sets_t04.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Craftable_Sets_t05.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Craftable_Sets_t06.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Craftable_Sets_t07.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Craftable_Sets_t08.csv,Online:Craftable Sets,uesp,43,6,Quality | Normal | Fine | Superior | Epic | Legendary
uesp_Online_Crafting_t00.csv,Online:Crafting,uesp,8,3,Order | Profession | Skill points required
uesp_Online_Crafting_t01.csv,Online:Crafting,uesp,5,6,Fine | 1.00% (?) | 1.15% (?) | 1.31% (?) | 1.50% | 1.69%
uesp_Online_Crafting_t02.csv,Online:Crafting,uesp,50,3,Rank | Inspiration Required for Next Rank | Total Inspiration for Rank
uesp_Online_Crafting_t03.csv,Online:Crafting,uesp,8,4,Rank | Standard | Enchanting | Provisioning
uesp_Online_Cyrodiil_t00.csv,Online:Cyrodiil,uesp,16,4,Zone: Cyrodiil ( view on map ) ( lore page ) | Zone: Cyrodiil ( view on map ) ( lore page )
uesp_Online_Cyrodiil_t01.csv,Online:Cyrodiil,uesp,15,4,"Within sight of Mnem. | Just outside the Scroll Temple of Mnem | (map) | Members of the Covenant or Pact will not be able to access this unless the Gate of Mnem is opened.  For this to occur, both Castles Faregyl and Bloodmayne must not be in the control of the Dominion ."
uesp_Online_Cyrodiil_t02.csv,Online:Cyrodiil,uesp,15,4,"Approach the southern scroll. | Outside the Scroll Temple of Alma Ruma | (map) | Members of the Dominion or Pact will not be able to access this unless the Gate of Alma Ruma is opened.  For this to occur, both Forts Glademist and Rayles must not be in the control of the Covenant ."
uesp_Online_Cyrodiil_t03.csv,Online:Cyrodiil,uesp,15,4,"Near the scroll of royalty's secret syllable. | Outside the Scroll Temple of Chim | (map) | Members of the Dominion or Covenant will not be able to access this unless the Gate of Chim is opened.  For this to occur, both Arrius and Kingscrest Keeps must not be in the control of the Pact ."
uesp_Online_Cyrodiil_t04.csv,Online:Cyrodiil,uesp,1,3,Clue | Location | Notes
uesp_Online_Defiance_champion_t00.csv,Online:Defiance (champion),uesp,3,2,Constellation | Fitness
uesp_Online_Destruction_Staff_t00.csv,Online:Destruction Staff,uesp,29,8,2 | Force Shock
uesp_Online_Destruction_Staff_t01.csv,Online:Destruction Staff,uesp,1,1,
uesp_Online_Destruction_Staff_t02.csv,Online:Destruction Staff,uesp,5,9,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Destruction_Staff_t03.csv,Online:Destruction Staff,uesp,25,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Destruction_Staff_t04.csv,Online:Destruction Staff,uesp,10,3,Ability Name | Weapon set name | Description
uesp_Online_Destruction_Staff_t05.csv,Online:Destruction Staff,uesp,10,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Disease_Damage_t00.csv,Online:Disease Damage,uesp,35,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Disease_Damage_t01.csv,Online:Disease Damage,uesp,13,3,Set | Weight | 5 piece bonus
uesp_Online_Dragonknight_t00.csv,Online:Dragonknight,uesp,5,4,Build | Role | Description | Primary Stat
uesp_Online_Dragonknight_t01.csv,Online:Dragonknight,uesp,5,6,Dragonknight Initiate | Inferno Dragon | Venomous Dragon | Stoneskin Dragon | Elder Dragon
uesp_Online_Drinks_t00.csv,Online:Drinks,uesp,114,8,Name | Drink Level | Drink Type | Health | Magicka | Stamina | Dur (mins)
uesp_Online_Drinks_t01.csv,Online:Drinks,uesp,29,8,Name | Food Level | Dish Type | Health | Magicka | Stamina | Dur (mins)
uesp_Online_Drinks_t02.csv,Online:Drinks,uesp,66,8,Name | Food Level | Dish Type | Health | Magicka | Stamina | Dur (mins)
uesp_Online_Drinks_t03.csv,Online:Drinks,uesp,8,23,Level | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22
uesp_Online_Drinks_t04.csv,Online:Drinks,uesp,8,23,Level | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22
uesp_Online_Drinks_t05.csv,Online:Drinks,uesp,5,23,Level | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22
uesp_Online_Drinks_t06.csv,Online:Drinks,uesp,11,4,Beverage | Description | Price
uesp_Online_Drinks_t07.csv,Online:Drinks,uesp,5,4,Beverage | Description | Price
uesp_Online_Dual_Wield_t00.csv,Online:Dual Wield,uesp,29,8,2 | Flurry
uesp_Online_Dual_Wield_t01.csv,Online:Dual Wield,uesp,5,9,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Dual_Wield_t02.csv,Online:Dual Wield,uesp,25,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Dual_Wield_t03.csv,Online:Dual Wield,uesp,10,3,Ability Name | Weapon set name | Description
uesp_Online_Dual_Wield_t04.csv,Online:Dual Wield,uesp,10,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Dungeon_Sets_t00.csv,Online:Dungeon Sets,uesp,48,4,Set Name | Bonuses | Location(s) | Set Type
uesp_Online_Dungeon_Sets_t01.csv,Online:Dungeon Sets,uesp,102,4,Set Name | Bonuses | Location(s) | Set Type
uesp_Online_Emperor_t00.csv,Online:Emperor,uesp,5,2,Name | Description
uesp_Online_Enchanting_t00.csv,Online:Enchanting,uesp,43,5,Aspect Improvement I | 1 | Potency Improvement I
uesp_Online_Enchanting_t01.csv,Online:Enchanting,uesp,25,6,Level | Inspiration Req'd | Δ Delta | Level | Inspiration Req'd | Δ Delta
uesp_Online_Enchanting_t02.csv,Online:Enchanting,uesp,3,4,Type of Runestone | Icon color | Icon shape | Examples
uesp_Online_Enchanting_t03.csv,Online:Enchanting,uesp,3,4,Type of Glyph | Icon color | Icon shape | Examples
uesp_Online_Enchanting_t04.csv,Online:Enchanting,uesp,7,5,Base | Fine | Superior | Epic | Legendary
uesp_Online_Enchanting_t05.csv,Online:Enchanting,uesp,23,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Enchanting_t06.csv,Online:Enchanting,uesp,6,3,Order | Progression | Skill points required
uesp_Online_Enchanting_t07.csv,Online:Enchanting,uesp,21,5,"​ | Master Enchanter | 50 | Attain an Enchanting rank of 50. | Enchanter Tangerine Enchanter's Sign ( 00005000 5,000 )"
uesp_Online_Fighters_Guild_t00.csv,Online:Fighters Guild,uesp,19,8,Intimidating Presence | 1
uesp_Online_Fighters_Guild_t01.csv,Online:Fighters Guild,uesp,5,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Fighters_Guild_t02.csv,Online:Fighters Guild,uesp,20,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Fighters_Guild_t03.csv,Online:Fighters Guild,uesp,9,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Fighters_Guild_t04.csv,Online:Fighters Guild,uesp,10,3,Rank | Reputation Required for Next Rank | Total Reputation for Rank
