family,page,version,note
depth,Online:Negate Magic,4.0.5,* Increased the duration of this ability and its morphs to 12 seconds from 10 seconds. **Developer Comments: This was done to make up for the fact that the Persistence passive was redesigned (details below) and no longer affects this iconic Ultimate ability. The net effect is the total duration will remain unchanged.
depth,Online:Negate Magic,5.0.5,* Fixed an issue where this ability would fail to continue suppressing Area of Effect abilities inside of the area. * Updated the tooltip to better describe the function of this Ultimate.
depth,Online:Negate Magic,7.0.5,"* The following abilities have received significant adjustments to how the server handles their behavior, reducing messages sent between the client and server and reducing the total amount of Area of Effect events occurring. This will largely have little to no effect on their gameplay other than improving their response time to entering or leaving the Area of Effect. In some rarer cases, it will reduce the interaction with sets that proc off application of buffs or debuffs, since you will no longer repeatedly apply these effects to targets inside the area every tick, but rather for the duration the target is inside the area. Their synergies (when applicable) have also been updated to be far more reliable to activate when in the area and they will no longer persist for a short duration after each tick, allowing you to activate them in cases where they could fail or were already used, going on cooldown with no effect, or gaining their effects despite already being used. ** Blood Altar and morphs *** In an instance where Blood Feast and Blood Funnel are both available, Blood Feast will now always take priority as it is stronger than Blood Funnel. ** Bone Totem and morphs ** Boneyard and morphs ** Cleansing Ritual and morphs ** Both morphs of Dragonknight Standard *** This will also fix an issue where the morphed version of this ability failed to properly fire its synergy, Shackle, when activated. ** Lightning Splash and morphs ** Necrotic Orbs and morphs ** Negate Magic and morphs ** Nova and morphs ** Rune Focus and morphs ** Spear Shards and morphs * The morphs of this ability now tick every 1 second instead of 500ms. * Increased the potency of their ticks by 103.3% to ensure their DPS/HPS remains almost the same, as well as fixing an issue where their values were missing rank up progression built into them. * Scrolling Combat Text now properly displays successful silences with these abilities."
depth,Online:Negate Magic,7.0.6,* Fixed an issue where this Ultimate and morphs' dispel failed to target most Area of Effects.
depth,Online:Negate Magic,9.0.5,"* Fixed an issue with this Ultimate and its morphs where they could not dispel another version of themselves. Previously, Negate Magic would only dispel Absorption Field or Suppression Field but fail to dispel an enemy Negate Magic, or any permutation where the Ultimates were of the same version. Now, any version of these Ultimates will actively dispel any version of the Ultimates they are placed on if they are sourced from enemies."
depth,Online:Sparks,1.6.5,"* This ability has been removed, and replaced with a new ability: Blade Cloak. ** When activated, Blade Cloak reduces area of effect damage taken by the caster by 20% for 15 seconds. Whenever the caster takes area of effect damage, this ability will deal damage to all nearby enemies. Blade Cloak can only fire once every 3 seconds. ** Quick Cloak: This ability provides the buff Major Expedition for 5 seconds. ** Deadly Cloak: When cast, this ability allows you to throw a dagger that deals high damage. This ability can only be used once, and only within ten seconds of the cast."
depth,Online:Wrath,2.4.5,"* Bracing: ** Renamed this passive ability to Wrath. ** Redesigned this passive ability so it now increases your Weapon and Spell Damage by 10/20 for 6 seconds after taking damage at Ranks I/II respectively, stacking up to 10 times."
depth,Online:Wrath,2.7.5,"* This passive now increases your Weapon and Spell Damage by 5/10 for each stack, down from 10/20, but it now stacks up to 20 times, up from 10 times. * Reduced the duration of this passive's bonus to 5 seconds from 6 seconds. **Developer Comments: Shortening Wrath's duration and allowing it take longer to build up its stacks to its full potential should allow more counterplay against Heavy Armor enemies, and take them longer to ramp up their power when engaging in combat. This also helps promote a berserker-type playstyle with Heavy Armor where you get more powerful the longer you stay in combat."
depth,Online:Wrath,3.2.5,"* This passive ability has been replaced with the Revitalize passive, which increases the resources your Heavy Attacks restore by 12/25%. * Rapid Mending: This passive ability no longer increases the amount of resources your Heavy Attacks restore, as that effect has been moved to the new Revitalize passive. It continues to increase your healing received by 4/8%. **Developer Notes: We want each of the three armor types to have unique trade-offs. Heavy Armor's main advantage is its increase to survivability, while the disadvantage is its lower damage and healing power. To emphasize this distinction, we've removed the Wrath passive."
glyphs,Online:Glyph of Prismatic Onslaught,7.1.5,"* This enchantment now deals damage equal to a normal Absorb enchantment, and restores Health, Magicka, and Stamina equal to half of the potency of a singular resource, rather than dealing bonus damage to Undead and Daedra."
sets,Online:Crusader,7.1.5,"* This set now grants you a damage shield based on your Weapon and Spell Damage for 6 seconds and creates an Area of Effect beneath you for 10 seconds whenever you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability. Every 2 seconds, the area grants you and group members inside Minor Courage for 12 seconds. These effects can occur once every 20 seconds. * This set's 2 through 4-piece bonuses are now Weapon and Spell Damage (2, 3, and 4) rather than Max Stamina, Stamina Recovery, and Max Stamina. * This set no longer increases your dodge chance bonus of Roll Dodge by 0.3 seconds."
sets,Online:Deadly Strike,7.1.5,"* Reduced this set's bonus damage to 18%, down from 20%. This set now works on all channeled and Damage over Time effects, rather than only Martial-based ones."
sets,Online:Deadly Strike,7.2.0,"* Reduced this set's damage done bonus to over time and channeled abilities to 15%, down from 18%."
sets,Online:Nikulas' Heavy Armor,7.1.5,"* This set now grants a stack of Nikulas' Resolve for 5 seconds whenever you successfully block, which after 8 stacks, you consume them and completely avoid the next direct damage attack made against you within 5 seconds. * This set no longer has a 25% chance on blocking spell projectiles to reflect them back to the attacker."
sets,Online:Pelinal's Wrath,7.1.5,"* Renamed this set to Pelinal's Wrath. * This set now grants you a damage shield based on your Weapon or Spell Damage and a stack of Wrath of Whitestrake for 10 seconds whenever you kill an enemy. * Wrath of Whitestrake grants you up to 100 Weapon and Spell Damage per stack, but causes you to take 1% of your Max health as Oblivion Damage every second per stack, up to 10 stacks max. * This set's 2 through 4-piece bonuses are now Weapon and Spell Damage (2), Offensive Penetration (3), and Weapon and Spell Damage (4), rather than Max Health, Stamina Recovery, and Magicka Recovery. * This set no longer causes your Weapon and Spell Damage to become the highest of the two values."
sets,Online:Roar of Alkosh,7.1.5,"* Increased this set's Armor reduction cap to 6000, up from 3000."
sets,Online:Shattered Paths Signet,12.0.6,"*This set's damage done with status effects now only applies to monsters. Reduced the maximum damage bonus from 170% to 133%, and reduced the Ultimate required to reach the cap to 133, down from 170. Reduced the cooldown for applying Status Effects when at the maximum Ultimate threshold to 2 seconds at 133 Ultimate, down from 4s at 170."
sets,Online:Sithis' Touch,2.4.5,* Introduced with the Dark Brotherhood DLC.
sets,Online:Sithis' Touch,7.1.5,"* This set now grants 5% movement speed for 30 seconds whenever you kill an enemy, up to 20 times, and grants invisibility for 3 seconds when activating. * This set's 2 through 4-piece bonuses are now Max Stamina (2), Max Magicka (3), and Weapon and Spell Damage (4), rather than Max Health, Max Health, and Critical Chance. * This set no longer grants Major Berserk whenever you kill an enemy with the Blade of Woe."
sets,Online:Stygian,7.1.5,* This set now grants hybrid stats rather than exclusively Magicka based stats. * Its 4-piece bonus is now Offensive Penetration rather than Max Magicka. The 5-piece bonus now requires you to be in combat to proc (note that this will still work with successful sneak attacks).
sets,Online:Yandir's Might,7.1.5,"* Fixed an issue where the Weapon Damage from Giant's Endurance did not apply to your abilities. * This set now grants Giant's Endurance for 5 seconds per stack, rather than indefinitely. * This set no longer requires you to have 5 pieces active to retain the stacks since they are not permanent. This should fix multiple issues and inconsistencies with this set."
skills,Online:Abor's Augmented Ward,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet."
skills,Online:Above and Beyond,12.0.0,"*This passive increases your Critical Damage and Healing by 15% (7% against players). It also increases your maximum potential Critical Damage and Healing by 25%, meaning it adds to the normal cap of 125%, bringing it to 150%."
skills,Online:Absorb,7.1.5,"* This passive now procs on any successful block, rather than only against spells, which was already a half truth as it procced on plenty of non-spells as well. * Increased the restore to 300/600 Magicka on proc, up from 288/540. * This passive now has a 250ms internal cooldown."
skills,Online:Abyssal Emergence,12.0.0,"*Abyssal Emergence: This passive upgrades your Arcanist Ultimates to immediately generate 3 Crux upon activation, while also granting 666 Weapon and Spell Damage for 15 seconds after activating."
skills,Online:Abyssal Impact,10.0.5,"* Cephaliarch’s Flail (morph): This morph now ranks up in 1.1% healing per rank, resulting in 3.3% additional healing at rank IV, rather than reducing its cost per rank, as the morph upgrade does not interact with cost at all and was offering too many unique advantages."
skills,Online:Abyssal Impact,10.1.5,"* Cephaliarch's Flail (morph): This morph no longer gains execute scaling damage. The healing from this morph now only occurs if the ability damaged a target, to ensure it can only be used aggressively, rather than at any time. * Tentacular Dread (morph): This morph now increases its damage done by 33% per Crux consumed, up from 20%. ** In this pass, we're trying to better align the power dynamic between these morphs. Very early in development, Flail was actually used predominantly as an execute with much more potent scaling, but over time during the class's development, we reduced this function when Fatecarver came into being and took the spotlight. Originally, we kept this functionality to pay homage to that, but since both morphs added damage functionalities, it created a situation where one was always going to be better than the other. Rather than trying to have an arms race between the two, we've done more of a hard split, where Flail remains a generic ""buff"" morph that allows you to gain additional effects and contextual uses, while Dread more radically shifts how the ability is utilized. In addition to this, the increased drain of Crux that Dread asks of you wasn't as rewarding as we would have liked, so we're bumping up the reward for using it well."
skills,Online:Accelerate,5.0.5,"* Increased the duration of the Major Expedition buff from this ability and its morphs to 4 seconds from 3. Note Channeled Acceleration will now last 12 seconds, rather than 9. * Race Against Time (morph): ** This morph no longer reduces the cost of sprinting by 50% for 4 seconds. Instead, it now grants immunity to Snares and Immobilizations for 4 seconds. ** This ability no longer becomes cheaper as it ranks up. ** Reduced the Snare and Immobilization immunity to 1 second from 4 seconds. ** The immunity's duration now increases as the ability ranks up, up to a maximum of 2 seconds. *** Developer Comment: Since Accelerate is already such a powerful ability granting both damage and mobility potential at reduced costs, we wanted to ensure other abilities that grant similar functions of snare or immobilization immunity still had a place in builds. This is also seen with the Protective Plate ability, which already grants an incredibly powerful base function, so the standard 4 seconds duration is halved."
skills,Online:Accelerate,6.0.5,* Channeled Acceleration (morph): Fixed an issue with the timing of the visual effects of this ability when used with a Two Handed weapon.
skills,Online:Accelerate,8.1.5,"* Increased the base cost of this ability and its morphs to 4050, up from 3780. * Increased the duration of Minor Force granted to 20 seconds, up from 12. Note this will cause Channeled Accelerate's Minor Force to triple to 60 seconds now as well, instead of tripling to 36. ** Race Against Time (morph): Increased the duration of the snare and immobilization immunity to 4 seconds, up from 2."
skills,Online:Accelerated Growth,7.1.5,"* This passive now grants Major Mending for 2/4 seconds on proc, up from 1.5/3 seconds."
skills,Online:Accuracy,6.3.5,"* This passive now grants Critical Chance rather than Weapon Critical. * Rank II now grants 6% Critical Chance, up from 5%."
skills,Online:Acrobat,2.5.5,"* Archery Expertise: This passive ability has been renamed to ""Acrobat."" Also, in addition to the current benefit it now reduces your fall damage by 10%."
skills,Online:Adrenaline Rush,1.3.3,"* Adrenaline Rush Rank I: This now triggers on all melee attacks, not just light and heavy attacks."
skills,Online:Adrenaline Rush,2.5.5,"* Increased the cooldown of this passive's proc to 5 seconds at all ranks, from 3 seconds on Ranks II and III."
skills,Online:Adrenaline Rush,3.0.5,* This passive ability now restores Stamina based on your character level instead of your Max Stamina.
skills,Online:Adrenaline Rush,4.3.5,"* Adrenaline Rush: When you deal damage with a melee attack you restore 792 Stamina. This effect can occur once every 5 seconds. → When you deal Direct Damage, you restore 950 Stamina. This effect can occur once every 5 seconds. ** Developer Comment: Redguards were our golden standard for what races should strive to be, so we used them as a general guideline when rebuilding some of the other races. This was due to the fact that Redguards had distinct playstyle enhancing bonuses that allowed engaging and thoughtful choices to building a character. Despite this, we noticed many restrictions in their own passives, and wanted to improve that by making them more accessible by other play styles. We condensed some of their Stamina Recovery passive into Adrenaline Rush, and then added a new passive that affected all build paths, instead of just Stamina builds; while highlighting their culture's practice of training their adolescence in martial warfare early on in life."
skills,Online:Adrenaline Rush,6.3.5,"* Increased the Stamina restored from this passive to 1005, up from 950. *This passive now procs on any damage done, rather than Direct Damage."
skills,Online:Advanced Species,4.2.5,"* Increased the bonus to damage done for each Animal Companion ability slotted to 3% at rank II, previously 2%."
skills,Online:Advanced Species,5.1.5,* Reduced the damage increase per Animal Companion ability slotted to 2% from 3%.
skills,Online:Advanced Species,8.1.5,"* This passive now increases your Armor Penetration by 495/990 per Animal Companion skill slotted, rather than damage done by 1/2%."
skills,Online:Advanced Species,8.2.5,"* This passive now increases your Critical Damage done by 2/4%, rather than your Armor Penetration by 495/990. **Developer Comment: We're shifting this passive's focus away from raw damage and more into Critical damage, to help focus the class's natural tendency to burst foes down. This change should also help bring up Light Armor focused Wardens, while toning down some of the power that their currently much stronger Medium Armor cousins have."
skills,Online:Advanced Species,11.0.5,"* Increased the Critical Damage granted from this passive to 2/5% per Animal Companion ability slotted, up from 2/4%."
skills,Online:Aegis of the Unseen,10.3.5,"* This passive now increases your armor by 1636/3271 while you have a Soldier of Apocrypha ability active, up from 990/1980."
skills,Online:Agility (skill),1.4.3,* Fixed an issue where this passive was stacking the bonus from Ranks I and II. * The agility passive now gives you weapon power instead of attack speed.
skills,Online:Agility (skill),1.6.5,* Fixed an issue where this passive ability was granting spell damage in addition to weapon power.
skills,Online:Agility (skill),1.6.6,* Fixed an issue where this passive would occasionally not work.
skills,Online:Agility (skill),7.1.5,"* The following passives and player abilities now grant hybrid stats to help improve their viability and accessibility to off-meta builds, because we love them too: ** Agility: Now grants equal Weapon and Spell Damage. ** Balanced Warrior: *** Now grants 660/1320 Armor, rather than 1320/2640 Spell Resistance. *** Now grants equal Weapon and Spell Damage values. ** Brutal Carange's bonus: Now grants equal Weapon and Spell Damage values. ** Concentration: Now grants equal Offensive Penetration. ** Dexterity: Now increases Critical Damage and Healing Done per piece worn, up to 2% at the final rank, rather than Weapon Critical (as Prodigy now grants Weapon Critical as well) ** Flawless Dawnbreaker's bonus: Now grants equal Weapon and Spell Damage values. ** Prodigy: Now grants equal Critical Chance. ** Savage Strength: Now grants equal Weapon and Spell Damage values. ** Scaled Armor: Now grants 825/1650 Armor rather than 1320/3300 Spell Resistance. ** Slayer: Now grants equal Weapon and Spell Damage values."
skills,Online:Agony,1.4.3,* Shadow Cloak: This ability is no longer removed by the following ticking damage abilities. ** Agony ** Bat Swarm ** Caltrops ** Cripple ** Entropy ** Fire Rune ** Necrotic Orb ** Path of Darkness ** Soul Tether ** Trap Beast ** Volley ** Wall of Elements ** All elemental procs
skills,Online:Agony,1.6.5,"* Reduced the cast time of Agony to 1.2 seconds, and increased the duration by 50%."
skills,Online:Agony,2.3.5,* This ability and its morphs will now apply their damage over time component to targets that are immune to the disorient portion of the ability.
skills,Online:Agony,3.2.5,"* Agony: This ability and its morphs is now an ally-targeted spell that heals them over time and costs Health to cast instead of Magicka. We also renamed this ability to Malevolent Offering. * Malefic Wreath: This morph now grants Minor Mending when it deals damage to you, and has been renamed to Healthy Offering. * Prolonged Suffering: This morph now decreases the health cost, and has been renamed to Shrewd Offering. **Developer Notes:This redesign of Agony and its morphs gave us an opportunity to create a new ability more in-line with the theme of Siphoning. It helps Nightblades fulfill the healing role in a unique way, and synergizes with the other Siphoning abilities that let you steal health like Strife or Siphoning Strikes. You can then transfer that health to your allies."
skills,Online:Amphibian,2.5.5,"* This passive ability has been renamed to ""Amphibian."" Also, in addition to the current benefit it now increases your swimming speed by 50%."
skills,Online:Amplitude,4.3.5,"* Implosion: ** Renamed this passive to Amplitude. ** This passive is now a reverse execute mechanic, and increases your damage against targets by 1% for every 10% health they currently have. ** The minimum bonus this passive can provide is 1% increased damage done. *** Developer Comment: This change was aimed at helping Sorcerer's damage production go up, while helping them in the targeted gameplay pattern of getting targets into specific health thresholds, detracting from the feeling of uncontrollable burst for the caster, and sudden moments of low telegraphed high damage for the target.::: The HP thresholds for the damage are as follows::::* 100% Health = 10% damage:::* 99%-90% = 9%:::* 89.9%-80% = 8%:::* 79.9%-70% = 7%:::* 69.9%-60% = 6%:::* 59.9%-50% = 5%:::* 49.9%-40% = 4%:::* 39.9%-30% = 3%:::* 29.9%-20% = 2%:::* 19.9%-10% = 1%:::* 9.9%-0% = 1%"
skills,Online:An Eye for Exploitation,12.0.0,"*This passive increases your Weapon and Spell Damage by up to 1250 and reduces your damage taken by up to 12%, both based on your target's missing Health."
skills,Online:Ancient Knowledge,2.7.0,"*This passive ability no longer decreases the cast time of your Destruction Staff Heavy Attacks by 5/10%. Instead, it grants you a bonus as long as you have one Destruction Staff ability slotted. This bonus depends on your staff type: ** Flame Staves: Increases your single-target damage dealt by 4/8%. ** Frost Staves: Increases the amount of damage you Block by 10/20%, and reduces the cost of Block by 15/30%. ** Lightning Staves: Increases your Area of Effect damage dealt by 4/8%."
skills,Online:Ancient Knowledge,2.7.2,* Fixed an issue where the Lightning Staff damage done bonus was not increasing the damage on certain Area of Effect abilities such as Ritual of Retribution or Crystal Blast.
skills,Online:Ancient Knowledge,2.7.5,"* This passive ability no longer decreases the cast time of your Destruction Staff Heavy Attacks by 5/10%. Instead, it grants you a bonus as long as you have one Destruction Staff ability slotted. This bonus depends on your staff type:"
skills,Online:Ancient Knowledge,4.3.5,"* Removed the requirement of having a Destruction Staff ability slotted to gain the effect of this passive. Now, you simply need to equip the Destruction Staff type of the buff you want to gain the bonus it provides. ** Developer Comment: This passive was far too restrictive in the sense that it required you to be actively wielding the weapon type necessary to unlock the desired passive, while also slotting an ability from that skill line as well. Now, you will only need to equip the staff type desired. Traditionally, our passives fall into one of three categories: while using an ability of X type, with an ability/weapon of X type slotted, or one that is active at all times. The goal here was to improve the selection of skills on your bar based on what sort of abilities you wanted, rather than being forced to take something for a passive when you've already dedicated to a prerequisite it provided."
skills,Online:Ancient Knowledge,5.2.5,* Fixed an issue where this passive was not properly working with specific pets.
skills,Online:Ancient Knowledge,6.2.5,* Fixed an issue where the Block Mitigation granted from this passive could fail to apply against certain attacks while equipping a Frost Staff. * Fixed an issue where tether abilities and sets; such as Shocking Siphon or Stone Husk; were not properly treated as Area of Effect Damage for bonuses such as Ancient Knowledge or Major Evasion.
skills,Online:Ancient Knowledge,7.1.5,"* This passive now better discerns what is an Area of Effect attack and what isn't with its bonus damage based on your staff type. * Increased the bonuses of both the Inferno and Lightning Staff types to 5/10%, up from 4/8% to help better match the power of Twin Blade and Blunt or Heavy Weapons grant."
skills,Online:Ancient Knowledge,8.3.5,* Fixed multiple issues where the Inferno and Lightning Staff components were applying to incorrect attack types.
skills,Online:Ancient Knowledge,10.1.5,* Fixed an issue where this passive could cause your Health Bar to glow permanently.
skills,Online:Annulment,1.1.2,* This Ultimate ability's damage shield now absorbs 100% of incoming Spell Damage rather than 50%. This damage shield value remains the same.
skills,Online:Annulment,1.4.6,"* This ability's shield value is now 120% larger, but no longer gives a 50% damage reduction. It also now only absorbs damage from spell attacks."
skills,Online:Annulment,1.5.2,* Fixed an issue where recasting this ability before it expired would not refresh the absorb value. * Harness Magicka: This ability can now only restore magicka up to three times per cast.
skills,Online:Annulment,2.4.5,"* Reduced the duration of this ability and its morphs to 6 seconds from 20 seconds. In addition, this ability and its morphs now absorb all damage instead of just spell damage. ** Note: The Harness Magicka morph will continue to return Magicka only when spell damage is absorbed as a morph effect."
skills,Online:Annulment,3.1.5,* Dampen Magic: Fixed an issue where this morph was displaying extraneous buff icons.
skills,Online:Annulment,3.2.5,* Casting this ability and its morphs now requires that you wear 5 pieces of Light Armor.
skills,Online:Annulment,4.2.5,"* The total strength of this ability is now limited to 40% of the caster's health. * Dampen Magic: This morph now also increases the shield cap to 50% of your Max Health, previously 40%. **Developer Comment: As noted above, we want players to make interesting choices when making damage shield builds. These builds now require a balance of offensive and defensive stats, where previously a damage shield user could go for all offensive stats and also get a gigantic damage shield that mitigated the fact that they had low max health. * Harness Magicka: Fixed an issue where this morph was double dipping with its Magicka return based on the Light Armor worn."
skills,Online:Annulment,4.3.5,"* Fixed an issue with Annulment and its morphs, and Conjured Ward and its morphs, where you could occasionally get stuck in the casting animations when using the abilities in quick succession with other abilities such as Block."
skills,Online:Annulment,5.1.5,"* Reduced the shield size of this ability and its morphs by approximately 9%. * Increased the shield size limit for this ability and the Harness Magicka morph to 50% of your Max Health from 40%. Dampen Magic increases to 60% from 50%. ** Developer Comment: The changes with Magicka-based Damage Shields were done to increase the shields' strengths in situations where the caster is focusing more into increasing their effectiveness by specializing more stats into them, since they now require more Magicka to increase their size than they needed in previous updates. * Harness Magicka: ** This morph no longer returns 3% of your Max Magicka when absorbing spell attacks. Instead, it restores 5% of the ability's cost whenever it absorbs any damage. Note this value continues to increase per piece of Light Armor worn, and can still only occur up to 3 times per cast. ** Increased the bonus modifier per piece of Light Armor worn for the Magicka return to 33% at Rank IV from 6%. Note this increase remains to be based on 5% of the ability's cost, so each piece of Light Armor will increase the return from 5% to 6.65%."
skills,Online:Annulment,7.1.5,* Harness Magicka (morph): Fixed an issue where you could get more than 3 Magicka restores from this ability per cast.
skills,Online:Apocryphal Gate,9.0.6,* Fixed an issue with this ability and its morphs where it would only place one portal. ** Fleet-Footed Gate (morph): Fixed an issue where this ability was not benefiting from its rank progression.
skills,Online:Apocryphal Gate,9.0.7,* Fixed an issue that could some clients to become unresponsive when casting Apocryphal Gate.
skills,Online:Apocryphal Gate,9.3.5,* Passage Between Worlds (morph): Fixed an issue where this morph’s synergy could be activated in some situations it should not have.
skills,Online:Apocryphal Gate,11.2.6,* Fixed an issue where this ability and its morphs would fail to generate Crux if you entered the portal while Sprinting.
skills,Online:Arcane Fighter,1.5.2,* Replaced the Arcane Fighter passive with Follow Up. This will increase your damage by 5%/10% for 7 seconds after activating a fully charged heavy attack.
skills,Online:Arcane Nova,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet."
skills,Online:Arcanist's Domain,9.3.5,* Zenas’ Empowering Disc (morph): Fixed an issue where the buffs granted by this ability would be removed from allies if the caster of the ability died.
skills,Online:Arcanist's Domain,10.0.5,* Arcanist Domain: Fixed an issue where this ability and its morphs could not be dispelled.
skills,Online:Arcanist's Domain,11.0.5,"* This ability and its morphs' Minor Buff effects now properly adhere to the standard 6 target cap. ** Reconstructive Domain: The healing from this morph will now sort and apply the heal to the lowest Health targets in the area, rather than having no sort and simply applying to the first 6 targets that entered the area."
skills,Online:Arctic Wind,4.0.5,* Increased the initial heal done by this ability and its morphs to 12% of your Max Health from 10%.
skills,Online:Arctic Wind,4.1.5,* Increased the initial heal from this ability and its morphs to 15% of your Max Health from 12%.
skills,Online:Arctic Wind,4.2.5,* Arctic Blast: This morph now fires a projectile that stuns the target in addition to healing you. It requires an enemy target to cast the ability. This ability also no longer deals damage over time based on your maximum health.
skills,Online:Arctic Wind,5.0.5,"* Increased the Heal over Time from this ability and its morphs to 3% of your Max Health, up from 2%. These abilities now properly rank up in healing with each rank, and their tooltips state the actual heal value. * Arctic Blast (morph): Increased the travel speed of the projectile so it's similar to Destructive Touch's speed. Also updated the tooltip to state it requires an enemy to cast. * Polar Wind (morph): Increased the radius to 12 meters from 8 meters for the allied heal."
skills,Online:Arctic Wind,5.1.5,"* Updated the healing from this ability and its morphs to happen faster and be focused more on the initial heal, rather than the heal over time. * The initial heal now scales off 25% of your Max Health, up from 15%. * The Heal over Time remains at 3% of your Max Health per tick, but happens every 1 second for 5 seconds instead of every 2 seconds for 10 seconds."
skills,Online:Arctic Wind,5.2.5,"* This ability and its morphs have regained the original function of Arctic Blast, and deal Frost Damage in a 6 meter area around the caster while the Heal over Time persists. This damage scales with your Max Magicka and Spell Damage, to prevent compounded power for tank builds. * Arctic Blast (morph): ** This morph no longer converts the ability into an awkward projectile stun. Instead, this ability has inherited Permafrost's old functionality, where enemies hit 3 times in rapid succession with the ability are stunned. This stun cannot be blocked."
skills,Online:Arctic Wind,7.0.5,* Reduced the base heal of this ability and its morphs by 20% and the Heal over Time from this ability and its morphs by approximately 17%.
skills,Online:Arctic Wind,8.0.5,"* Arctic Blast (morph): ** This morph now requires enemies to be damaged 5 times in order to be stunned, up from 3. ** Reduced the duration of the stun to 3 seconds, down from 4. ** Increased the duration of the stack counter to 3 seconds, up from 1. **Developer Comment: Right now, this ability is offering too much offensive nature for the Warden, allowing them to line up their burst perfectly with Scorch to remove counter play. By increasing the stack count required, there should be less of a guarantee with this combination and require more reactive play from the caster, while the increased duration of tracking helps also reduce the ease of counter play by backing off for 1 second from the Warden to completely avoid the stun."
