page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Akaviri Dragonguard,,Adds 3-129 Magicka Recovery,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Reduces the cost of your Ultimate abilities by 15%.,,,,,,,,Sets,itemset,Magicka Recovery,Increase Healing Received,Health Recovery,Maximum Health,Reduce Ultimate Cost,Heavy Armor,5-Piece Bonus,Eastmarch,Heavy Armor,Any Weapon,Jewelry,Nord Style,,,,,,28-1206 Maximum,,,3-129,3,,43035,1,Bonelord's Annihilator of the Dragon,,,,Recovery,,,,,,,,,,,,,
Online:Alessia's Bulwark,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,"When you take damage from a Martial melee attack, you reduce the attacker's Weapon Damage and Spell Damage by 6-300 for 5 seconds.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Counterattack,All Weights,Reduce Enemy Damage Done,,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,,,Jewelry,y,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,,,,,,,,,,,
Online:Alessian Order (set),,Adds 34-1487 Armor,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,"Increase your Health Recovery by 2% of your sum total Physical Resistance and Spell Resistance, up to a maximum of 1320. Current Bonus Health Recovery: 0.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Health Recovery,Heavy Armor,5-Piece Bonus,Vlastarus,Heavy Armor,Any Weapon,Jewelry,Alliance Style,Alliance Point Cost,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Almalexia's Mercy,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,"When you take damage, you heal you and your group members within 7 meters of you for 1412 Health over 3 seconds. This effect can occur once every 3 seconds and scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Counterattack,Light Armor,Restore Health,Cropsford,Group Bonus,Distance Bonus,Heal Others,Light Armor,Alliance Style,,,Alliance Point Cost,,28-1206 Maximum,5-Piece Bonus,,,,,,,,,,,,,,,,,,,,,,,,
Online:Amber Plasm,,Adds 25-1096 Maximum Magicka,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 5-245 Health Recovery,,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Damage,Weapon/Spell Critical,Stamina Recovery,Magicka Recovery,Light Armor,Health Recovery,Ruins of Mazzatun,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Mazzatun Style,Shadows of the Hist,Shadows of the Hist,,y,5-245,,5-245,25-1096 Maximum,,,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Ancient Dragonguard,,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 6-300 Weapon Damage and Spell Damage while your Health is above 50%. Adds 80-3460 Physical Resistance and Spell Resistance while your Health is 50% or less.,,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Critical,Weapon/Spell Damage,Near Death Effect,Physical/Spell Resistance,All Weights,Reduce Damage Taken,Dragonguard Armory,Full Health Bonus,Double Weapon/Spell Damage,5-Piece Bonus,Light Armor,Medium Armor,Dragonhold,Dragonhold,Heavy Armor,y,28-1206 Maximum,Any Weapon,,,3,Jewelry,153828,,Ancient Dragonguard Sword,,,,,,Crafting Site(s),Dragonguard Armory,,,,,,,,,,
Online:Ansuul's Torment,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 34-1487 Offensive Penetration,"Increases your damage done against monsters by 0-7%. When you interrupt an enemy, you increase your damage done against monsters by an additional 0-14% for 30 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Physical/Spell Penetration,Minor Slayer,Increase Damage Dealt,Interrupt Bonus,Medium Armor,5-Piece Bonus,Sanity's Edge,Medium Armor,Any Weapon,Jewelry,Clan Dreamcarver Style,,Necrom,Necrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Anthelmir's Construct (set),Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a fully-charged Heavy Attack throws an axe at the enemy, dealing 1572 Physical damage and reducing their Armor by 400 for 5 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage. The axe drops to the ground after traveling to your target for 5 seconds. Touching the axe reduces the cooldown of this set by 5 seconds.",,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Physical Damage,Heavy Attack Bonus,Reduce Enemy Defense,Undaunted Style,Monster Helm Sets,2-Piece Bonus,Oathsworn Pit,Head and Shoulders,,,,,Scions of Ithelia,Scions of Ithelia,,y,,,,,,,,,,,,,,,,,Oathsworn Pit,Urgarlag Chief-bane,Anthelmir's Construct,,,,,,,
Online:Apocryphal Inspiration,,Adds 15-657 Critical Chance,Adds 3-129 Stamina Recovery,Adds 3-129 Weapon Damage and Spell Damage,"You and group members within 28 meters of you gain Major Fortitude, Major Intellect, and Major Endurance, increasing your Health Recovery, Magicka Recovery, and Stamina Recovery by 30%.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Stamina Recovery,Group Bonus,Full Group Bonus,Medium Armor,Major Fortitude,Scrivener's Hall,Major Intellect,Major Endurance,5-Piece Bonus,Medium Armor,Any Weapon,Scribes of Fate,Scribes of Fate,Jewelry,y,,,3-129,,,Scribes of Mora Style,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Archdruid Devyric (set),Adds 34-1487 Offensive Penetration,"When you deal damage with a Heavy Attack, after 1.2 seconds deal 650 Shock damage to up to 6 enemies within a 7 by 5 meter line on your target, applying Major Vulnerability to them for 7 seconds, increasing the damage enemies take by 10%. This effect can occur once every 15 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Shock Damage,Heavy Attack Bonus,Area of Effect,Major Vulnerability,Monster Helm Sets,Undaunted Style,Earthen Root Enclave,2-Piece Bonus,Head and Shoulders,,,,Lost Depths,Lost Depths,,y,,,,,,,,,,the item set,the enemy,Archdruid Devyric,,,,,Earthen Root Enclave,Urgarlag Chief-bane,Archdruid Devyric,,,,,,,
Online:Archer's Mind,,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Increases your Critical Damage and Healing by 8%. Increases your Critical Damage and Healing by an additional 16% when you are Sneaking or Invisible.,,,,,,,,Sets,itemset,Maximum Stamina,Double Weapon/Spell Critical,Weapon/Spell Critical,Increase Critical Damage,Increase Critical Healing,Medium Armor,Stealth Bonus,Dragonstar Arena,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Wood Elf Style,,,,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Arena Sets,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Arkasis's Genius,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,"Whenever you drink a potion while in combat, you and 3 group members gain 1-44 Ultimate. This effect can occur once every 30 seconds.",,,,,,,,Sets,itemset,Maximum Health,Double Maximum Health,Physical/Spell Resistance,Consumable Bonus,Ultimate Gain,Heavy Armor,Group Bonus,Stone Garden,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Hazardous Alchemy Style,Stonethorn,Stonethorn,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,1-44,
Online:Arkay's Charity,,Adds 3-129 Magicka Recovery,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,"When you cleanse a negative effect from yourself or an ally, restore 13 Ultimate to the target. This effect can occur once every 9 seconds per target.",,,,,,,,Sets,itemset,Magicka Recovery,Maximum Magicka,Double Magicka Recovery,Reduce Debuff Effects,Ultimate Gain,Light Armor,5-Piece Bonus,"""Rewards for the Worthy"" mails",Light Armor,Any Weapon,Jewelry,Alliance Style,,,,,,,,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,13,
Online:Armor Master,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,"While you have an Armor ability slotted, your Max Health is increased by 5%. When you use an Armor ability while in combat, your Physical Resistance and Spell Resistance is increased by 138-5940 for 10 seconds.",,,,,,,,Sets,itemset,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Double Maximum Health,All Weights,Skill Bonus,Memorial Armory,Triple Physical/Spell Resistance,Reduce Damage Taken,5-Piece Bonus,Light Armor,Medium Armor,Imperial City,Imperial City,Heavy Armor,,28-1206 Maximum,Any Weapon,,,,Jewelry,,,,,,,,,Crafting Site(s),Memorial Armory,,,,,,,,,,
Online:Armor of Truth,,Adds 15-657 Critical Chance,Adds 25-1096 Maximum Stamina,Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage to an enemy who is Off Balance, your Weapon Damage and Spell Damage are increased by 10-460 for 10 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Maximum Stamina,Off Balance Bonus,5-Piece Bonus,Heavy Armor,Heavy Armor,Darkshade Caverns,Any Weapon,Jewelry,Dark Elf Style,,,,,,y,,,25-1096 Maximum,,3,,7690,1,,,,,,,,,,,,Fist of the Hive Lord,,,,,,
Online:Armor of the Code,Increase your Critical Chance against targets with a lower % of health than you by 47-2051.,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,,,,,,,,,Sets,itemset,,,,,,,,,,,,,,,,,,,,,25-1096 Maximum,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Armor of the Seducer,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,Reduces the cost of your Magicka abilities by 10%.,,,,,,,,Sets,itemset,Magicka Recovery,Maximum Magicka,Double Magicka Recovery,Reduce Magicka Cost,5-Piece Bonus,All Weights,Light Armor,,Medium Armor,Heavy Armor,Any Weapon,Jewelry,Crafting Site(s),,,,,,,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Armor of the Trainee,Adds 33-1454 Maximum Health,Adds 33-1454 Maximum Magicka,Adds 33-1454 Maximum Stamina,,,,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Maximum Magicka,3-Piece Bonus,Light Armor,All Weights,Medium Armor,Bleakrock Isle]],Heavy Armor,Any Weapon,Jewelry,Mixed Style,,,,,,33-1454 Maximum,,33-1454 Maximum,33-1454 Maximum,2,,36573,1,Bloodthorn Dagger,,,,,,,,,,,,,,,,,
Online:Armor of the Veiled Heritance,,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Armor,Adds 34-1487 Armor,"When you interrupt an enemy, you gain 12-516 Weapon Damage and Spell Damage for 15 seconds. Your Bash attacks deal 12-516 more damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Interrupt Bonus,Heavy Armor,Double Weapon/Spell Damage,Auridon,Improved Bash,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,,,High Elf Style,y,,,,,2,,7599,1,,,,,,,,,,,,Despot's Shoulderplates,,,,,,
Online:Arms of Infernace,,,Adds 3-129 Weapon Damage and Spell Damage,,,,,,,,,,Sets,itemset,,,,,,,,,,,,,,,,,y,,,,,2,,,,Amulet of Conflagration,,,,,,,,,,,,,,,,,
Online:Arms of Relequen,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 34-1487 Offensive Penetration,"Your Light and Heavy attacks apply a stack of harmful winds to your target for 5 seconds, reduced to 1 second against players. Harmful winds deal 51 Physical damage per stack every 1 second. This effect can stack once every 0.5 seconds, up to 10 times, and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Physical/Spell Penetration,Minor Slayer,Light Attack Bonus,Heavy Attack Bonus,Medium Armor,Physical Damage,Cloudrest,Damage Over Time,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Summerset,Summerset,Welkynar Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Arms of the Ancestors,,,Adds 34-1487 Offensive Penetration,,,,,,,,,,Sets,itemset,,,,,,,,,,,,,,,,,,,,,,2,,,,Auriel's Bow,,,,,,,,,,,,,,,,,
Online:Ashen Grip,,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"When you deal Martial melee damage, you breathe fire to all enemies in front of you for 774 Flame Damage. This effect can occur once every 4 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Health,Weapon/Spell Critical,Weapon/Spell Damage,Melee Damage Bonus,Flame Damage,All Weights,Area of Effect,,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,,,Jewelry,y,28-1206 Maximum,Crafting Site(s),,,,,,,,,,,,,,,,,,,,,,,,
Online:Aspect of Mazzatun,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Magicka,"When you take damage while under 30% Health, you heal for 243-10481 Health and restore 243-10481 Magicka and Stamina. This effect can occur once every 45 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Maximum Stamina,Maximum Health,Counterattack,Near Death Effect,Heavy Armor,Restore Health,Ruins of Mazzatun,Restore Magicka,Restore Stamina,5-Piece Bonus,Heavy Armor,Any Weapon,Shadows of the Hist,Shadows of the Hist,Jewelry,,28-1206 Maximum,Mazzatun Style,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Assassin's Guile,,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Increases the duration of your alchemical poisons by 4 seconds.,,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Consumable Bonus,Increase Effect Duration,All Weights,5-Piece Bonus,Marandus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,Morrowind,Morrowind,Crafting Site(s),y,,,,,,,,,,,,,,,,Marandus,,,,,,,,,,
Online:Asylum Weapons,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,Clockwork City,,,,,,,,,,,,,,,,,,,,,,,,w,Ebony Axe-Apostle,,,,
Online:Auroran's Thunder,,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Offensive Penetration,"Dealing direct damage to a target within 10 meters of you summons a cone of lightning from your chest for 5 seconds, dealing 396 Shock damage every 1 second to enemies in the cone. This effect can occur every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Penetration,Weapon/Spell Damage,Physical/Spell Penetration,Distance Bonus,Light Armor,Direct Damage Bonus,Depths of Malatar,Shock Damage,Damage Over Time,Area of Effect,5-Piece Bonus,Light Armor,Wrathstone,Wrathstone,Any Weapon,y,28-1206 Maximum,Jewelry,,,,Meridian Style,,,,,,,,,,,,,,,,,,,,
Online:Automated Defense,,Adds 28-1206 Maximum Health,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 4% Healing Taken,"When you use an Ultimate ability while in combat, you and the closest 5 group members within 28 meters of you gain Major Aegis for 1 second per 10 Ultimate spent, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 10%.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Minor Aegis,Ultimate Bonus,Group Bonus,Heavy Armor,Distance Bonus,Halls of Fabrication,Major Aegis,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Morrowind,Morrowind,Refabricated Style,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,10,
Online:Ayleid Refuge,,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Blocking an attack reduces your damage taken by 11% for 3 seconds.,,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Double Maximum Health,Block Bonus,Reduce Damage Taken,Heavy Armor,5-Piece Bonus,West Weald,Heavy Armor,Any Weapon,Jewelry,Shardborn Style,,Gold Road,Gold Road,,,28-1206 Maximum,,25-1096 Maximum,,4,,208152,1,Ring of Faithfulness,,,,,,,,,,,,,,,,,
Online:Azureblight Reaper,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage over time applies a stack of Blight Seed to the target for 5 seconds. At 20 stacks, Blight Seed explodes, dealing 667 Disease damage to the target and nearby enemies, increasing by 150% per additional monster hit, up to 600%. The damage scales off your Weapon Damage and Spell Damage and can occur once every 1 second. Enemies can only have one Blight Seed at a time and require 20 more stacks per group member wearing this set.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Stamina Recovery,Maximum Stamina,Damage Over Time Bonus,Disease Damage,Medium Armor,Area of Effect,Lair of Maarselok,Multiple Targets Hit Bonus,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Scalebreaker,Scalebreaker,Stags of Z'en Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Baan Dar's Blessing,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,"Reduce the duration of Breakable Crowd Control, Immobilizes, and Snares on you by 75%. Reduce the duration of your Breakable Crowd Control, Immobilizes, and Snares by 38%.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Maximum Health,Maximum Health,Reduce Debuff Effects,Drawbacks,Heavy Armor,5-Piece Bonus,"""Rewards for the Worthy"" mails",Heavy Armor,Any Weapon,Jewelry,Alliance Style,,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Back-Alley Gourmand,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"While you have a food buff active, your Critical Damage and Critical Healing is increased by 13%.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Consumable Bonus,Light Armor,Increase Critical Damage,Galen,Increase Critical Healing,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Firesong,Firesong,Firesong Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
