family,page,template,param,value
sets,Online:Aegis Caller,ESO Sets With,12,Any Weapon
sets,Online:Aegis Caller,ESO Sets With,13,Jewelry
sets,Online:Aegis Caller,ESO Sets With,14,Pyre Watch Style
sets,Online:Aegis Caller,ESO Sets With,settype,Medium Armor
sets,Online:Aegis Caller,ESO Sets With,dlc,Harrowstorm
sets,Online:Aegis Caller,ESO Sets With,source,Unhallowed Grave
sets,Online:Aegis of Galenwe,SetBonus,2 items,Adds 28-1206 Maximum Health
sets,Online:Aegis of Galenwe,SetBonus,3 items,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%."
sets,Online:Aegis of Galenwe,SetBonus,4 items,Adds 4% Healing Taken
sets,Online:Aegis of Galenwe,SetBonus,5 items,"When you Block, you grant Empower to 11 other group members within 15 meters for 3 seconds, increasing the damage of their Heavy Attacks against monsters by 150%. This effect can occur once every 2 seconds."
sets,Online:Aegis of Galenwe,Mod Header,1,Summerset
sets,Online:Aegis of Galenwe,Trail,1,Sets
sets,Online:Aegis of Galenwe,Online Update,type,itemset
sets,Online:Aegis of Galenwe,ESO Health Link,1,28-1206 Maximum
sets,Online:Aegis of Galenwe,ESO Sets With,1,Maximum Health
sets,Online:Aegis of Galenwe,ESO Sets With,2,Minor Aegis
sets,Online:Aegis of Galenwe,ESO Sets With,3,Increase Healing Received
sets,Online:Aegis of Galenwe,ESO Sets With,4,Block Bonus
sets,Online:Aegis of Galenwe,ESO Sets With,5,Group Bonus
sets,Online:Aegis of Galenwe,ESO Sets With,6,Full Group Bonus
sets,Online:Aegis of Galenwe,ESO Sets With,7,Empower
sets,Online:Aegis of Galenwe,ESO Sets With,8,Distance Bonus
sets,Online:Aegis of Galenwe,ESO Sets With,9,5-Piece Bonus
sets,Online:Aegis of Galenwe,ESO Sets With,10,Heavy Armor
sets,Online:Aegis of Galenwe,ESO Sets With,11,Any Weapon
sets,Online:Aegis of Galenwe,ESO Sets With,12,Jewelry
sets,Online:Aegis of Galenwe,ESO Sets With,13,Welkynar Style
sets,Online:Aegis of Galenwe,ESO Sets With,settype,Heavy Armor
sets,Online:Aegis of Galenwe,ESO Sets With,dlc,Summerset
sets,Online:Aegis of Galenwe,ESO Sets With,source,Cloudrest
sets,Online:Aerie's Cry,SetBonus,2 items,Adds 34-1487 Offensive Penetration
sets,Online:Aerie's Cry,SetBonus,3 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aerie's Cry,SetBonus,4 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aerie's Cry,SetBonus,5 items,"Dealing damage with a Light Attack applies Eagle's Mark to your target for 12 seconds. Eagle's Mark causes an eagle to attack your target every 3 seconds after a 3 second delay, dealing 856 Physical damage per attack. Applying Eagle's Mark grants you Aerie's Call for 12 seconds, increasing your damage done by 10% against enemies with Eagle's Mark. This effect can occur every 3 seconds. You can have one Eagle's Mark active at a time."
sets,Online:Aerie's Cry,Trail,1,Sets
sets,Online:Aerie's Cry,Online Update,type,itemset
sets,Online:Aerie's Cry,ESO Weapon Damage Link,3,y
sets,Online:Aerie's Cry,ESO Weapon Damage Link,3,y
sets,Online:Aerie's Cry,ESO Sets With,1,Physical/Spell Penetration
sets,Online:Aerie's Cry,ESO Sets With,2,Weapon/Spell Damage
sets,Online:Aerie's Cry,ESO Sets With,3,Weapon/Spell Damage
sets,Online:Aerie's Cry,ESO Sets With,4,Double Weapon/Spell Damage
sets,Online:Aerie's Cry,ESO Sets With,5,Light Attack Bonus
sets,Online:Aerie's Cry,ESO Sets With,6,Damage Over Time
sets,Online:Aerie's Cry,ESO Sets With,7,Physical Damage
sets,Online:Aerie's Cry,ESO Sets With,8,Class Abilities Bonus
sets,Online:Aerie's Cry,ESO Sets With,9,5-Piece Bonus
sets,Online:Aerie's Cry,ESO Sets With,10,Light Armor
sets,Online:Aerie's Cry,ESO Sets With,11,Medium Armor
sets,Online:Aerie's Cry,ESO Sets With,12,Heavy Armor
sets,Online:Aerie's Cry,ESO Sets With,13,Any Weapon
sets,Online:Aerie's Cry,ESO Sets With,14,Jewelry
sets,Online:Aerie's Cry,ESO Sets With,15,Gardener of Seasons Style
sets,Online:Aerie's Cry,ESO Sets With,settype,All Weights
sets,Online:Aerie's Cry,ESO Sets With,source,Infinite Archive
sets,Online:Aetherial Ascension,SetBonus,2 items,Adds 34-1487 Armor
sets,Online:Aetherial Ascension,SetBonus,3 items,Adds 28-1206 Maximum Health
sets,Online:Aetherial Ascension,SetBonus,4 items,Adds 34-1487 Armor
sets,Online:Aetherial Ascension,SetBonus,5 items,"Adds 171-7377 Armor. Increases the cost of Block, Sprint, Dodge, and Break Free by 20%."
sets,Online:Aetherial Ascension,Trail,1,Sets
sets,Online:Aetherial Ascension,Mod Header,1,Markarth
sets,Online:Aetherial Ascension,Online Update,type,itemset
sets,Online:Aetherial Ascension,ESO DLC,1,Markarth
sets,Online:Aetherial Ascension,ESO Health Link,1,28-1206 Maximum
sets,Online:Aetherial Ascension,Place Link,1,Philosopher's Cradle
sets,Online:Aetherial Ascension,ESO Sets With,1,Physical/Spell Resistance
sets,Online:Aetherial Ascension,ESO Sets With,2,Maximum Health
sets,Online:Aetherial Ascension,ESO Sets With,3,Double Physical/Spell Resistance
sets,Online:Aetherial Ascension,ESO Sets With,4,Triple Physical/Spell Resistance
sets,Online:Aetherial Ascension,ESO Sets With,5,Reduce Damage Taken
sets,Online:Aetherial Ascension,ESO Sets With,6,Drawbacks
sets,Online:Aetherial Ascension,ESO Sets With,7,5-Piece Bonus
sets,Online:Aetherial Ascension,ESO Sets With,8,Light Armor
sets,Online:Aetherial Ascension,ESO Sets With,9,Medium Armor
sets,Online:Aetherial Ascension,ESO Sets With,10,Heavy Armor
sets,Online:Aetherial Ascension,ESO Sets With,11,Any Weapon
sets,Online:Aetherial Ascension,ESO Sets With,12,Jewelry
sets,Online:Aetherial Ascension,ESO Sets With,13,Crafting Site(s)
sets,Online:Aetherial Ascension,ESO Sets With,settype,All Weights
sets,Online:Aetherial Ascension,ESO Sets With,dlc,Markarth
sets,Online:Aetherial Ascension,ESO Sets With,source,Philosopher's Cradle
sets,Online:Aetheric Lancer,SetBonus,2 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aetheric Lancer,SetBonus,3 items,Adds 15-657 Critical Chance
sets,Online:Aetheric Lancer,SetBonus,4 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Aetheric Lancer,SetBonus,5 items,"Dealing damage with Burning Light twice within 30 seconds creates a 5 meter area for 5 seconds. This effect can occur once every 3 seconds. While in the area, dealing damage with an Aedric Spear ability launches a spear at your target, dealing 1684 Magic damage and applying Sundered and increasing your Weapon Damage and Spell Damage by 300 for 10 seconds. The damage scales off the higher of your Weapon Damage and Spell Damage."
sets,Online:Aetheric Lancer,Trail,1,Sets
sets,Online:Aetheric Lancer,Online Update,type,itemset
sets,Online:Aetheric Lancer,ESO Weapon Damage Link,3,y
sets,Online:Aetheric Lancer,ESO Weapon Damage Link,3,y
sets,Online:Aetheric Lancer,ESO Weapon Damage Link,3,y
sets,Online:Aetheric Lancer,ESO Weapon Damage Link,3,y
sets,Online:Aetheric Lancer,ESO Sets With,1,Weapon/Spell Damage
sets,Online:Aetheric Lancer,ESO Sets With,2,Weapon/Spell Critical
sets,Online:Aetheric Lancer,ESO Sets With,3,Double Weapon/Spell Damage
sets,Online:Aetheric Lancer,ESO Sets With,4,Skill Bonus
sets,Online:Aetheric Lancer,ESO Sets With,5,Area of Effect
sets,Online:Aetheric Lancer,ESO Sets With,6,Magic Damage
sets,Online:Aetheric Lancer,ESO Sets With,7,Apply Status Effects
sets,Online:Aetheric Lancer,ESO Sets With,8,5-Piece Bonus
sets,Online:Aetheric Lancer,ESO Sets With,9,Light Armor
sets,Online:Aetheric Lancer,ESO Sets With,10,Medium Armor
sets,Online:Aetheric Lancer,ESO Sets With,11,Heavy Armor
sets,Online:Aetheric Lancer,ESO Sets With,12,Any Weapon
sets,Online:Aetheric Lancer,ESO Sets With,13,Jewelry
sets,Online:Aetheric Lancer,ESO Sets With,14,Wrathsun Style
sets,Online:Aetheric Lancer,ESO Sets With,settype,All Weights
sets,Online:Aetheric Lancer,ESO Sets With,source,Infinite Archive
sets,Online:Affliction,SetBonus,2 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Affliction,SetBonus,3 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Affliction,SetBonus,4 items,Adds 34-1487 Offensive Penetration
sets,Online:Affliction,SetBonus,5 items,"When you deal damage, you deal 330 Disease damage to the target. The enemy is then afflicted with the Diseased status effect, applying Minor Defile to the target, reducing their Healing Received and damage shield strength by 6% for 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon Damage and Spell Damage."
sets,Online:Affliction,Trail,1,Sets
sets,Online:Affliction,Online Update,type,itemset
sets,Online:Affliction,ESO Weapon Damage Link,3,y
sets,Online:Affliction,ESO Weapon Damage Link,3,y
sets,Online:Affliction,ESO Weapon Damage Link,3,y
sets,Online:Affliction,ESO Sets With,1,Weapon/Spell Damage
sets,Online:Affliction,ESO Sets With,2,Maximum Stamina
sets,Online:Affliction,ESO Sets With,3,Stamina Recovery
sets,Online:Affliction,ESO Sets With,4,Disease Damage
sets,Online:Affliction,ESO Sets With,5,Apply Status Effects
sets,Online:Affliction,ESO Sets With,6,Minor Defile
sets,Online:Affliction,ESO Sets With,7,5-Piece Bonus
sets,Online:Affliction,ESO Sets With,8,Heavy Armor
sets,Online:Affliction,ESO Sets With,9,Any Weapon
sets,Online:Affliction,ESO Sets With,10,Jewelry
sets,Online:Affliction,ESO Sets With,11,Alliance Style
sets,Online:Affliction,ESO Sets With,12,Alliance Point Cost
sets,Online:Affliction,ESO Sets With,settype,Heavy Armor
sets,Online:Affliction,ESO Sets With,source,Vlastarus
sets,Online:Agility (set),SetBonus,2 items,Adds 40-1752 Maximum Stamina
sets,Online:Agility (set),SetBonus,3 items,Adds 4-206 Weapon Damage and Spell Damage
sets,Online:Agility (set),Mod Header,1,Imperial City
sets,Online:Agility (set),Trail,1,Sets
sets,Online:Agility (set),Online Update,type,itemset
sets,Online:Agility (set),ESO Stamina Link,1,40-1752 Maximum
sets,Online:Agility (set),ESO Weapon Damage Link,3,y
sets,Online:Agility (set),vn,1,No longer true?
sets,Online:Agility (set),ESO Sets With,1,Maximum Stamina
sets,Online:Agility (set),ESO Sets With,2,Weapon/Spell Damage
sets,Online:Agility (set),ESO Sets With,3,3-Piece Bonus
sets,Online:Agility (set),ESO Sets With,4,Any Weapon
sets,Online:Agility (set),ESO Sets With,5,Jewelry
sets,Online:Agility (set),ESO Sets With,settype,Three Piece
sets,Online:Agility (set),ESO Sets With,dlc,Imperial City
sets,Online:Agility (set),ESO Sets With,source,Clawed Trophy Vault Monstrous Tooth Trophy Vault
sets,Online:Akaviri Dragonguard,SetBonus,2 items,Adds 3-129 Magicka Recovery
sets,Online:Akaviri Dragonguard,SetBonus,3 items,Adds 4% Healing Taken
sets,Online:Akaviri Dragonguard,SetBonus,4 items,Adds 28-1206 Maximum Health
sets,Online:Akaviri Dragonguard,SetBonus,5 items,Adds 3-158 Health Recovery; Reduces the cost of your Ultimate abilities by 15%.
sets,Online:Akaviri Dragonguard,Trail,1,Sets
sets,Online:Akaviri Dragonguard,Online Update,type,itemset
sets,Online:Akaviri Dragonguard,ESO Magicka Link,1,3-129
sets,Online:Akaviri Dragonguard,ESO Magicka Link,2,Recovery
sets,Online:Akaviri Dragonguard,ESO Health Link,1,28-1206 Maximum
sets,Online:Akaviri Dragonguard,ESO Health Link,1,3-158
sets,Online:Akaviri Dragonguard,ESO Health Link,2,Recovery
sets,Online:Akaviri Dragonguard,Item Link,1,Bonelord's Annihilator of the Dragon
sets,Online:Akaviri Dragonguard,Item Link,id,43035
sets,Online:Akaviri Dragonguard,Item Link,quality,3
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Deathknight Aegis of the Dragon
sets,Online:Akaviri Dragonguard,Item Link,id,34622
sets,Online:Akaviri Dragonguard,Item Link,quality,3
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Dungeon-Delving Harness
sets,Online:Akaviri Dragonguard,Item Link,id,7697
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Hefty Bonestrewn Gauntlets
sets,Online:Akaviri Dragonguard,Item Link,id,7700
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,id,7727
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,4,Kyne's Honor
sets,Online:Akaviri Dragonguard,Item Link,1,Mammoth Band of the Dragon
sets,Online:Akaviri Dragonguard,Item Link,id,43037
sets,Online:Akaviri Dragonguard,Item Link,quality,3
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,id,10061
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,4,Shell Slicer
sets,Online:Akaviri Dragonguard,Item Link,1,Skald-King's Greaves
sets,Online:Akaviri Dragonguard,Item Link,id,7724
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Skald-King's Favor
sets,Online:Akaviri Dragonguard,Item Link,id,7674
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Skald-King's Pauldrons
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,id,7688
sets,Online:Akaviri Dragonguard,Item Link,1,Skald-King's War Plackart
sets,Online:Akaviri Dragonguard,Item Link,id,7664
sets,Online:Akaviri Dragonguard,Item Link,quality,2
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Skald-King's Sabatons
sets,Online:Akaviri Dragonguard,Item Link,id,10062
sets,Online:Akaviri Dragonguard,Item Link,quality,3
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,Item Link,1,Stormfist's Holy Hammer of the Dragon
sets,Online:Akaviri Dragonguard,Item Link,id,34620
sets,Online:Akaviri Dragonguard,Item Link,quality,3
sets,Online:Akaviri Dragonguard,Item Link,summary,1
sets,Online:Akaviri Dragonguard,ESO Sets With,1,Magicka Recovery
sets,Online:Akaviri Dragonguard,ESO Sets With,2,Health Recovery
sets,Online:Akaviri Dragonguard,ESO Sets With,3,Increase Healing Received
sets,Online:Akaviri Dragonguard,ESO Sets With,4,Maximum Health
sets,Online:Akaviri Dragonguard,ESO Sets With,5,Reduce Ultimate Cost
sets,Online:Akaviri Dragonguard,ESO Sets With,6,5-Piece Bonus
sets,Online:Akaviri Dragonguard,ESO Sets With,7,Heavy Armor
sets,Online:Akaviri Dragonguard,ESO Sets With,8,Any Weapon
sets,Online:Akaviri Dragonguard,ESO Sets With,9,Jewelry
sets,Online:Akaviri Dragonguard,ESO Sets With,10,Nord Style
sets,Online:Akaviri Dragonguard,ESO Sets With,settype,Heavy Armor
sets,Online:Akaviri Dragonguard,ESO Sets With,source,Eastmarch
sets,Online:Alessia's Bulwark,SetBonus,2 items,Adds 34-1487 Armor
sets,Online:Alessia's Bulwark,SetBonus,3 items,Adds 28-1206 Maximum Health
sets,Online:Alessia's Bulwark,SetBonus,4 items,Adds 34-1487 Armor
sets,Online:Alessia's Bulwark,SetBonus,5 items,"When you take damage from a Martial melee attack, you reduce the attacker's Weapon Damage and Spell Damage by 6-300 for 5 seconds."
sets,Online:Alessia's Bulwark,Trail,1,Sets
sets,Online:Alessia's Bulwark,Online Update,type,itemset
sets,Online:Alessia's Bulwark,ESO Health Link,1,28-1206 Maximum
sets,Online:Alessia's Bulwark,ESO Weapon Damage Link,3,y
sets,Online:Alessia's Bulwark,ESO Alliances,Dominion,Chancel of Divine Entreaty
sets,Online:Alessia's Bulwark,ESO Alliances,Covenant,Alezer Kotu
sets,Online:Alessia's Bulwark,ESO Alliances,Pact,Hammerhome
sets,Online:Alessia's Bulwark,ESO Sets With,1,Physical/Spell Resistance
sets,Online:Alessia's Bulwark,ESO Sets With,2,Double Physical/Spell Resistance
sets,Online:Alessia's Bulwark,ESO Sets With,3,Double Physical/Spell Resistance
sets,Online:Alessia's Bulwark,ESO Sets With,4,Maximum Health
sets,Online:Alessia's Bulwark,ESO Sets With,5,Counterattack
sets,Online:Alessia's Bulwark,ESO Sets With,6,Reduce Enemy Damage Done
sets,Online:Alessia's Bulwark,ESO Sets With,7,5-Piece Bonus
sets,Online:Alessia's Bulwark,ESO Sets With,8,Light Armor
sets,Online:Alessia's Bulwark,ESO Sets With,9,Medium Armor
sets,Online:Alessia's Bulwark,ESO Sets With,10,Heavy Armor
sets,Online:Alessia's Bulwark,ESO Sets With,11,Any Weapon
sets,Online:Alessia's Bulwark,ESO Sets With,12,Jewelry
sets,Online:Alessia's Bulwark,ESO Sets With,13,Crafting Site(s)
sets,Online:Alessia's Bulwark,ESO Sets With,settype,All Weights
sets,Online:Alessian Order (set),SetBonus,2 items,Adds 34-1487 Armor
sets,Online:Alessian Order (set),SetBonus,3 items,Adds 34-1487 Armor
sets,Online:Alessian Order (set),SetBonus,4 items,Adds 28-1206 Maximum Health
sets,Online:Alessian Order (set),SetBonus,5 items,"Increase your Health Recovery by 2% of your sum total Physical Resistance and Spell Resistance, up to a maximum of 1320. Current Bonus Health Recovery: 0."
sets,Online:Alessian Order (set),Trail,1,Sets
sets,Online:Alessian Order (set),Online Update,type,itemset
sets,Online:Alessian Order (set),About,1,the item set
sets,Online:Alessian Order (set),About,2,faction
sets,Online:Alessian Order (set),About,3,Alessian Order (faction)
sets,Online:Alessian Order (set),ESO Health Link,1,28-1206 Maximum
sets,Online:Alessian Order (set),ESO Health Link,2,Recovery
sets,Online:Alessian Order (set),ESO Resistance Link,1,Physical
sets,Online:Alessian Order (set),ESO Resistance Link,1,Spell
sets,Online:Alessian Order (set),ESO Health Link,2,Recovery
sets,Online:Alessian Order (set),ESO Sets With,1,Physical/Spell Resistance
sets,Online:Alessian Order (set),ESO Sets With,2,Double Physical/Spell Resistance
sets,Online:Alessian Order (set),ESO Sets With,3,Double Physical/Spell Resistance
sets,Online:Alessian Order (set),ESO Sets With,4,Maximum Health
sets,Online:Alessian Order (set),ESO Sets With,5,Health Recovery
sets,Online:Alessian Order (set),ESO Sets With,6,5-Piece Bonus
sets,Online:Alessian Order (set),ESO Sets With,7,Heavy Armor
sets,Online:Alessian Order (set),ESO Sets With,8,Any Weapon
sets,Online:Alessian Order (set),ESO Sets With,9,Jewelry
sets,Online:Alessian Order (set),ESO Sets With,10,Alliance Style
sets,Online:Alessian Order (set),ESO Sets With,11,Alliance Point Cost
sets,Online:Alessian Order (set),ESO Sets With,settype,Heavy Armor
sets,Online:Alessian Order (set),ESO Sets With,source,Vlastarus
sets,Online:Almalexia's Mercy,SetBonus,2 items,Adds 28-1206 Maximum Health
sets,Online:Almalexia's Mercy,SetBonus,3 items,Adds 34-1487 Armor
sets,Online:Almalexia's Mercy,SetBonus,4 items,Adds 34-1487 Armor
sets,Online:Almalexia's Mercy,SetBonus,5 items,"When you take damage, you heal you and your group members within 7 meters of you for 1412 Health over 3 seconds. This effect can occur once every 3 seconds and scales off the higher of your Max Magicka or Stamina."
sets,Online:Almalexia's Mercy,Trail,1,Sets
sets,Online:Almalexia's Mercy,Online Update,type,itemset
sets,Online:Almalexia's Mercy,ESO Health Link,1,28-1206 Maximum
sets,Online:Almalexia's Mercy,ESO Health Link,1,1412
sets,Online:Almalexia's Mercy,ESO Sets With,1,Maximum Health
sets,Online:Almalexia's Mercy,ESO Sets With,2,Physical/Spell Resistance
sets,Online:Almalexia's Mercy,ESO Sets With,3,Double Physical/Spell Resistance
sets,Online:Almalexia's Mercy,ESO Sets With,4,Double Physical/Spell Resistance
sets,Online:Almalexia's Mercy,ESO Sets With,5,Counterattack
sets,Online:Almalexia's Mercy,ESO Sets With,6,Restore Health
sets,Online:Almalexia's Mercy,ESO Sets With,7,Group Bonus
sets,Online:Almalexia's Mercy,ESO Sets With,8,Distance Bonus
