page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Acrobat,Wood Elf,Increases your experience gain with the Bow skill line by 15%. Decreases your fall damage taken by 10%.,Wood Elf-Acrobat,36008,2.5.5,"* Archery Expertise: This passive ability has been renamed to ""Acrobat."" Also, in addition to the current benefit it now reduces your fall damage by 10%.",Innate Effect,Passive,Increase Experience Gain,,Reduce Damage Taken,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Adrenaline Rush,Redguard,"When you deal damage, you restore 333 Stamina. This effect can occur once every 5 seconds.",Redguard-Adrenaline Rush,45315,1.3.3,"* Adrenaline Rush Rank I: This now triggers on all melee attacks, not just light and heavy attacks.",Passive Effect,Passive,Leech Stamina,"When you deal damage, you restore 666 Stamina. This effect can occur once every 5 seconds.",Restore Stamina,25,,,,,,35,,,36546,45313,,,,,,,,,,,,,,,,,,,,,"When you deal damage, you restore 1005 Stamina. This effect can occur once every 5 seconds.",50,45315,,,,
Online:Advanced Species,Animal Companions,Increases your Critical Damage by 2% for each Animal Companion ability slotted.,Animal Companions-Advanced Species,86069,4.2.5,"* Increased the bonus to damage done for each Animal Companion ability slotted to 3% at rank II, previously 2%.",Passive Effect,Passive,Increase Critical Damage,Increases your Critical Damage by 5% for each Animal Companion ability slotted.,,39,,,,,,50,,,86068,86069,,,,,,,,,,,Crown Store,,,,,,,,,,,,,,,,
Online:Aegis of the Unseen,Soldier of Apocrypha,"Form a secret soldier within your mind, a defense against arcane forces without. While a beneficial Soldier of Apocrypha ability is active on you, increase your Armor by 1636.",Soldier of Apocrypha-Aegis of the Unseen,184923,10.3.5,"* This passive now increases your armor by 1636/3271 while you have a Soldier of Apocrypha ability active, up from 990/1980.",Increase Armor,Passive,,"Form a secret soldier within your mind, a defense against arcane forces without. While a beneficial Soldier of Apocrypha ability is active on you, increase your Armor by 3271.",,8,,,,,,18,,,184918,184923,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Agility (skill),Medium Armor,Increases your Weapon Damage and Spell Damage by 1% for each piece of Medium Armor worn.,Medium Armor-Agility,45572,1.4.3,* Fixed an issue where this passive was stacking the bonus from Ranks I and II. * The agility passive now gives you weapon power instead of attack speed.,Passive Effect,Passive,Medium Armor Boost,Increases your Weapon Damage and Spell Damage by 2% for each piece of Medium Armor worn.,Increase Weapon Damage,38,,,,,Increase Spell Damage,46,,,29686,45572,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Agony,Siphoning,"Shackle an enemy in torment, disorienting them for 30 seconds and dealing [1413 / 1431 / 1446 / 1462] Magic Damage over 5 seconds when the effect ends. You can only have one Agony active at a time.",Siphoning-Agony,36109,1.4.3,* Shadow Cloak: This ability is no longer removed by the following ticking damage abilities. ** Agony ** Bat Swarm ** Caltrops ** Cripple ** Entropy ** Fire Rune ** Necrotic Orb ** Path of Darkness ** Soul Tether ** Trap Beast ** Volley ** Wall of Elements ** All elemental procs,,,,"Shackle an enemy in torment, disorienting them for 30 seconds and damaging all nearby enemies when the effect ends for [945 / 946 / 947 / 948] Magic Damage plus 5% for each second the target was disoriented. You can only have one Malefic Wreath active at a time.",,,4,3240 Magicka,Enemy,Instant,,,ON-skill-Agony.jpg,Agony,,,"Shackle an enemy in torment, disorienting them for 30 seconds and dealing [2054 / 2085 / 2102 / 2132] Magic Damage over 7 seconds when the effect ends. You can only have one Prolonged Suffering active at a time.",Prolonged Suffering,36129,The damage over time effect lasts for longer.,Malefic Wreath,36144,Siphoning-Malefic Wreath,Deals area damage when the effect ends.,Siphoning-Prolonged Suffering,,,30 seconds,,,28 meters,,,,,,,,,,,,
Online:Ambidextrous,Dual Wield,WHILE DUAL WIELDING Increases Weapon Damage and Spell Damage by 3% of off-hand weapon's damage.,Dual Wield-Ambidextrous,45477,,,,Passive,,WHILE DUAL WIELDING Increases Weapon Damage and Spell Damage by 6% of off-hand weapon's damage.,,10,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Amphibian,Argonian,Increases your experience gain with the Restoration Staff skill line by 15%. Increases your swimming speed by 50%.,Argonian-Amphibian,36582,2.5.5,"* This passive ability has been renamed to ""Amphibian."" Also, in addition to the current benefit it now increases your swimming speed by 50%.",Innate Effect,Passive,Increase Experience Gain,,Increase Movement Speed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Amplitude,Storm Calling,Increases your damage done against enemies by 1% for every 20% current Health they have.,Storm Calling-Amplitude,45192,4.3.5,"* Implosion: ** Renamed this passive to Amplitude. ** This passive is now a reverse execute mechanic, and increases your damage against targets by 1% for every 10% health they currently have. ** The minimum bonus this passive can provide is 1% increased damage done. *** Developer Comment: This change was aimed at helping Sorcerer's damage production go up, while helping them in the targeted gameplay pattern of getting targets into specific health thresholds, detracting from the feeling of uncontrollable burst for the caster, and sudden moments of low telegraphed high damage for the target.::: The HP thresholds for the damage are as follows::::* 100% Health = 10% damage:::* 99%-90% = 9%:::* 89.9%-80% = 8%:::* 79.9%-70% = 7%:::* 69.9%-60% = 6%:::* 59.9%-50% = 5%:::* 49.9%-40% = 4%:::* 39.9%-30% = 3%:::* 29.9%-20% = 2%:::* 19.9%-10% = 1%:::* 9.9%-0% = 1%",Passive Effect,Passive,Reverse Execute,Increases your damage done against enemies by 1% for every 10% current Health they have.,,22,,,,,,36,,,31422,45192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:An Eye for Exploitation,Class Mastery,"Every strike, every stab, is a step towards execution. Increases your Weapon Damage and Spell Damage by up to 2000, based on your target's missing Health. Reduces your damage taken by up to 20%, based on your attacker's missing Health. Both effects are halved against targets with Battle Spirit.",Assassination-Master Assassin,263604,12.0.0,"*This passive increases your Weapon and Spell Damage by up to 1250 and reduces your damage taken by up to 12%, both based on your target's missing Health.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Ancient Knowledge,Destruction Staff,With Destruction Staff Equipped Inferno Staves increases your damage done with damage over time and Status Effects by 6%. Lightning Staves increases your damage done with direct damage and channeled effects by 6%. Ice Staves reduce the cost of blocking by 18% and increases the amount of damage you block by 10%.,Destruction Staff-Ancient Knowledge,45513,2.7.0,"*This passive ability no longer decreases the cast time of your Destruction Staff Heavy Attacks by 5/10%. Instead, it grants you a bonus as long as you have one Destruction Staff ability slotted. This bonus depends on your staff type: ** Flame Staves: Increases your single-target damage dealt by 4/8%. ** Frost Staves: Increases the amount of damage you Block by 10/20%, and reduces the cost of Block by 15/30%. ** Lightning Staves: Increases your Area of Effect damage dealt by 4/8%.",Passive Effect,Passive,Increase Damage Dealt,With Destruction Staff Equipped Inferno Staves increases your damage done with damage over time and Status Effects by 12%. Lightning Staves increases your damage done with direct damage and channeled effects by 12%. Equipping an Ice Staff reduces the cost of blocking by 36% and increases the amount of damage you block by 20%.,Status Effect Bonus,28,,,,,Increase Block,46,,,30959,45513,,,,,,,,,,Reduce Activity Cost,,,,,,,,,,,,,,,,,
Online:Annulment,Light Armor,"Requires 5 pieces of light armor equipped Convert a portion of your Magicka into a protective ward, gaining a damage shield that absorbs [9000 / 9098 / 9198 / 9297] damage for 6 seconds. Damage shield strength capped at 50% of your Max Health.",Light Armor-Annulment,41108,1.1.2,* This Ultimate ability's damage shield now absorbs 100% of incoming Spell Damage rather than 50%. This damage shield value remains the same.,Damage Shield,,Light Armor Boost,"Requires 5 pieces of light armor equipped Convert a portion of your Magicka into a protective ward, gaining a damage shield that absorbs 9297 damage for 6 seconds. Damage shield strength capped at 50% of your Max Health. While active, whenever the shield absorbs damage, you restore 229 Magicka. Each piece of Light Armor worn increases the Magicka restored by [30 / 31 / 32 / 33]%. This effect can occur up to 3 times.",Restore Magicka,,22,4590 Magicka,Self,Instant,Magicka Cost,,ON-skill-Annulment_02.jpg,Annulment,,,"Requires 5 pieces of light armor equipped Convert a portion of your Magicka into a protective ward, gaining a damage shield that absorbs 9297 damage for 6 seconds. Damage shield strength capped at 60% of your Max Health. Each piece of Light Armor worn increases the amount of damage absorbed by [3 / 4 / 5 / 6]%.",Dampen Magic,41113,Each piece of Light Armor worn increases damage absorbed. Increases shield cap value.,Harness Magicka,41121,Light Armor-Harness Magicka,Restores Magicka whenever you absorb damage.,Light Armor-Dampen Magic,,,6 seconds,,Magicka,,,,,,,,,,,,Max,
Online:Antiquarian Insight,Scrying,Allows you to scry for Antiquities of up to Simple difficulty.,Scrying-Antiquarian Insight,141018,,,Passive Effect,Passive,Antiquities,Allows you to scry for Antiquities of up to Intermediate difficulty.,,1,,,,,,3,,,,,,,,,,,,,,,Greymoor,,,,,,,,,,Allows you to scry for Antiquities of up to Advanced difficulty.,5,,,,,
Online:Apocryphal Gate,Curative Runeforms,Cost: [4050 / 3960 / 3870 / 3780] Magicka. Breach the world walls to create a portal at a target location. Its twin appears directly before you. Crossing the threshold allows you to teleport from one to the other for as long as the portals remain open. Apocryphal Gate generates Crux each time you teleport.,Curative Runeforms-Apocryphal Gate,40183542,9.0.6,* Fixed an issue with this ability and its morphs where it would only place one portal. ** Fleet-Footed Gate (morph): Fixed an issue where this ability was not benefiting from its rank progression.,Magicka Cost,,Teleport,"Cost: [3780 / 3690 / 3600 / 3510] Magicka. Breach the world walls to create a portal at a target location. Its twin appears directly before you. Crossing the threshold allows you to teleport from one to the other for as long as the portals remain open. Allies standing within either portal can activate the Passage synergy, allowing them to teleport to the opposite portal. Passage Between Worlds generates Crux each time you teleport.",Increase Movement Speed,,42,3780 Magicka,Ground,Instant,,,ON-skill-Apocryphal Gate.jpg,Apocryphal Gate and its morphs' visual,,,"Breach the world walls to create a portal at a target location. Its twin appears directly before you. Crossing the threshold allows you to teleport from one to the other for as long as the portals remain open. After teleporting, you gain Major Expedition for [4 / 4.3 / 4.7 / 5] seconds, increasing your Movement Speed by 30%. Fleet-Footed Gate generates Crux each time you teleport.",Fleet-Footed Gate,40186211,Increases your Movement Speed after teleporting.,Passage Between Worlds,40186220,Curative Runeforms-Passage Between Worlds,Grants a synergy to allies allowing them to teleport from one portal to the other.,Curative Runeforms-Fleet-Footed Gate,,,7 seconds,,Magicka,12-22 meters,,,,,,,,,,,,3 meters
Online:Arcane Fighter,Two Handed,"(WITH TWO-HANDED WEAPON EQUIPPED) Increases chance of applying status effects like burning, chilling, etc. by 50%",Two Handed-Arcane Fighter,,1.5.2,* Replaced the Arcane Fighter passive with Follow Up. This will increase your damage by 5%/10% for 7 seconds after activating a fully charged heavy attack.,,Passive,,"(WITH TWO-HANDED WEAPON EQUIPPED) Increases chance of applying status effects like burning, chilling, etc. by 100%",,30,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Arcane Nova,Destruction Staff (Companion),"Your Companion releases a surge of magic to enemies around them, dealing 3150 Magic Damage. Fire Nova applies the Burning status effect. Frost Nova applies the Chill status effect. Shock Nova applies the Concussion status effect.",Companion-Arcane Nova,157230,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,20,12 seconds,Area,Instant,,,,,,,,,,,,,,,,,Blackwood,,,,,,6 meters,Magic Damage,Area of Effect,,,,,,Apply Status Effect,,
Online:Arcanist's Domain,Curative Runeforms,"Duration: [17 / 18 / 19 / 20] seconds. Draw forth your tome and invoke the vigoratum of Hermaeus Mora to conjure a vortex of eldritch power. Entering this vortex grants you and your allies Minor Courage, Minor Fortitude, Minor Intellect, and Minor Endurance, increasing your Weapon Damage and Spell Damage by 215 and your Health, Magicka, and Stamina Recovery by 15%.",Curative Runeforms-Arcanist's Domain,40183555,9.3.5,* Zenas’ Empowering Disc (morph): Fixed an issue where the buffs granted by this ability would be removed from allies if the caster of the ability died.,Magicka Cost,,Area of Effect,"Draw forth your tome and invoke the leviathanum of the Abyssal Sea to conjure a vortex of eldritch power. Entering this vortex grants you and your allies Minor Courage, Minor Fortitude, Minor Intellect, and Minor Endurance, increasing your Weapon Damage and Spell Damage by 215 and your Health, Magicka, and Stamina Recovery by 15%. The vortex also heals you and your allies for [12287 / 12419 / 12551 / 12683] Health over 20 seconds.",Increase Spell Damage,,30,3780 Magicka,Area,Instant,Increase Weapon Damage,,ON-skill-Arcanist's Domain.jpg,Arcanist's Domain and Zenas' Empowering Disc morph visual,,,"Draw forth your tome and invoke the enigmatum of Morian Zenas to conjure a vortex of eldritch power. Entering this vortex grants you and your allies Minor Courage, Minor Fortitude, Minor Intellect, and Minor Endurance, increasing your Weapon Damage and Spell Damage by 215 and your Health, Magicka, and Stamina Recovery by 15%. These effects cling to you and your allies for up to [7 / 8 / 9 / 10] seconds after leaving the vortex.",Zenas' Empowering Disc,40186229,The effects remain on you and your allies for a short duration after leaving the area.,Reconstructive Domain,40186234,Curative Runeforms-Reconstructive Domain,Heals you and your allies in the area over time.,Curative Runeforms-Zenas' Empowering Disc,Health Recovery,,20 seconds,Magicka Recovery,Magicka,,Stamina Recovery,,,,Heal Self,,,,Heal Others,,,8 meters
Online:Arctic Wind,Winter's Embrace,"Envelop yourself in winter winds, instantly healing for [4800 / 4852 / 4905 / 4958] Health and an additional [960 / 970 / 981 / 991] Health every 2 seconds over 10 seconds. This ability scales off your Max Health.",Winter's Embrace-Arctic Wind,86151,4.0.5,* Increased the initial heal done by this ability and its morphs to 12% of your Max Health from 10%.,Heal Self,,Heal Others,"Cost: 3780 Magicka, Duration: 18 seconds, Area: 6 meters, Target: Area. Envelop yourself in winter winds, instantly dealing [4764 / 4816 / 4868 / 4921] Frost Damage to nearby enemies. If no enemies are hit, you heal for 6351 Health. The winds persist for 20 seconds and chill your foes to the bone, dealing [793 / 801 / 810 / 819] Frost Damage every 2 seconds, after 2 seconds. The damage has a higher chance to apply the Chilled status effect. Stuns enemies after the delay for 3 seconds.",Frost Damage,,20,4320 Magicka,Self,Instant,Damage Over Time,,ON-skill-Arctic Wind.jpg,Arctic Wind,,,"Area: 12 meters, Target: Area. Envelop yourself in winter winds, instantly healing for 4958 Health and healing for an additional [1322 / 1336 / 1351 / 1365] Health every 2 seconds over 10 seconds. You also heal a nearby ally for 3305 Health. This ability scales off your Max Health.",Polar Wind,86155,Increases the healing over time and now heals a nearby ally for a portion of the initial heal.,Arctic Blast,86159,Winter's Embrace-Arctic Blast,Damages enemies instead of healing yourself but heals if no enemies are damaged. Stuns enemies after a delay. Reduces the cost.,Winter's Embrace-Polar Wind,Area of Effect,Crown Store,10 seconds,Increase Debuff Chance,Magicka,,Stun,,,,Magicka Cost,,,,,,Maximum,
Online:Argonian Resistance,Argonian,Increases your Max Health by 333 and your Disease and Poison Resistance by 660.,Argonian-Argonian Resistance,45255,2.1.4,* Increased the maximum health bonus from this passive to 2/4/6 from 1/2/3.,Passive Effect,Passive,Increase Max Health,Increases your Max Health by 666 and your Disease and Poison Resistance by 1320.,Resist Elements,10,,,,,,20,,,36583,45253,,,,,,,,,,,,,,,,,,,,,Increases your Max Health by 1000 and your Disease and Poison Resistance by 2310.,40,45255,,,Maximum,
Online:Arrow Spray,Bow,"Fire a burst of arrows in one shot, dealing [4612 / 4662 / 4713 / 4764] Physical Damage to enemies in front of you.",Bow-Arrow Spray,40765,1.3.3,* Eagle Eye: The tooltip for this item set no longer states that it increases the range of the ability Arrow Spray.,Physical Damage,,Area of Effect,"Duration: 4 seconds. Fire a burst of arrows in one shot, dealing 4764 Poison Damage to enemies in front of you, and dealing an additional [4335 / 4385 / 4430 / 4480] Poison Damage over 5 seconds.",Immobilize,,20,3510 Stamina,Area,Instant,Poison Damage,,ON-skill-Arrow Spray.jpg,Arrow Spray and Bombard visual,,,"Cost: [3510 / 3420 / 3330 / 3240] Stamina, Duration: 4 seconds. Fire a burst of arrows in one shot, dealing 4764 Physical Damage to enemies in front of you. Enemies hit are immobilized for 4 seconds.",Bombard,40777,Immobilizes enemies hit and reduces the cost as the ability ranks up.,Acid Spray,40789,Bow-Acid Spray,Deals Poison Damage and adds additional damage over time.,Bow-Bombard,Damage Over Time,,,Stamina Cost,Stamina,,,20 meters,,,,,,,,,,
Online:Ash Cloud,Ardent Flame,"Throw out a kindled flame, filling a large area with warmth for 15 seconds. This fire heals you and your allies at the target location for [459] Health every 1 second. Healed targets gain Minor Fortitude and Minor Heroism while inside, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds.",Earthen Heart-Ash Cloud,33778,2.3.5,* Eruption: Increased the initial eruption damage from this morph by 22%.,Area of Effect,,Reduce Movement Speed,"Cost: [270] Magicka / 1s. Throw out a protective flame for 15 seconds, healing you and your allies inside for [680] Health every 1 second scaling off your Max Health. Healed targets gain Minor Fortitude and Minor Heroism while inside, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds. You gain Minor Protection while inside, reducing damage taken by 10%. Enemies inside have their Movement Speed reduced by 70%.",Heal Self,,30,351 Magicka / 1s,Ground,Instant,Heal Others,,ON-skill-Ash Cloud.jpg,Ash Cloud,,,"Throw out a purifying flame, filling a large area with warmth for 15 seconds. This fire heals you and your allies at the target location for [460] Health every 1 second. This healing increases by 50% if you are in the area. Healed targets gain Minor Fortitude and Minor Heroism for 15 seconds, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds.",Fire Keeper,33797,Heals for significantly more if you stand in the area. Minor buffs persist after being healed.,Hearth and Home,33816,Earthen Heart-Eruption,"While inside, you gain Minor Protection and enemies move slower. Healing now scales of Max Health. Reduces the cost as the ability ranks up.",Earthen Heart-Cinder Storm,Fire Damage,,15 seconds,Damage Over Time,Magicka,22 meters,Magicka Cost,8 meters,,,,,,,,,,
Online:Ashlander,Dark Elf,Increases your experience gain with the Dual Wield skill line by 15%. Reduces your damage taken from environmental lava by 50%.,Dark Elf-Ashlander,36588,2.5.5,"* Ambidexterity: This passive ability has been renamed to ""Ashlander."" Also, in addition to the current benefit it now reduces your damage taken from lava by 50%.",Innate Effect,Passive,Increase Experience Gain,,Resist Elements,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
